#Stellar mass averages in bins of peak halo mass.
#Log_SM: Average of Log_10(Observed SM/Msun) in each bin.
#Log_SMHM: Average of Log_10(Observed SM/HM) in each bin.
#Log_True_SM: Average of Log_10(True SM/Msun) in each bin.
#Log_True_SMHM: Average of Log_10(True SM/HM) in each bin.
#Bestfit_Halo_Counts is the number of halos in the bin for the bestfit model.
#Log10(HM_Center)(0) Log_SM(1) Err+(2) Err-(3) Log_SMHM(4) Err+(5) Err-(6) Log_True_SM(7) Err+(8) Err-(9) Log_True_SMHM(10) Err+(11) Err-(12) HM_Left_Edge(13) HM_Right_Edge(14) Bestfit_Halo_Counts(15) 
8 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 7.875 8.125 0
8.25 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 8.125 8.375 0
8.5 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 8.375 8.625 0
8.75 1.488328 0.193642 0.497723 -7.272921 0.193645 0.497720 1.502659 0.194995 0.560321 -7.258590 0.194996 0.560319 8.625 8.875 72122
9 2.096578 0.126294 0.470204 -6.916764 0.126297 0.470201 2.108850 0.126326 0.516172 -6.904490 0.126327 0.516172 8.875 9.125 126506
9.25 2.852595 0.124136 0.425686 -6.416959 0.124126 0.425698 2.866084 0.118656 0.464156 -6.403471 0.118648 0.464169 9.125 9.375 545530
9.5 3.928711 0.138871 0.348075 -5.598650 0.138817 0.348221 3.941588 0.129357 0.382977 -5.585770 0.129264 0.383112 9.375 9.625 1.95119e+06
9.75 5.054990 0.121151 0.254188 -4.696712 0.121091 0.254354 5.068044 0.115326 0.275568 -4.683664 0.115326 0.275756 9.625 9.875 4.09387e+06
10 5.920716 0.094225 0.178060 -4.071086 0.094165 0.178130 5.933758 0.090546 0.212574 -4.058047 0.090468 0.212582 9.875 10.125 4.0619e+06
10.25 6.559672 0.069932 0.126271 -3.681180 0.069733 0.126819 6.572597 0.068902 0.155611 -3.668252 0.068849 0.155745 10.125 10.375 2.69855e+06
10.5 7.086866 0.066540 0.086738 -3.404847 0.066574 0.087277 7.100130 0.063219 0.118471 -3.391581 0.062539 0.118477 10.375 10.625 1.66444e+06
10.75 7.579466 0.048123 0.069310 -3.160080 0.048168 0.069157 7.592221 0.051489 0.106115 -3.147323 0.051523 0.106081 10.625 10.875 1.00726e+06
11 8.067377 0.021322 0.061151 -2.921002 0.021413 0.060828 8.080209 0.038542 0.099544 -2.908175 0.038677 0.099133 10.875 11.125 570994
11.25 8.559356 0.003058 0.049850 -2.678527 0.003070 0.049699 8.572062 0.031772 0.099516 -2.665820 0.031805 0.099436 11.125 11.375 318116
11.5 9.061659 0.003979 0.042753 -2.426145 0.004093 0.042645 9.074826 0.030605 0.098824 -2.412978 0.030668 0.098701 11.375 11.625 176966
11.75 9.597428 0.001273 0.050033 -2.140125 0.001407 0.049868 9.610758 0.032418 0.100945 -2.126795 0.032486 0.100780 11.625 11.875 97436
12 10.127818 0.007335 0.048113 -1.858762 0.007460 0.047985 10.139756 0.043568 0.088778 -1.846822 0.043685 0.088664 11.875 12.125 52567
12.25 10.495038 0.026015 0.022597 -1.741226 0.026068 0.022524 10.505868 0.057663 0.063743 -1.730398 0.057817 0.063764 12.125 12.375 27483
12.5 10.662893 0.035619 0.006780 -1.823393 0.035694 0.006721 10.677375 0.067306 0.053705 -1.808914 0.067403 0.053597 12.375 12.625 14120
12.75 10.754106 0.051851 0.014304 -1.979896 0.051951 0.014202 10.764158 0.075229 0.057601 -1.969842 0.075339 0.057524 12.625 12.875 6744
13 10.812534 0.059986 0.029500 -2.170350 0.059995 0.029383 10.826530 0.080553 0.070415 -2.156354 0.080640 0.070349 12.875 13.125 3099
13.25 10.897268 0.059063 0.044021 -2.331541 0.059064 0.044013 10.906427 0.081254 0.080405 -2.322381 0.081253 0.080406 13.125 13.375 1264
13.5 10.967663 0.064284 0.032739 -2.508412 0.064459 0.032737 10.972470 0.086135 0.074586 -2.503604 0.086132 0.074585 13.375 13.625 486
13.75 11.040298 0.066834 0.035622 -2.679500 0.066834 0.035621 11.046144 0.089406 0.072196 -2.673653 0.089405 0.072196 13.625 13.875 156
14 11.034254 0.113229 0.008245 -2.931141 0.113229 0.008246 11.057601 0.127238 0.055343 -2.907796 0.127239 0.055343 13.875 14.125 29
14.25 10.926931 0.082401 0.029513 -3.290955 0.082402 0.029513 10.980387 0.102234 0.066336 -3.237499 0.102233 0.066335 14.125 14.375 4
14.5 11.336361 0.228700 0.017605 -3.099708 0.228699 0.017605 11.186833 0.222973 0.050872 -3.249236 0.222974 0.050871 14.375 14.625 1
14.75 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 14.625 14.875 0
15 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 14.875 15.125 0
15.25 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 15.125 15.375 0
15.5 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 15.375 15.625 0
15.75 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 15.625 15.875 0
