#Stellar mass averages in bins of peak halo mass.
#Log_SM: Average of Log_10(Observed SM/Msun) in each bin.
#Log_SMHM: Average of Log_10(Observed SM/HM) in each bin.
#Log_True_SM: Average of Log_10(True SM/Msun) in each bin.
#Log_True_SMHM: Average of Log_10(True SM/HM) in each bin.
#Bestfit_Halo_Counts is the number of halos in the bin for the bestfit model.
#Log10(HM_Center)(0) Log_SM(1) Err+(2) Err-(3) Log_SMHM(4) Err+(5) Err-(6) Log_True_SM(7) Err+(8) Err-(9) Log_True_SMHM(10) Err+(11) Err-(12) HM_Left_Edge(13) HM_Right_Edge(14) Bestfit_Halo_Counts(15) 
8 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 7.875 8.125 0
8.25 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 8.125 8.375 0
8.5 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 8.375 8.625 0
8.75 1.292711 0.109674 0.491501 -7.468262 0.109671 0.491503 1.296771 0.134097 0.518258 -7.464202 0.134094 0.518259 8.625 8.875 27882
9 1.926648 0.080010 0.459605 -7.087080 0.080009 0.459605 1.931131 0.119352 0.486335 -7.082600 0.119351 0.486338 8.875 9.125 49025
9.25 2.726494 0.071981 0.404601 -6.544860 0.072011 0.404623 2.730544 0.106035 0.458990 -6.540810 0.106026 0.458994 9.125 9.375 231703
9.5 3.819590 0.082525 0.360397 -5.709146 0.082481 0.360457 3.824087 0.101155 0.402488 -5.704644 0.101080 0.402521 9.375 9.625 864690
9.75 5.081733 0.084894 0.303766 -4.678526 0.084865 0.304036 5.086196 0.095840 0.339740 -4.674064 0.095699 0.339958 9.625 9.875 2.40096e+06
10 6.075761 0.055146 0.229570 -3.919919 0.055053 0.229572 6.080277 0.062551 0.271553 -3.915407 0.062521 0.271614 9.875 10.125 3.46132e+06
10.25 6.727394 0.027521 0.172154 -3.514219 0.027450 0.172317 6.732036 0.038282 0.214376 -3.509579 0.038235 0.214455 10.125 10.375 2.48176e+06
10.5 7.264904 0.007900 0.127818 -3.226692 0.007864 0.128112 7.269439 0.025841 0.173960 -3.222156 0.025913 0.174218 10.375 10.625 1.55467e+06
10.75 7.802742 0.004707 0.088435 -2.938081 0.004658 0.089055 7.807159 0.021136 0.141521 -2.933664 0.020684 0.141713 10.625 10.875 962023
11 8.332230 0.002250 0.072466 -2.657485 0.002271 0.072315 8.336660 0.013623 0.134283 -2.653059 0.013746 0.134141 10.875 11.125 589654
11.25 8.873999 0.000000 0.057290 -2.365068 0.000000 0.057088 8.878364 0.023773 0.121589 -2.360704 0.023915 0.121433 11.125 11.375 346501
11.5 9.445905 0.000674 0.053979 -2.042840 0.000677 0.053876 9.449990 0.025379 0.116480 -2.038751 0.025345 0.116271 11.375 11.625 204250
11.75 9.968072 0.001966 0.035663 -1.770827 0.002016 0.035500 9.972653 0.035362 0.103878 -1.766243 0.035561 0.103832 11.625 11.875 119261
12 10.340668 0.005508 0.018258 -1.648046 0.005587 0.018048 10.344882 0.047975 0.089791 -1.643834 0.048060 0.089530 11.875 12.125 69538
12.25 10.569928 0.014963 0.010352 -1.669465 0.015105 0.010243 10.574660 0.052921 0.077163 -1.664734 0.053123 0.077108 12.125 12.375 40327
12.5 10.713901 0.021049 0.004999 -1.774038 0.021429 0.005004 10.717617 0.056689 0.070939 -1.770324 0.056734 0.070867 12.375 12.625 22717
12.75 10.821931 0.027030 0.008820 -1.915349 0.027012 0.008813 10.828268 0.062812 0.072182 -1.909014 0.063012 0.072040 12.625 12.875 12930
13 10.925753 0.026499 0.016226 -2.060737 0.026600 0.016137 10.930810 0.056881 0.074059 -2.055682 0.057170 0.073960 12.875 13.125 7182
13.25 11.041543 0.018776 0.027047 -2.195410 0.018830 0.026981 11.044530 0.049600 0.089013 -2.192425 0.049704 0.088743 13.125 13.375 3764
13.5 11.154596 0.014524 0.037858 -2.332608 0.014508 0.038145 11.159571 0.044442 0.097347 -2.327630 0.044381 0.097374 13.375 13.625 1911
13.75 11.279355 0.021617 0.032402 -2.456589 0.021434 0.032593 11.274334 0.053284 0.087173 -2.461612 0.053102 0.087200 13.625 13.875 961
14 11.374875 0.029133 0.027485 -2.604304 0.029316 0.027299 11.374563 0.065654 0.082846 -2.604613 0.065833 0.082846 13.875 14.125 405
14.25 11.489696 0.056048 0.017763 -2.739325 0.055997 0.017761 11.490527 0.081606 0.075078 -2.738492 0.081507 0.075279 14.125 14.375 168
14.5 11.595174 0.088302 0.007394 -2.893431 0.089741 0.005667 11.588347 0.106214 0.059427 -2.900258 0.106346 0.059798 14.375 14.625 35
14.75 11.820896 0.080107 0.027091 -2.870313 0.080108 0.027091 11.756864 0.094378 0.077567 -2.934345 0.094377 0.077569 14.625 14.875 10
15 12.091352 0.171801 0.001005 -2.899819 0.171800 0.001006 11.944107 0.167715 0.041292 -3.047064 0.167715 0.041292 14.875 15.125 2
15.25 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 15.125 15.375 0
15.5 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 15.375 15.625 0
15.75 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 15.625 15.875 0
