#Stellar mass averages in bins of peak halo mass.
#Log_SM: Average of Log_10(Observed SM/Msun) in each bin.
#Log_SMHM: Average of Log_10(Observed SM/HM) in each bin.
#Log_True_SM: Average of Log_10(True SM/Msun) in each bin.
#Log_True_SMHM: Average of Log_10(True SM/HM) in each bin.
#Bestfit_Halo_Counts is the number of halos in the bin for the bestfit model.
#Log10(HM_Center)(0) Log_SM(1) Err+(2) Err-(3) Log_SMHM(4) Err+(5) Err-(6) Log_True_SM(7) Err+(8) Err-(9) Log_True_SMHM(10) Err+(11) Err-(12) HM_Left_Edge(13) HM_Right_Edge(14) Bestfit_Halo_Counts(15) 
8 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 7.875 8.125 0
8.25 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 8.125 8.375 0
8.5 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 8.375 8.625 0
8.75 1.345872 0.115367 0.465834 -7.415182 0.115366 0.465837 1.349927 0.127843 0.507701 -7.411128 0.127841 0.507705 8.625 8.875 26954
9 1.969863 0.083653 0.442137 -7.043637 0.083647 0.442141 1.973360 0.107635 0.474778 -7.040141 0.107632 0.474784 8.875 9.125 48644
9.25 2.762795 0.072710 0.399693 -6.508354 0.072688 0.399714 2.766513 0.105557 0.437421 -6.504640 0.105536 0.437423 9.125 9.375 228058
9.5 3.840953 0.070620 0.349066 -5.687501 0.070576 0.349207 3.844852 0.081306 0.393018 -5.683598 0.081233 0.393109 9.375 9.625 840542
9.75 5.105391 0.079556 0.296631 -4.655130 0.079525 0.296856 5.109241 0.084661 0.331866 -4.651280 0.084515 0.332092 9.625 9.875 2.31804e+06
10 6.102582 0.047530 0.225001 -3.893333 0.047477 0.225003 6.106462 0.058801 0.266956 -3.889452 0.058760 0.266971 9.875 10.125 3.41005e+06
10.25 6.750687 0.022730 0.172797 -3.490979 0.022686 0.172943 6.754506 0.034641 0.213366 -3.487156 0.034566 0.213531 10.125 10.375 2.4589e+06
10.5 7.288255 0.007320 0.126906 -3.203372 0.007523 0.127425 7.292043 0.022637 0.171140 -3.199583 0.022692 0.171708 10.375 10.625 1.54335e+06
10.75 7.825328 0.001739 0.086894 -2.915548 0.001696 0.087484 7.829072 0.019615 0.143112 -2.911804 0.019386 0.143292 10.625 10.875 956182
11 8.353690 0.000000 0.071738 -2.636102 0.000000 0.071642 8.357498 0.014606 0.137706 -2.632293 0.014701 0.137632 10.875 11.125 587390
11.25 8.893340 0.000508 0.055166 -2.345756 0.000550 0.054973 8.897069 0.023833 0.120693 -2.342022 0.023998 0.120619 11.125 11.375 346293
11.5 9.460067 0.001580 0.052359 -2.028731 0.001607 0.052227 9.463880 0.026749 0.117642 -2.024914 0.026781 0.117633 11.375 11.625 204187
11.75 9.973370 0.002808 0.034293 -1.765517 0.002857 0.034119 9.976693 0.037004 0.102761 -1.762189 0.037198 0.102735 11.625 11.875 119692
12 10.339736 0.006736 0.017536 -1.648964 0.006837 0.017442 10.344479 0.047984 0.089598 -1.644220 0.048072 0.089344 11.875 12.125 69922
12.25 10.570360 0.014785 0.009725 -1.669278 0.014827 0.009578 10.574275 0.053123 0.076673 -1.665369 0.053271 0.076463 12.125 12.375 40578
12.5 10.714247 0.021566 0.004662 -1.773357 0.021598 0.004663 10.718513 0.058062 0.072147 -1.769087 0.058018 0.071910 12.375 12.625 23023
12.75 10.828148 0.025815 0.009898 -1.909118 0.026111 0.009546 10.832662 0.060479 0.073757 -1.904604 0.060666 0.073627 12.625 12.875 13119
13 10.929832 0.026576 0.015297 -2.056393 0.026754 0.015145 10.933471 0.056332 0.073269 -2.052761 0.056605 0.073065 12.875 13.125 7317
13.25 11.050899 0.017572 0.026890 -2.186051 0.017527 0.026993 11.053209 0.048534 0.088005 -2.183743 0.048603 0.088046 13.125 13.375 3908
13.5 11.166543 0.015509 0.034022 -2.321557 0.015476 0.034023 11.170482 0.045901 0.095684 -2.317620 0.045912 0.095987 13.375 13.625 1982
13.75 11.277274 0.017202 0.037511 -2.458885 0.017154 0.037553 11.284018 0.050200 0.093552 -2.452147 0.050225 0.093475 13.625 13.875 1007
14 11.395248 0.026031 0.031331 -2.584835 0.026028 0.031217 11.394740 0.060981 0.090292 -2.585346 0.061151 0.090124 13.875 14.125 437
14.25 11.501980 0.051636 0.019282 -2.725601 0.051556 0.019364 11.502061 0.081791 0.074749 -2.725517 0.081789 0.074833 14.125 14.375 186
14.5 11.557627 0.088329 0.012624 -2.921403 0.088478 0.011695 11.586061 0.100997 0.064971 -2.892970 0.100999 0.064350 14.375 14.625 40
14.75 11.757826 0.074087 0.024010 -2.934333 0.074086 0.024010 11.745284 0.096945 0.078602 -2.946875 0.096944 0.078602 14.625 14.875 13
15 11.905057 0.185695 -0.006680 -3.110226 0.185695 -0.006680 11.951412 0.188578 0.030567 -3.063870 0.188577 0.030568 14.875 15.125 2
15.25 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 15.125 15.375 0
15.5 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 15.375 15.625 0
15.75 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 15.625 15.875 0
