#Stellar mass averages in bins of peak halo mass.
#Log_SM: Average of Log_10(Observed SM/Msun) in each bin.
#Log_SMHM: Average of Log_10(Observed SM/HM) in each bin.
#Log_True_SM: Average of Log_10(True SM/Msun) in each bin.
#Log_True_SMHM: Average of Log_10(True SM/HM) in each bin.
#Bestfit_Halo_Counts is the number of halos in the bin for the bestfit model.
#Log10(HM_Center)(0) Log_SM(1) Err+(2) Err-(3) Log_SMHM(4) Err+(5) Err-(6) Log_True_SM(7) Err+(8) Err-(9) Log_True_SMHM(10) Err+(11) Err-(12) HM_Left_Edge(13) HM_Right_Edge(14) Bestfit_Halo_Counts(15) 
8 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 7.875 8.125 0
8.25 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 8.125 8.375 0
8.5 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 8.375 8.625 0
8.75 1.730102 0.190302 0.443560 -7.031308 0.190301 0.443560 1.743168 0.178688 0.472378 -7.018240 0.178683 0.472383 8.625 8.875 105781
9 2.317063 0.130989 0.414179 -6.695506 0.130989 0.414178 2.331988 0.159989 0.449215 -6.680581 0.159989 0.449215 8.875 9.125 178759
9.25 3.050974 0.119981 0.369098 -6.217089 0.119974 0.369102 3.065492 0.133859 0.401628 -6.202573 0.133852 0.401630 9.125 9.375 715668
9.5 4.098485 0.120182 0.302084 -5.427233 0.120137 0.302192 4.113103 0.109827 0.322395 -5.412611 0.109764 0.322515 9.375 9.625 2.36112e+06
9.75 5.175374 0.114140 0.213989 -4.574350 0.114135 0.214131 5.190031 0.106375 0.234663 -4.559693 0.106233 0.234774 9.625 9.875 4.49926e+06
10 5.985840 0.096806 0.153951 -4.004584 0.096843 0.154035 6.000334 0.104597 0.177158 -3.990086 0.104567 0.177318 9.875 10.125 4.01835e+06
10.25 6.600626 0.094826 0.107755 -3.640219 0.094494 0.108579 6.615238 0.087152 0.132318 -3.625606 0.086686 0.133195 10.125 10.375 2.62079e+06
10.5 7.116480 0.086179 0.071410 -3.375119 0.086106 0.072079 7.131091 0.075735 0.095081 -3.360514 0.075834 0.095879 10.375 10.625 1.61574e+06
10.75 7.586352 0.060868 0.063579 -3.152527 0.061186 0.063328 7.601285 0.060329 0.088134 -3.137592 0.060578 0.087835 10.625 10.875 958548
11 8.057697 0.031851 0.055639 -2.930338 0.031901 0.055332 8.072112 0.044502 0.087036 -2.915919 0.044702 0.086897 10.875 11.125 530078
11.25 8.531336 0.009914 0.046609 -2.706235 0.009987 0.046312 8.546051 0.033165 0.090112 -2.691519 0.033344 0.089966 11.125 11.375 289354
11.5 9.010767 0.001272 0.041562 -2.476285 0.001438 0.041326 9.025181 0.029570 0.092441 -2.461871 0.029789 0.092345 11.375 11.625 156651
11.75 9.505274 0.006303 0.040076 -2.231537 0.006305 0.040055 9.518732 0.036898 0.089814 -2.218079 0.036988 0.089644 11.625 11.875 83785
12 10.009652 0.009756 0.039906 -1.976198 0.009779 0.039875 10.024217 0.045304 0.085603 -1.961633 0.045319 0.085554 11.875 12.125 43330
12.25 10.428235 0.038842 0.024171 -1.807281 0.038941 0.024159 10.441451 0.059948 0.059714 -1.794067 0.059997 0.059637 12.125 12.375 21680
12.5 10.645567 0.043167 0.005014 -1.839936 0.043231 0.004894 10.658205 0.072829 0.050996 -1.827299 0.072943 0.050956 12.375 12.625 10365
12.75 10.730651 0.065672 0.020503 -2.001162 0.065632 0.020494 10.746749 0.084429 0.064225 -1.985066 0.084410 0.064274 12.625 12.875 4601
13 10.808556 0.073420 0.041209 -2.174251 0.073451 0.041172 10.818851 0.095121 0.075347 -2.163949 0.095154 0.075315 12.875 13.125 1924
13.25 10.862913 0.074001 0.048388 -2.362108 0.074001 0.048521 10.881996 0.095877 0.084231 -2.343024 0.095733 0.084230 13.125 13.375 695
13.5 10.883538 0.091652 0.043839 -2.590136 0.091650 0.043841 10.914998 0.102355 0.077020 -2.558676 0.102352 0.077025 13.375 13.625 232
13.75 10.911835 0.084976 0.039646 -2.802866 0.084976 0.039644 10.945319 0.098961 0.081910 -2.769380 0.098962 0.081911 13.625 13.875 52
14 11.112242 0.155094 0.004912 -2.844138 0.155094 0.004911 10.966759 0.172363 0.037157 -2.989620 0.172363 0.037157 13.875 14.125 5
14.25 11.011845 0.191460 0.059245 -3.143982 0.191460 0.059245 10.688419 0.196338 0.090728 -3.467407 0.196337 0.090729 14.125 14.375 1
14.5 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 14.375 14.625 0
14.75 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 14.625 14.875 0
15 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 14.875 15.125 0
15.25 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 15.125 15.375 0
15.5 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 15.375 15.625 0
15.75 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 15.625 15.875 0
