#Stellar mass averages in bins of peak halo mass.
#Log_SM: Average of Log_10(Observed SM/Msun) in each bin.
#Log_SMHM: Average of Log_10(Observed SM/HM) in each bin.
#Log_True_SM: Average of Log_10(True SM/Msun) in each bin.
#Log_True_SMHM: Average of Log_10(True SM/HM) in each bin.
#Bestfit_Halo_Counts is the number of halos in the bin for the bestfit model.
#Log10(HM_Center)(0) Log_SM(1) Err+(2) Err-(3) Log_SMHM(4) Err+(5) Err-(6) Log_True_SM(7) Err+(8) Err-(9) Log_True_SMHM(10) Err+(11) Err-(12) HM_Left_Edge(13) HM_Right_Edge(14) Bestfit_Halo_Counts(15) 
8 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 7.875 8.125 0
8.25 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 8.125 8.375 0
8.5 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 8.375 8.625 0
8.75 1.759273 0.166607 0.436068 -7.001596 0.166608 0.436069 1.772973 0.178296 0.469031 -6.987898 0.178298 0.469031 8.625 8.875 109507
9 2.345651 0.126431 0.406715 -6.666758 0.126427 0.406716 2.360863 0.156975 0.440925 -6.651546 0.156973 0.440927 8.875 9.125 185499
9.25 3.078095 0.115559 0.364370 -6.189857 0.115556 0.364375 3.092373 0.134604 0.391451 -6.175576 0.134598 0.391461 9.125 9.375 735771
9.5 4.120847 0.116905 0.292242 -5.404712 0.116858 0.292349 4.135603 0.113263 0.322271 -5.389959 0.113267 0.322388 9.375 9.625 2.40468e+06
9.75 5.191073 0.111499 0.206804 -4.558449 0.111502 0.206913 5.205849 0.110368 0.227895 -4.543673 0.110225 0.228032 9.625 9.875 4.53576e+06
10 5.995487 0.097953 0.152578 -3.994757 0.097918 0.152667 6.010180 0.102020 0.171743 -3.980066 0.101962 0.171929 9.875 10.125 4.00844e+06
10.25 6.607329 0.096362 0.103888 -3.633521 0.096295 0.104489 6.622074 0.089223 0.131106 -3.618779 0.088756 0.131686 10.125 10.375 2.60784e+06
10.5 7.121129 0.088830 0.070873 -3.370421 0.088137 0.071664 7.135942 0.078382 0.092871 -3.355604 0.077959 0.093039 10.375 10.625 1.60738e+06
10.75 7.588842 0.062569 0.062882 -3.149931 0.062768 0.062590 7.603843 0.061625 0.085011 -3.134930 0.061869 0.084716 10.625 10.875 950755
11 8.057520 0.031946 0.055130 -2.930419 0.032119 0.054846 8.072648 0.045929 0.086439 -2.915285 0.046113 0.086311 10.875 11.125 524835
11.25 8.529925 0.010382 0.045837 -2.707554 0.010455 0.045582 8.544974 0.033028 0.088346 -2.692503 0.033319 0.088211 11.125 11.375 285406
11.5 9.006428 0.001093 0.041281 -2.480531 0.001301 0.041074 9.021660 0.029510 0.091731 -2.465295 0.029716 0.091637 11.375 11.625 154134
11.75 9.496487 0.006513 0.039585 -2.240243 0.006570 0.039484 9.511780 0.037042 0.088845 -2.224952 0.037107 0.088772 11.625 11.875 82073
12 10.000588 0.009934 0.039017 -1.985370 0.010040 0.038870 10.014270 0.043554 0.085298 -1.971689 0.043599 0.085163 11.875 12.125 42232
12.25 10.416211 0.040707 0.023398 -1.818923 0.040766 0.023399 10.432070 0.061700 0.060867 -1.803067 0.061726 0.060790 12.125 12.375 20973
12.5 10.640072 0.044493 0.004944 -1.845149 0.044533 0.004903 10.656702 0.073938 0.051219 -1.828522 0.074055 0.051208 12.375 12.625 9971
12.75 10.736087 0.067098 0.020709 -1.995656 0.067059 0.020744 10.746130 0.086226 0.065424 -1.985615 0.086192 0.065463 12.625 12.875 4382
13 10.793218 0.074423 0.042692 -2.188929 0.074458 0.042655 10.816168 0.097674 0.076848 -2.165979 0.097713 0.076806 12.875 13.125 1814
13.25 10.868747 0.076440 0.048625 -2.356239 0.076441 0.048620 10.882344 0.094039 0.083846 -2.342639 0.094036 0.083847 13.125 13.375 644
13.5 10.921513 0.091835 0.042855 -2.549210 0.091836 0.042855 10.912797 0.102873 0.077003 -2.557922 0.102870 0.077008 13.375 13.625 205
13.75 10.941815 0.098021 0.036085 -2.765075 0.098019 0.036086 10.942809 0.110046 0.074924 -2.764082 0.110045 0.074925 13.625 13.875 48
14 10.698756 0.211408 -0.007384 -3.277527 0.211408 -0.007384 10.882331 0.210999 0.026338 -3.093952 0.210998 0.026338 13.875 14.125 5
14.25 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 14.125 14.375 0
14.5 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 14.375 14.625 0
14.75 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 14.625 14.875 0
15 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 14.875 15.125 0
15.25 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 15.125 15.375 0
15.5 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 15.375 15.625 0
15.75 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 15.625 15.875 0
