#Stellar mass averages in bins of peak halo mass.
#Log_SM: Average of Log_10(Observed SM/Msun) in each bin.
#Log_SMHM: Average of Log_10(Observed SM/HM) in each bin.
#Log_True_SM: Average of Log_10(True SM/Msun) in each bin.
#Log_True_SMHM: Average of Log_10(True SM/HM) in each bin.
#Bestfit_Halo_Counts is the number of halos in the bin for the bestfit model.
#Log10(HM_Center)(0) Log_SM(1) Err+(2) Err-(3) Log_SMHM(4) Err+(5) Err-(6) Log_True_SM(7) Err+(8) Err-(9) Log_True_SMHM(10) Err+(11) Err-(12) HM_Left_Edge(13) HM_Right_Edge(14) Bestfit_Halo_Counts(15) 
8 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 7.875 8.125 0
8.25 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 8.125 8.375 0
8.5 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 8.375 8.625 0
8.75 2.587007 0.240637 0.271902 -6.173326 0.240639 0.271901 2.603555 0.224789 0.264517 -6.156778 0.224789 0.264514 8.625 8.875 203214
9 3.150222 0.210943 0.264519 -5.861359 0.210944 0.264515 3.167824 0.196227 0.274694 -5.843755 0.196227 0.274695 8.875 9.125 324367
9.25 3.803532 0.194159 0.228862 -5.461389 0.194154 0.228868 3.821117 0.179119 0.236926 -5.443804 0.179119 0.236926 9.125 9.375 1.12812e+06
9.5 4.710805 0.184385 0.175824 -4.811470 0.184347 0.175865 4.728464 0.169829 0.186744 -4.793813 0.169787 0.186786 9.375 9.625 3.235e+06
9.75 5.605042 0.162588 0.126592 -4.139301 0.162542 0.126635 5.622752 0.144272 0.146935 -4.121594 0.144257 0.147007 9.625 9.875 4.71741e+06
10 6.305606 0.151110 0.095280 -3.682090 0.151085 0.095445 6.323065 0.139946 0.108886 -3.664629 0.139908 0.109069 9.875 10.125 3.55389e+06
10.25 6.832100 0.138279 0.074697 -3.408029 0.137997 0.075012 6.849456 0.119306 0.076021 -3.390676 0.119109 0.076648 10.125 10.375 2.13154e+06
10.5 7.283656 0.108246 0.065853 -3.205555 0.108247 0.065813 7.301535 0.097515 0.065774 -3.187673 0.097538 0.065720 10.375 10.625 1.23206e+06
10.75 7.712605 0.085617 0.058368 -3.024872 0.085778 0.058175 7.729817 0.071595 0.064837 -3.007652 0.071651 0.064615 10.625 10.875 659767
11 8.145432 0.057117 0.052132 -2.841097 0.057114 0.051929 8.163306 0.061859 0.060534 -2.823226 0.061901 0.060388 10.875 11.125 341021
11.25 8.577810 0.040741 0.049326 -2.657604 0.040645 0.049109 8.596772 0.042190 0.069346 -2.638641 0.042036 0.069237 11.125 11.375 170426
11.5 9.021861 0.021403 0.051904 -2.462587 0.021455 0.051874 9.038501 0.029051 0.077031 -2.445947 0.029095 0.076946 11.375 11.625 81848
11.75 9.463628 0.011683 0.056575 -2.270488 0.011754 0.056551 9.481835 0.022860 0.084420 -2.252282 0.022934 0.084330 11.625 11.875 38152
12 9.903405 0.012313 0.055159 -2.078501 0.012323 0.055175 9.922761 0.030516 0.097152 -2.059147 0.030549 0.097138 11.875 12.125 16507
12.25 10.310859 0.025445 0.047805 -1.919282 0.025421 0.047817 10.329421 0.049719 0.081172 -1.900722 0.049725 0.081216 12.125 12.375 6846
12.5 10.595447 0.049394 0.030091 -1.882573 0.049334 0.030139 10.625865 0.068902 0.064812 -1.852153 0.068901 0.064867 12.375 12.625 2483
12.75 10.756475 0.084314 0.049520 -1.971560 0.084311 0.049520 10.777184 0.097438 0.078183 -1.950856 0.097441 0.078183 12.625 12.875 759
13 10.746138 0.129960 0.063324 -2.225702 0.129960 0.063325 10.783493 0.127075 0.083735 -2.188347 0.127075 0.083735 12.875 13.125 229
13.25 10.851541 0.168015 0.065018 -2.369970 0.168014 0.065018 10.797253 0.173785 0.087503 -2.424258 0.173782 0.087504 13.125 13.375 43
13.5 10.581451 0.209238 0.048387 -2.867661 0.209237 0.048386 10.694014 0.185257 0.075595 -2.755098 0.185256 0.075594 13.375 13.625 5
13.75 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 13.625 13.875 0
14 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 13.875 14.125 0
14.25 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 14.125 14.375 0
14.5 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 14.375 14.625 0
14.75 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 14.625 14.875 0
15 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 14.875 15.125 0
15.25 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 15.125 15.375 0
15.5 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 15.375 15.625 0
15.75 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 15.625 15.875 0
