#Stellar mass averages in bins of peak halo mass.
#Log_SM: Average of Log_10(Observed SM/Msun) in each bin.
#Log_SMHM: Average of Log_10(Observed SM/HM) in each bin.
#Log_True_SM: Average of Log_10(True SM/Msun) in each bin.
#Log_True_SMHM: Average of Log_10(True SM/HM) in each bin.
#Bestfit_Halo_Counts is the number of halos in the bin for the bestfit model.
#Log10(HM_Center)(0) Log_SM(1) Err+(2) Err-(3) Log_SMHM(4) Err+(5) Err-(6) Log_True_SM(7) Err+(8) Err-(9) Log_True_SMHM(10) Err+(11) Err-(12) HM_Left_Edge(13) HM_Right_Edge(14) Bestfit_Halo_Counts(15) 
8 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 7.875 8.125 0
8.25 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 8.125 8.375 0
8.5 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 8.375 8.625 0
8.75 1.271832 0.116155 0.494312 -7.489791 0.116155 0.494314 1.276462 0.130027 0.541746 -7.485162 0.130027 0.541748 8.625 8.875 28207
9 1.897639 0.086708 0.463163 -7.116134 0.086710 0.463165 1.902979 0.110371 0.513095 -7.110793 0.110367 0.513096 8.875 9.125 49759
9.25 2.709316 0.081235 0.425325 -6.562152 0.081214 0.425352 2.714393 0.109955 0.472934 -6.557076 0.109935 0.472962 9.125 9.375 235804
9.5 3.807885 0.095791 0.369433 -5.721246 0.095716 0.369549 3.812884 0.113354 0.411282 -5.716249 0.113280 0.411321 9.375 9.625 890520
9.75 5.062909 0.089704 0.306981 -4.697063 0.089676 0.307245 5.067971 0.096907 0.343396 -4.692002 0.096826 0.343630 9.625 9.875 2.48412e+06
10 6.053258 0.058537 0.235360 -3.942190 0.058471 0.235378 6.058330 0.068713 0.270919 -3.937117 0.068621 0.271098 9.875 10.125 3.51132e+06
10.25 6.707753 0.028163 0.172136 -3.533799 0.028097 0.172223 6.712897 0.040309 0.215788 -3.528653 0.040258 0.215809 10.125 10.375 2.50487e+06
10.5 7.244621 0.012776 0.130116 -3.246956 0.012649 0.130590 7.249745 0.028867 0.172764 -3.241834 0.028934 0.173343 10.375 10.625 1.56662e+06
10.75 7.783027 0.006031 0.089257 -2.957778 0.005881 0.089878 7.787998 0.023009 0.140127 -2.952807 0.022537 0.140335 10.625 10.875 968015
11 8.312207 0.002679 0.072675 -2.677443 0.002729 0.072501 8.317347 0.014413 0.134540 -2.672301 0.014603 0.134468 10.875 11.125 592231
11.25 8.855171 0.001711 0.059462 -2.383998 0.001825 0.059383 8.860533 0.022899 0.117990 -2.378635 0.023064 0.117645 11.125 11.375 347235
11.5 9.430921 -0.000153 0.055615 -2.057866 -0.000127 0.055483 9.435809 0.023830 0.115341 -2.052973 0.023865 0.115231 11.375 11.625 204241
11.75 9.963158 0.000006 0.037322 -1.775681 0.000029 0.037238 9.967702 0.033509 0.105182 -1.771137 0.033720 0.105128 11.625 11.875 118982
12 10.339862 0.004188 0.019167 -1.649057 0.004303 0.018990 10.345315 0.047530 0.090982 -1.643602 0.047637 0.090710 11.875 12.125 69281
12.25 10.569498 0.015245 0.010571 -1.669934 0.015384 0.010292 10.574376 0.053581 0.077300 -1.665053 0.053810 0.077010 12.125 12.375 40000
12.5 10.711909 0.022846 0.004794 -1.776300 0.022833 0.004708 10.716252 0.056077 0.069924 -1.771960 0.056163 0.069860 12.375 12.625 22526
12.75 10.818212 0.027970 0.008272 -1.919334 0.028146 0.008146 10.823709 0.062668 0.070769 -1.913836 0.062699 0.070693 12.625 12.875 12721
13 10.917352 0.026952 0.016857 -2.069226 0.027111 0.016655 10.926179 0.059095 0.073582 -2.060397 0.059299 0.073371 12.875 13.125 7000
13.25 11.027694 0.022735 0.024456 -2.209170 0.022830 0.024354 11.034459 0.052537 0.084627 -2.202407 0.052654 0.084542 13.125 13.375 3650
13.5 11.143525 0.015804 0.039491 -2.343000 0.015808 0.039526 11.151148 0.043899 0.097502 -2.335376 0.043916 0.097510 13.375 13.625 1855
13.75 11.253408 0.022467 0.033554 -2.482242 0.022403 0.033870 11.258425 0.054216 0.086197 -2.477223 0.054326 0.086513 13.625 13.875 908
14 11.352327 0.030496 0.028014 -2.624810 0.030463 0.027970 11.363082 0.065849 0.084729 -2.614054 0.065917 0.084691 13.875 14.125 379
14.25 11.450203 0.055385 0.019111 -2.776217 0.055293 0.019203 11.466100 0.081344 0.073536 -2.760317 0.081340 0.073536 14.125 14.375 152
14.5 11.576272 0.092898 0.009927 -2.912823 0.095404 0.009928 11.576712 0.107550 0.064904 -2.912384 0.109824 0.064903 14.375 14.625 32
14.75 11.720659 0.089515 0.012432 -2.946436 0.089514 0.012433 11.725302 0.111820 0.068430 -2.941794 0.111821 0.068430 14.625 14.875 8
15 11.898476 0.148946 0.007849 -3.076841 0.148947 0.007849 11.935122 0.155540 0.048981 -3.040194 0.155540 0.048980 14.875 15.125 2
15.25 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 15.125 15.375 0
15.5 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 15.375 15.625 0
15.75 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 15.625 15.875 0
