#Stellar mass averages in bins of peak halo mass.
#Log_SM: Average of Log_10(Observed SM/Msun) in each bin.
#Log_SMHM: Average of Log_10(Observed SM/HM) in each bin.
#Log_True_SM: Average of Log_10(True SM/Msun) in each bin.
#Log_True_SMHM: Average of Log_10(True SM/HM) in each bin.
#Bestfit_Halo_Counts is the number of halos in the bin for the bestfit model.
#Log10(HM_Center)(0) Log_SM(1) Err+(2) Err-(3) Log_SMHM(4) Err+(5) Err-(6) Log_True_SM(7) Err+(8) Err-(9) Log_True_SMHM(10) Err+(11) Err-(12) HM_Left_Edge(13) HM_Right_Edge(14) Bestfit_Halo_Counts(15) 
8 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 7.875 8.125 0
8.25 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 8.125 8.375 0
8.5 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 8.375 8.625 0
8.75 4.200045 0.363629 0.293927 -4.559265 0.363628 0.293930 4.221941 0.370619 0.310628 -4.537368 0.370617 0.310630 8.625 8.875 151267
9 4.689717 0.337382 0.262825 -4.318371 0.337382 0.262825 4.712815 0.340996 0.282245 -4.295271 0.340995 0.282248 8.875 9.125 207661
9.25 5.097830 0.302198 0.243565 -4.154670 0.302195 0.243567 5.119814 0.294723 0.262600 -4.132687 0.294723 0.262599 9.125 9.375 465883
9.5 5.719886 0.254152 0.208232 -3.794601 0.254153 0.208235 5.742665 0.247012 0.224853 -3.771821 0.247010 0.224856 9.375 9.625 832948
9.75 6.400335 0.224649 0.182235 -3.334275 0.224642 0.182245 6.422438 0.207911 0.190823 -3.312176 0.207908 0.190829 9.625 9.875 758067
10 6.926944 0.194288 0.137329 -3.052577 0.194275 0.137351 6.949422 0.175555 0.163774 -3.030100 0.175541 0.163789 9.875 10.125 370823
10.25 7.361872 0.149613 0.124805 -2.869153 0.149609 0.124805 7.384518 0.149381 0.148863 -2.846507 0.149386 0.148861 10.125 10.375 148648
10.5 7.776309 0.117356 0.101521 -2.703726 0.117357 0.101514 7.799933 0.126507 0.137978 -2.680103 0.126503 0.137979 10.375 10.625 54122
10.75 8.196566 0.089011 0.120203 -2.531454 0.089021 0.120201 8.223800 0.084395 0.127642 -2.504220 0.084399 0.127639 10.625 10.875 17709
11 8.605279 0.088158 0.145514 -2.367441 0.088165 0.145512 8.632889 0.081609 0.144191 -2.339833 0.081614 0.144183 10.875 11.125 5356
11.25 9.012787 0.090403 0.167340 -2.205860 0.090406 0.167340 9.036643 0.076408 0.175570 -2.182003 0.076406 0.175574 11.125 11.375 1375
11.5 9.412080 0.089141 0.245589 -2.061920 0.089137 0.245592 9.443204 0.088573 0.245067 -2.030799 0.088574 0.245066 11.375 11.625 270
11.75 9.733144 0.136663 0.371051 -1.990085 0.136664 0.371051 9.779252 0.142423 0.403255 -1.943977 0.142422 0.403255 11.625 11.875 42
12 9.912195 0.562238 0.367111 -2.050989 0.562236 0.367112 9.703371 0.552651 0.376428 -2.259814 0.552652 0.376428 11.875 12.125 7
12.25 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 12.125 12.375 0
12.5 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 12.375 12.625 0
12.75 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 12.625 12.875 0
13 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 12.875 13.125 0
13.25 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 13.125 13.375 0
13.5 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 13.375 13.625 0
13.75 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 13.625 13.875 0
14 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 13.875 14.125 0
14.25 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 14.125 14.375 0
14.5 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 14.375 14.625 0
14.75 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 14.625 14.875 0
15 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 14.875 15.125 0
15.25 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 15.125 15.375 0
15.5 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 15.375 15.625 0
15.75 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 15.625 15.875 0
