#Stellar mass averages in bins of peak halo mass.
#Log_SM: Average of Log_10(Observed SM/Msun) in each bin.
#Log_SMHM: Average of Log_10(Observed SM/HM) in each bin.
#Log_True_SM: Average of Log_10(True SM/Msun) in each bin.
#Log_True_SMHM: Average of Log_10(True SM/HM) in each bin.
#Bestfit_Halo_Counts is the number of halos in the bin for the bestfit model.
#Log10(HM_Center)(0) Log_SM(1) Err+(2) Err-(3) Log_SMHM(4) Err+(5) Err-(6) Log_True_SM(7) Err+(8) Err-(9) Log_True_SMHM(10) Err+(11) Err-(12) HM_Left_Edge(13) HM_Right_Edge(14) Bestfit_Halo_Counts(15) 
8 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 7.875 8.125 0
8.25 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 8.125 8.375 0
8.5 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 8.375 8.625 0
8.75 4.129082 0.373364 0.268366 -4.630306 0.373363 0.268369 4.150166 0.352157 0.262569 -4.609221 0.352155 0.262569 8.625 8.875 186063
9 4.629965 0.329368 0.236903 -4.378705 0.329366 0.236905 4.650501 0.322070 0.233603 -4.358170 0.322071 0.233603 8.875 9.125 262684
9.25 5.057293 0.302126 0.220059 -4.196974 0.302128 0.220059 5.078641 0.280242 0.219355 -4.175624 0.280241 0.219358 9.125 9.375 625297
9.5 5.668094 0.253120 0.194136 -3.844666 0.253113 0.194141 5.689780 0.244799 0.194227 -3.822980 0.244793 0.194232 9.375 9.625 1.10692e+06
9.75 6.370162 0.222443 0.156978 -3.365830 0.222441 0.156989 6.392066 0.206926 0.176441 -3.343926 0.206911 0.176455 9.625 9.875 1.00522e+06
10 6.895812 0.193993 0.131224 -3.085035 0.193994 0.131254 6.917463 0.177144 0.147082 -3.063385 0.177136 0.147113 9.875 10.125 533208
10.25 7.326194 0.158539 0.105340 -2.905847 0.158546 0.105331 7.348258 0.147948 0.132036 -2.883784 0.147950 0.132026 10.125 10.375 227096
10.5 7.736966 0.119012 0.095820 -2.744205 0.119021 0.095812 7.759418 0.121332 0.119598 -2.721753 0.121344 0.119587 10.375 10.625 87676
10.75 8.155395 0.089583 0.092059 -2.573351 0.089589 0.092054 8.175056 0.083726 0.103863 -2.553689 0.083722 0.103863 10.625 10.875 31329
11 8.572953 0.080561 0.109558 -2.402241 0.080577 0.109534 8.592954 0.066909 0.112658 -2.382241 0.066910 0.112637 10.875 11.125 10090
11.25 8.965384 0.079685 0.131945 -2.256407 0.079684 0.131923 8.996623 0.070432 0.138513 -2.225168 0.070453 0.138515 11.125 11.375 2818
11.5 9.375897 0.068918 0.171215 -2.088906 0.068919 0.171216 9.382803 0.078105 0.185705 -2.082000 0.078103 0.185707 11.375 11.625 685
11.75 9.724364 0.063242 0.269238 -1.996714 0.063241 0.269237 9.785537 0.079532 0.279853 -1.935542 0.079533 0.279852 11.625 11.875 127
12 10.034144 0.169586 0.340400 -1.925373 0.169586 0.340399 10.025891 0.176131 0.366149 -1.933626 0.176131 0.366149 11.875 12.125 18
12.25 9.835733 0.635324 0.337836 -2.402187 0.635323 0.337836 9.750512 0.613461 0.355022 -2.487409 0.613461 0.355023 12.125 12.375 4
12.5 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 12.375 12.625 0
12.75 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 12.625 12.875 0
13 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 12.875 13.125 0
13.25 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 13.125 13.375 0
13.5 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 13.375 13.625 0
13.75 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 13.625 13.875 0
14 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 13.875 14.125 0
14.25 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 14.125 14.375 0
14.5 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 14.375 14.625 0
14.75 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 14.625 14.875 0
15 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 14.875 15.125 0
15.25 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 15.125 15.375 0
15.5 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 15.375 15.625 0
15.75 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 15.625 15.875 0
