#Stellar mass averages in bins of peak halo mass.
#Log_SM: Average of Log_10(Observed SM/Msun) in each bin.
#Log_SMHM: Average of Log_10(Observed SM/HM) in each bin.
#Log_True_SM: Average of Log_10(True SM/Msun) in each bin.
#Log_True_SMHM: Average of Log_10(True SM/HM) in each bin.
#Bestfit_Halo_Counts is the number of halos in the bin for the bestfit model.
#Log10(HM_Center)(0) Log_SM(1) Err+(2) Err-(3) Log_SMHM(4) Err+(5) Err-(6) Log_True_SM(7) Err+(8) Err-(9) Log_True_SMHM(10) Err+(11) Err-(12) HM_Left_Edge(13) HM_Right_Edge(14) Bestfit_Halo_Counts(15) 
8 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 7.875 8.125 0
8.25 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 8.125 8.375 0
8.5 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 8.375 8.625 0
8.75 1.895870 0.383479 0.398521 -6.861923 0.383480 0.398516 1.892814 0.352175 0.461213 -6.864980 0.352177 0.461209 8.625 8.875 41550
9 2.470177 0.362353 0.347396 -6.542567 0.362352 0.347397 2.467266 0.326953 0.405046 -6.545478 0.326954 0.405049 8.875 9.125 63311
9.25 3.169413 0.278921 0.316592 -6.097763 0.278902 0.316597 3.166087 0.263939 0.381091 -6.101088 0.263916 0.381114 9.125 9.375 256582
9.5 4.165462 0.191193 0.289015 -5.359169 0.191133 0.289114 4.162265 0.153939 0.356098 -5.362362 0.153791 0.356244 9.375 9.625 766266
9.75 5.335559 0.096695 0.213048 -4.424018 0.096264 0.213205 5.332380 0.072487 0.259188 -4.427197 0.071961 0.259520 9.625 9.875 1.90455e+06
10 6.355484 0.035545 0.174919 -3.642478 0.035555 0.174807 6.352245 0.032469 0.218958 -3.645713 0.032528 0.218859 9.875 10.125 2.91413e+06
10.25 6.970970 0.012200 0.149459 -3.271262 0.012205 0.149489 6.967825 0.023157 0.202247 -3.274408 0.023102 0.202335 10.125 10.375 2.24064e+06
10.5 7.495386 -0.000688 0.122214 -2.996626 -0.000739 0.122421 7.492152 0.011961 0.176359 -2.999859 0.011915 0.176526 10.375 10.625 1.43524e+06
10.75 8.002067 -0.011131 0.090847 -2.738895 -0.011674 0.091217 7.999186 0.007023 0.151318 -2.741771 0.006898 0.152247 10.625 10.875 896061
11 8.505056 -0.014645 0.070543 -2.485142 -0.014666 0.070857 8.502028 0.014143 0.135870 -2.488171 0.014072 0.135977 10.875 11.125 554938
11.25 9.005707 -0.008440 0.063560 -2.233743 -0.008438 0.063383 9.002515 0.026898 0.127654 -2.236935 0.027113 0.127313 11.125 11.375 334838
11.5 9.512918 -0.001972 0.056139 -1.976216 -0.001928 0.056078 9.510254 0.031332 0.119105 -1.978878 0.031354 0.119063 11.375 11.625 200248
11.75 9.974296 0.000080 0.040000 -1.765259 0.000149 0.039791 9.971605 0.029912 0.109385 -1.767954 0.030128 0.109193 11.625 11.875 119441
12 10.326732 0.007530 0.028290 -1.662405 0.007754 0.028189 10.324174 0.037730 0.097361 -1.664955 0.037731 0.097315 11.875 12.125 70470
12.25 10.567463 0.012657 0.020814 -1.672524 0.012730 0.020713 10.564987 0.044806 0.088560 -1.674999 0.044893 0.088430 12.125 12.375 41447
12.5 10.731445 0.017148 0.015570 -1.756917 0.017375 0.015298 10.729309 0.050747 0.083003 -1.759052 0.050918 0.082703 12.375 12.625 24392
12.75 10.860581 0.022861 0.017669 -1.877436 0.022841 0.017688 10.856846 0.051772 0.082970 -1.881169 0.051852 0.082984 12.625 12.875 14341
13 10.980496 0.022304 0.020929 -2.007775 0.022483 0.020658 10.978333 0.050629 0.084409 -2.009936 0.050952 0.084148 12.875 13.125 8117
13.25 11.105604 0.019573 0.025156 -2.133004 0.019750 0.025189 11.103608 0.048887 0.089658 -2.135002 0.049054 0.089530 13.125 13.375 4589
13.5 11.241143 0.013664 0.033340 -2.247426 0.013805 0.033116 11.237660 0.040485 0.097727 -2.250907 0.040417 0.097484 13.375 13.625 2472
13.75 11.367257 0.014899 0.036971 -2.369307 0.015179 0.036644 11.365528 0.046235 0.098082 -2.371034 0.046320 0.097999 13.625 13.875 1326
14 11.498220 0.019866 0.035388 -2.486573 0.019975 0.035310 11.494652 0.055347 0.099659 -2.490140 0.055446 0.100089 13.875 14.125 643
14.25 11.593242 0.034023 0.028255 -2.639802 0.034131 0.028256 11.595625 0.067827 0.095047 -2.637424 0.067665 0.094930 14.125 14.375 320
14.5 11.714478 0.056455 0.015144 -2.760847 0.056453 0.015145 11.709656 0.085435 0.077085 -2.765668 0.085436 0.077692 14.375 14.625 128
14.75 11.874378 0.067905 0.021756 -2.860557 0.067906 0.021756 11.869916 0.091429 0.081353 -2.865019 0.091427 0.081352 14.625 14.875 42
15 11.790962 0.089812 0.024539 -3.115758 0.089812 0.024539 11.808610 0.106144 0.079442 -3.098109 0.106144 0.079443 14.875 15.125 6
15.25 12.472237 0.042477 0.063670 -2.735693 0.042477 0.063670 12.353790 0.063234 0.133471 -2.854139 0.063235 0.133471 15.125 15.375 2
15.5 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 15.375 15.625 0
15.75 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 15.625 15.875 0
