#Stellar mass averages in bins of peak halo mass.
#Log_SM: Average of Log_10(Observed SM/Msun) in each bin.
#Log_SMHM: Average of Log_10(Observed SM/HM) in each bin.
#Log_True_SM: Average of Log_10(True SM/Msun) in each bin.
#Log_True_SMHM: Average of Log_10(True SM/HM) in each bin.
#Bestfit_Halo_Counts is the number of halos in the bin for the bestfit model.
#Log10(HM_Center)(0) Log_SM(1) Err+(2) Err-(3) Log_SMHM(4) Err+(5) Err-(6) Log_True_SM(7) Err+(8) Err-(9) Log_True_SMHM(10) Err+(11) Err-(12) HM_Left_Edge(13) HM_Right_Edge(14) Bestfit_Halo_Counts(15) 
8 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 7.875 8.125 0
8.25 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 8.125 8.375 0
8.5 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 8.375 8.625 0
8.75 1.858041 0.369581 0.390298 -6.900044 0.369577 0.390302 1.855405 0.340547 0.449639 -6.902679 0.340545 0.449642 8.625 8.875 39927
9 2.429945 0.349638 0.335181 -6.582644 0.349637 0.335184 2.427544 0.327857 0.393649 -6.585045 0.327856 0.393650 8.875 9.125 61773
9.25 3.140316 0.291422 0.309890 -6.126989 0.291415 0.309913 3.137416 0.260699 0.376000 -6.129890 0.260674 0.376022 9.125 9.375 252362
9.5 4.150595 0.183040 0.286182 -5.374311 0.182975 0.286150 4.147649 0.151215 0.346314 -5.377256 0.151171 0.346359 9.375 9.625 763610
9.75 5.325924 0.094124 0.212856 -4.433726 0.093606 0.213289 5.322929 0.073612 0.251527 -4.436720 0.073456 0.251900 9.625 9.875 1.91158e+06
10 6.347369 0.030653 0.174944 -3.650556 0.030657 0.174886 6.344333 0.030645 0.223331 -3.653594 0.030651 0.223242 9.875 10.125 2.92555e+06
10.25 6.964365 0.010288 0.149306 -3.277861 0.010245 0.149366 6.961430 0.023408 0.201370 -3.280798 0.023369 0.201436 10.125 10.375 2.24643e+06
10.5 7.489664 -0.003494 0.124057 -3.002357 -0.003536 0.124248 7.486723 0.011489 0.175143 -3.005296 0.011438 0.175210 10.375 10.625 1.4379e+06
10.75 7.997766 -0.010705 0.090381 -2.743204 -0.010647 0.090907 7.995047 0.007858 0.152420 -2.745923 0.007633 0.153355 10.625 10.875 897672
11 8.501670 -0.013415 0.070892 -2.488549 -0.013456 0.071124 8.498916 0.013782 0.134948 -2.491302 0.013668 0.135195 10.875 11.125 555951
11.25 9.003576 -0.007699 0.062666 -2.235878 -0.007631 0.062531 9.000809 0.027312 0.126954 -2.238646 0.027486 0.126847 11.125 11.375 335258
11.5 9.512856 -0.001916 0.055948 -1.976250 -0.001941 0.055896 9.510185 0.032104 0.118165 -1.978920 0.032108 0.118151 11.375 11.625 200394
11.75 9.974991 0.000832 0.039124 -1.764533 0.000885 0.038963 9.972239 0.030545 0.108198 -1.767284 0.030737 0.108027 11.625 11.875 119506
12 10.327441 0.008554 0.027555 -1.661644 0.008611 0.027471 10.324923 0.038317 0.096746 -1.664164 0.038318 0.096685 11.875 12.125 70470
12.25 10.566928 0.012849 0.020023 -1.673028 0.012951 0.019900 10.565033 0.044960 0.088140 -1.674923 0.045089 0.087987 12.125 12.375 41521
12.5 10.730577 0.017176 0.015006 -1.757867 0.017410 0.014742 10.729145 0.050619 0.082656 -1.759303 0.050743 0.082351 12.375 12.625 24338
12.75 10.859177 0.022831 0.017220 -1.878820 0.022868 0.017259 10.856465 0.051258 0.083254 -1.881533 0.051304 0.083255 12.625 12.875 14338
13 10.980460 0.022280 0.019682 -2.007844 0.022554 0.019374 10.976624 0.050896 0.084219 -2.011680 0.051220 0.083982 12.875 13.125 8100
13.25 11.104696 0.020038 0.025612 -2.134356 0.020038 0.025643 11.102615 0.049264 0.089606 -2.136440 0.049330 0.089576 13.125 13.375 4587
13.5 11.242274 0.013322 0.033851 -2.246782 0.013480 0.033710 11.236680 0.040698 0.097977 -2.252379 0.040862 0.097694 13.375 13.625 2446
13.75 11.366912 0.014938 0.036437 -2.369096 0.015018 0.036245 11.362903 0.046288 0.099066 -2.373105 0.046407 0.099069 13.625 13.875 1320
14 11.489274 0.019841 0.035808 -2.495062 0.019763 0.035732 11.492887 0.054545 0.098737 -2.491449 0.054618 0.099031 13.875 14.125 640
14.25 11.591817 0.032182 0.028877 -2.640689 0.032295 0.028764 11.591131 0.068630 0.095339 -2.641378 0.068466 0.095224 14.125 14.375 317
14.5 11.712117 0.056020 0.016662 -2.759480 0.055830 0.016660 11.709959 0.083493 0.078014 -2.761637 0.083492 0.078156 14.375 14.625 125
14.75 11.877945 0.069500 0.021376 -2.852610 0.069500 0.021375 11.865095 0.091575 0.080949 -2.865460 0.091575 0.080948 14.625 14.875 42
15 11.804355 0.089447 0.028057 -3.101543 0.089448 0.028057 11.808261 0.101204 0.080966 -3.097637 0.101204 0.080964 14.875 15.125 6
15.25 12.351805 0.049792 0.057571 -2.853158 0.049793 0.057572 12.330549 0.074503 0.121803 -2.874413 0.074502 0.121803 15.125 15.375 2
15.5 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 15.375 15.625 0
15.75 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 15.625 15.875 0
