#Stellar mass averages in bins of peak halo mass.
#Log_SM: Average of Log_10(Observed SM/Msun) in each bin.
#Log_SMHM: Average of Log_10(Observed SM/HM) in each bin.
#Log_True_SM: Average of Log_10(True SM/Msun) in each bin.
#Log_True_SMHM: Average of Log_10(True SM/HM) in each bin.
#Bestfit_Halo_Counts is the number of halos in the bin for the bestfit model.
#Log10(HM_Center)(0) Log_SM(1) Err+(2) Err-(3) Log_SMHM(4) Err+(5) Err-(6) Log_True_SM(7) Err+(8) Err-(9) Log_True_SMHM(10) Err+(11) Err-(12) HM_Left_Edge(13) HM_Right_Edge(14) Bestfit_Halo_Counts(15) 
8 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 7.875 8.125 0
8.25 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 8.125 8.375 0
8.5 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 8.375 8.625 0
8.75 1.235799 0.184033 0.560658 -7.526818 0.184033 0.560663 1.244389 0.181661 0.606044 -7.518229 0.181660 0.606042 8.625 8.875 32670
9 1.842862 0.132643 0.513465 -7.170907 0.132643 0.513467 1.851877 0.147557 0.560737 -7.161893 0.147558 0.560736 8.875 9.125 59067
9.25 2.648551 0.130122 0.458150 -6.623656 0.130104 0.458173 2.656950 0.130735 0.510518 -6.615255 0.130715 0.510540 9.125 9.375 284857
9.5 3.764372 0.114630 0.387756 -5.766371 0.114577 0.387892 3.772739 0.120086 0.441187 -5.758004 0.120026 0.441308 9.375 9.625 1.17167e+06
9.75 4.976800 0.095760 0.311312 -4.779961 0.095687 0.311516 4.985260 0.123253 0.344105 -4.771497 0.123099 0.344294 9.625 9.875 3.09867e+06
10 5.941090 0.071903 0.233915 -4.053003 0.071813 0.234075 5.949522 0.091833 0.263064 -4.044575 0.091758 0.263222 9.875 10.125 3.8151e+06
10.25 6.603375 0.053524 0.174166 -3.637877 0.053394 0.174525 6.611755 0.055615 0.207711 -3.629499 0.055485 0.207830 10.125 10.375 2.63548e+06
10.5 7.136592 0.030380 0.123916 -3.354926 0.030079 0.124784 7.145028 0.046142 0.160100 -3.346492 0.045828 0.160731 10.375 10.625 1.6339e+06
10.75 7.666930 0.017722 0.088508 -3.073695 0.017466 0.089057 7.675294 0.030209 0.128141 -3.065332 0.030070 0.128402 10.625 10.875 1.0057e+06
11 8.188355 0.006250 0.073177 -2.800764 0.006437 0.072794 8.196594 0.023581 0.123834 -2.792525 0.023536 0.123453 10.875 11.125 600446
11.25 8.719224 0.004469 0.059559 -2.519557 0.004487 0.059335 8.727852 0.022584 0.111003 -2.510928 0.022765 0.110557 11.125 11.375 347628
11.5 9.291629 0.000000 0.060314 -2.196968 0.000000 0.060142 9.300633 0.020547 0.114476 -2.187961 0.020742 0.114231 11.375 11.625 200590
11.75 9.876673 -0.008956 0.056087 -1.861494 -0.008838 0.055817 9.885759 0.018666 0.109787 -1.852406 0.018734 0.109705 11.625 11.875 115310
12 10.317152 0.000752 0.028319 -1.671604 0.001007 0.028162 10.326271 0.035344 0.091735 -1.662490 0.035536 0.091469 11.875 12.125 65628
12.25 10.560109 0.012474 0.014655 -1.677711 0.012584 0.014495 10.568925 0.052078 0.076205 -1.668900 0.052241 0.076063 12.125 12.375 36946
12.5 10.692490 0.028146 0.004183 -1.794906 0.028207 0.004183 10.703295 0.065778 0.063313 -1.784100 0.065917 0.063182 12.375 12.625 20430
12.75 10.787999 0.034359 0.007613 -1.949020 0.034523 0.007472 10.797022 0.070596 0.061600 -1.939998 0.070673 0.061594 12.625 12.875 10979
13 10.877023 0.034800 0.020033 -2.109886 0.034882 0.019863 10.887344 0.065013 0.068452 -2.099559 0.065147 0.068279 12.875 13.125 5697
13.25 10.969728 0.028838 0.033831 -2.265243 0.028862 0.033845 10.977544 0.057634 0.082329 -2.257430 0.057660 0.082407 13.125 13.375 2860
13.5 11.073545 0.026766 0.041574 -2.409364 0.026765 0.041618 11.086265 0.054571 0.095112 -2.396640 0.054501 0.095114 13.375 13.625 1296
13.75 11.159988 0.031910 0.030450 -2.570049 0.031692 0.030446 11.168905 0.063393 0.088411 -2.561129 0.063351 0.088458 13.625 13.875 595
14 11.271890 0.045493 0.021744 -2.712855 0.045497 0.021744 11.275012 0.078037 0.078069 -2.709731 0.078038 0.078070 13.875 14.125 212
14.25 11.450049 0.060856 0.019243 -2.752044 0.060853 0.019242 11.436962 0.090936 0.073020 -2.765132 0.090934 0.073021 14.125 14.375 54
14.5 11.292806 0.111316 0.014893 -3.162287 0.111316 0.014892 11.402864 0.119360 0.055573 -3.052228 0.119360 0.055573 14.375 14.625 10
14.75 11.712581 0.067462 0.049766 -3.113681 0.067462 0.049766 11.758307 0.083926 0.089858 -3.067954 0.083926 0.089859 14.625 14.875 2
15 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 14.875 15.125 0
15.25 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 15.125 15.375 0
15.5 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 15.375 15.625 0
15.75 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 15.625 15.875 0
