#Peak halo masses in Msun
#Fractions of *quenched satellites* that were quenched after infall
#MW Mass Range: 10^11.75 - 10^12.25 Msun.
#Group Mass Range: 10^12.75 - 10^13.25 Msun.
#Cluster Mass Range: 10^13.75 - 10^14.25 Msun.
#Quenched threshold: true SSFR < 1e-11/yr
#Bestfit_X_Counts is the number of halos in the bin for the bestfit model.
#Log10(HM) FQ_infall(Sats_MW) Err+ Err- FQ_infall(Sats_Group) Err+ Err- FQ_infall(Sats_Cluster) Err+ Err- HM_Left_Edge HM_Right_Edge Bestfit_Halo_Counts  Bestfit_Sat_MW_Counts Bestfit_Sat_GR_Counts Bestfit_Sat_CL_Counts
8.00 0 0 0 0 0 0 0 0 0 7.875 8.125 0 0 0 0
8.25 0 0 0 0 0 0 0 0 0 8.125 8.375 0 0 0 0
8.50 0 0 0 0 0 0 0 0 0 8.375 8.625 0 0 0 0
8.75 0 0 0 0 0 0 0 0 0 8.625 8.875 77765 216 180 10
9.00 0 0 0 0 0 0 0 0 0 8.875 9.125 136150 853 732 69
9.25 0 0 0 0 1 0 0 0 0 9.125 9.375 574113 6830 5834 600
9.50 0 0.333333 -0.1 0 0.292683 0 0.5 0 0.5 9.375 9.625 2.02833e+06 33965 23218 2237
9.75 0.118644 0.134819 -0.0352021 0.206897 0.184408 -0.00297998 0 0.233333 0 9.625 9.875 4.17737e+06 74881 41194 3768
10.00 0.32 0.194019 0.116116 0.5 0.0416667 0.313433 1 -0.1875 0.692308 9.875 10.125 4.06021e+06 84113 43207 4208
10.25 0.84 -0.00417906 0.49 0.823529 0.0226244 0.526232 1 0 1 10.125 10.375 2.69057e+06 76273 37337 3671
10.50 0.931035 -0.0278087 0.181035 0.87931 0.065134 0.12931 0.9 0.1 0.193201 10.375 10.625 1.65873e+06 69244 30665 3127
10.75 0.925 -0.00192308 0.08125 0.898734 0.0191763 0.0610573 0.851852 0.148148 0.0185186 10.625 10.875 1.00104e+06 56038 22363 2341
11.00 0.875 0.0353261 0.0274823 0.915408 0.000417054 0.0613645 0.86 0.0873684 0.035 10.875 11.125 564640 39791 14851 1548
11.25 0.869396 0.0401787 0.00824755 0.871875 0.0404057 0.0174052 0.918919 0.0222576 0.0783392 11.125 11.375 313114 26561 10000 1002
11.50 0.835938 0.0561488 0.00251955 0.852165 0.0532616 0.00740212 0.855769 0.0673077 0.0197036 11.375 11.625 173994 14452 6605 539
11.75 0.791291 0.0765501 0.00153863 0.818994 0.0618771 0.0272365 0.825397 0.0482874 0.0424511 11.625 11.875 95171 4091 4629 388
12.00 0.769231 0.0745192 0.025641 0.724313 0.112752 0.00291288 0.740157 0.129408 0.0146673 11.875 12.125 50919 398 3142 262
12.25 0.705882 0.176471 -0.00245094 0.620888 0.110357 0.0149337 0.637168 0.0745435 0.0494488 12.125 12.375 26386 26 1997 162
12.50 0.428571 0 0.0952381 0.485222 0.0765632 0.0188591 0.478261 0.0842391 0.0394854 12.375 12.625 13411 7 1138 109
12.75 1 0 0.5 0.358871 0.0643656 0.0242985 0.301587 0.142857 0.0359623 12.625 12.875 6345 2 316 73
13.00 0 0 0 0.384615 0.0953846 0 0.212766 0.0580674 0.101655 12.875 13.125 2829 0 32 49
13.25 0 0 0 0 0 0 0.121212 0.0909091 0.030303 13.125 13.375 1163 0 2 33
13.50 0 0 0 0 0 0 0.0714286 0 0 13.375 13.625 427 0 0 14
13.75 0 0 0 0 0 0 0.333333 0 0 13.625 13.875 128 0 0 3
14.00 0 0 0 0 0 0 0 0 0 13.875 14.125 22 0 0 1
14.25 0 0 0 0 0 0 0 0 0 14.125 14.375 3 0 0 0
14.50 0 0 0 0 0 0 0 0 0 14.375 14.625 1 0 0 0
14.75 0 0 0 0 0 0 0 0 0 14.625 14.875 0 0 0 0
15.00 0 0 0 0 0 0 0 0 0 14.875 15.125 0 0 0 0
15.25 0 0 0 0 0 0 0 0 0 15.125 15.375 0 0 0 0
15.50 0 0 0 0 0 0 0 0 0 15.375 15.625 0 0 0 0
15.75 0 0 0 0 0 0 0 0 0 15.625 15.875 0 0 0 0
