#Peak halo masses in Msun
#Fractions of satellites that were quenched due to infall (f_q,sat - f_q,cen)
#MW Mass Range: 10^11.75 - 10^12.25 Msun.
#Group Mass Range: 10^12.75 - 10^13.25 Msun.
#Cluster Mass Range: 10^13.75 - 10^14.25 Msun.
#Quenched threshold: true SSFR < 1e-11/yr
#Bestfit_X_Counts is the number of galaxies in the bin for the bestfit model.
#Log10(HM_Center) FQ_infall(Sats) Err+ Err- FQ_infall(Sats_MW) Err+ Err- FQ_infall(Sats_Group) Err+ Err- FQ_infall(Sats_Cluster) Err+ Err- HM_Left_Edge HM_Right_Edge Bestfit_Halo_Counts Bestfit_Satellite_Counts Bestfit_Sats_MW_Counts Bestfit_Sats_GR_Counts Bestfit_Sats_Cluster_Counts
8 0 0 0 0 0 0 0 0 0 0 0 0 7.875 8.125 0 0 0 0 0
8.25 0 0 0 0 0 0 0 0 0 0 0 0 8.125 8.375 0 0 0 0 0
8.5 0 0 0 0 0 0 0 0 0 0 0 0 8.375 8.625 0 0 0 0 0
8.75 0 0 0 0 0 0 0 0 0 0 0 0 8.625 8.875 206619 2531 46 3 0
9 0 0 0 0 0 0 0 0 0 0 0 0 8.875 9.125 332689 3487 214 31 0
9.25 -8.89753e-07 8.89753e-07 8.89572e-07 -8.89753e-07 8.89753e-07 8.89645e-07 -8.89753e-07 8.89753e-07 8.89645e-07 -8.89753e-07 8.89753e-07 2.66898e-06 9.125 9.375 1.14561e+06 21701 2525 358 0
9.5 3.05275e-06 7.07329e-05 6.76606e-07 -2.26829e-06 0.00020793 3.22835e-07 -2.26829e-06 1.94383e-06 8.73972e-06 -2.26829e-06 1.29659e-06 1.90982e-05 9.375 9.625 3.27395e+06 187933 21824 2512 0
9.75 1.44614e-05 7.29977e-05 5.95003e-06 1.8337e-05 0.000163219 6.33265e-06 -3.54776e-06 0.000187421 1.65272e-05 -3.54776e-06 5.1698e-09 4.62589e-05 9.625 9.875 4.67224e+06 444219 45694 4449 0
10 -1.60823e-06 8.23625e-05 1.42325e-06 -5.91996e-06 0.000281315 1.96013e-06 -5.91996e-06 0.000167708 2.20244e-05 -5.91996e-06 -3.27615e-07 4.60977e-05 9.875 10.125 3.50441e+06 463851 50061 4599 0
10.25 2.62553e-06 9.93472e-05 2.62553e-06 0 0.000167462 3.50842e-06 0.000220459 1.28048e-05 0.000223386 0 0 1.29149e-05 10.125 10.375 2.08897e+06 380876 47676 4536 0
