#Peak halo masses in Msun
#Fractions of satellites that were quenched due to infall (f_q,sat - f_q,cen)
#MW Mass Range: 10^11.75 - 10^12.25 Msun.
#Group Mass Range: 10^12.75 - 10^13.25 Msun.
#Cluster Mass Range: 10^13.75 - 10^14.25 Msun.
#Quenched threshold: true SSFR < 1e-11/yr
#Bestfit_X_Counts is the number of galaxies in the bin for the bestfit model.
#Log10(HM_Center) FQ_infall(Sats) Err+ Err- FQ_infall(Sats_MW) Err+ Err- FQ_infall(Sats_Group) Err+ Err- FQ_infall(Sats_Cluster) Err+ Err- HM_Left_Edge HM_Right_Edge Bestfit_Halo_Counts Bestfit_Satellite_Counts Bestfit_Sats_MW_Counts Bestfit_Sats_GR_Counts Bestfit_Sats_Cluster_Counts
8 0 0 0 0 0 0 0 0 0 0 0 0 7.875 8.125 0 0 0 0 0
8.25 0 0 0 0 0 0 0 0 0 0 0 0 8.125 8.375 0 0 0 0 0
8.5 0 0 0 0 0 0 0 0 0 0 0 0 8.375 8.625 0 0 0 0 0
8.75 0 0 0 0 0 0 0 0 0 0 0 0 8.625 8.875 309711 5429 0 0 0
9 0 0 0 0 0 0 0 0 0 0 0 0 8.875 9.125 459125 5808 5 0 0
9.25 0 0 0 0 0 0 0 0 0 0 0 0 9.125 9.375 1.17641e+06 14624 130 0 0
9.5 0 0 0 0 0 0 0 0 4.79518e-07 0 0 4.79518e-07 9.375 9.625 2.14819e+06 62956 905 0 0
9.75 0 0 0 0 0 0 0 0 0 0 0 0 9.625 9.875 2.10971e+06 113765 1941 0 0
10 0 9.55913e-06 0 0 0 0 0 0 0 0 0 0 9.875 10.125 1.32147e+06 110850 2597 0 0
10.25 0 8.43106e-05 0 0 0.000476468 0 0 0 0 0 0 0 10.125 10.375 680316 87782 2465 0 0
10.5 0 0.000307826 0 0 0.000534188 0 0 0 3.69641e-06 0 0 3.69641e-06 10.375 10.625 307991 37479 1751 0 0
10.75 0 0.00119679 0 0 0.00308166 0 0 0 2.50756e-05 0 0 2.50756e-05 10.625 10.875 133176 13544 1203 0 0
11 0 0.00202235 0 0 0.00486354 0 0 0 0.000185567 0 0 0.000185567 10.875 11.125 53283 4780 749 0 0
11.25 0.000660066 0.00757929 0.000660066 0.00192678 0.013976 0.00192678 0 0 0.000763859 0 0 0.000763859 11.125 11.375 19843 1515 519 0 0
11.5 0 0.00932719 0 0 0.0131285 0 0 0 0.0031317 0 0 0.0031317 11.375 11.625 6452 385 243 0 0
11.75 -0.000581734 0.0139932 -0.000581734 -0.000581734 0.000581734 0.00232693 -0.000581734 0.000581734 0.0116347 -0.000581734 0.000581734 0.0116347 11.625 11.875 1810 91 66 0 0
12 -0.010661 0.0433547 -0.010661 -0.010661 0.0217958 -0.00639659 -0.010661 0.010661 0.0277186 -0.010661 0.010661 0.0277186 11.875 12.125 490 21 9 0 0
12.25 -0.012987 0.012987 0.0909091 -0.012987 0.012987 0.103896 -0.012987 0.012987 0.103896 -0.012987 0.012987 0.103896 12.125 12.375 78 1 0 0 0
12.5 -0.15 0.15 0.2 -0.15 0.15 0.2 -0.15 0.15 0.2 -0.15 0.15 0.2 12.375 12.625 20 0 0 0 0
12.75 -0.5 0.5 0.5 -0.5 0.5 0.5 -0.5 0.5 0.5 -0.5 0.5 0.5 12.625 12.875 2 0 0 0 0
13 0 0 0 0 0 0 0 0 0 0 0 0 12.875 13.125 0 0 0 0 0
13.25 0 0 0 0 0 0 0 0 0 0 0 0 13.125 13.375 0 0 0 0 0
13.5 0 0 0 0 0 0 0 0 0 0 0 0 13.375 13.625 0 0 0 0 0
13.75 0 0 0 0 0 0 0 0 0 0 0 0 13.625 13.875 0 0 0 0 0
14 0 0 0 0 0 0 0 0 0 0 0 0 13.875 14.125 0 0 0 0 0
14.25 0 0 0 0 0 0 0 0 0 0 0 0 14.125 14.375 0 0 0 0 0
14.5 0 0 0 0 0 0 0 0 0 0 0 0 14.375 14.625 0 0 0 0 0
14.75 0 0 0 0 0 0 0 0 0 0 0 0 14.625 14.875 0 0 0 0 0
15 0 0 0 0 0 0 0 0 0 0 0 0 14.875 15.125 0 0 0 0 0
15.25 0 0 0 0 0 0 0 0 0 0 0 0 15.125 15.375 0 0 0 0 0
15.5 0 0 0 0 0 0 0 0 0 0 0 0 15.375 15.625 0 0 0 0 0
15.75 0 0 0 0 0 0 0 0 0 0 0 0 15.625 15.875 0 0 0 0 0
