#Observed stellar masses in Msun
#Fractions of satellites that were quenched due to infall (f_q,sat - f_q,cen)
#MW Mass Range: 10^11.75 - 10^12.25 Msun.
#Group Mass Range: 10^12.75 - 10^13.25 Msun.
#Cluster Mass Range: 10^13.75 - 10^14.25 Msun.
#Quenched threshold: observed SSFR < 1e-11/yr
#Bestfit_X_Counts is the number of galaxies in the bin for the bestfit model.
#Log10(SM_Center) Median_FQ_infall(Sats) Err+ Err- Median_FQ_infall(Sats_MW) Err+ Err- Median_FQ_infall(Sats_Group) Err+ Err- Median_FQ_infall(Sats_Cluster) Err+ Err- SM_Left_Edge SM_Right_Edge Bestfit_Galaxy_Counts Bestfit_Satellite_Counts Bestfit_Sats_MW_Counts Bestfit_Sats_GR_Counts Bestfit_Sats_Cluster_Counts
7.3 0.00507655 0.00444513 0.00229675 0.00517515 0.00469012 0.0024443 0.00634746 0.00516005 0.00268396 0.00656163 0.00724728 0.0029084 7.2 7.4 597918 136367 20496 17066 10410
7.5 0.00900923 0.00616618 0.00360058 0.00911661 0.0064373 0.00362302 0.00934457 0.00644038 0.00388712 0.00933413 0.00814051 0.00416926 7.4 7.6 490816 116887 18675 15380 9183
7.7 0.0180814 0.0101351 0.00677054 0.018761 0.0117945 0.007892 0.015407 0.0104345 0.00597215 0.0172382 0.0108668 0.00641705 7.6 7.8 403484 99556 16934 13334 8075
7.9 0.0294166 0.0131024 0.00944168 0.0309366 0.0127096 0.0103156 0.0267344 0.0133143 0.00857078 0.0296657 0.0178414 0.00923089 7.8 8 338468 92258 16028 12369 7696
8.1 0.0363519 0.0128887 0.0104621 0.0386302 0.0122023 0.010664 0.0352085 0.0147899 0.0110941 0.0414177 0.0190315 0.0133391 8 8.2 287088 89457 16291 11896 7634
8.3 0.0460428 0.0145398 0.0119176 0.0496915 0.015635 0.0146356 0.0465544 0.0156756 0.0120954 0.0502629 0.0208248 0.0137214 8.2 8.4 239137 80498 15587 11053 6752
8.5 0.0617206 0.0161988 0.0145243 0.06544 0.0163708 0.0155009 0.0633851 0.0169792 0.0156655 0.0679477 0.0211207 0.0139369 8.4 8.6 193287 66070 13779 9307 5706
8.7 0.0801657 0.0162191 0.0167192 0.0814378 0.0184327 0.0183711 0.0816737 0.0164561 0.0147921 0.0949521 0.0239067 0.0189219 8.6 8.8 154714 53236 11816 8026 4882
8.9 0.102738 0.0159518 0.0189152 0.100048 0.0166626 0.0180994 0.105527 0.0179944 0.0191335 0.120368 0.0230036 0.01824 8.8 9 123993 42097 10234 6641 4087
9.1 0.119358 0.0176908 0.0187995 0.111004 0.0194386 0.022376 0.123481 0.018691 0.0208133 0.138971 0.0233861 0.0194151 9 9.2 99400 33521 8467 5587 3343
9.3 0.142802 0.0225956 0.0216604 0.12438 0.0231617 0.0216274 0.145534 0.0239757 0.0218364 0.172821 0.0224228 0.0213594 9.2 9.4 81360 27089 6780 4766 2936
9.5 0.16827 0.0240163 0.025653 0.133478 0.0230419 0.0266582 0.181397 0.0258162 0.0286418 0.180496 0.021695 0.0202059 9.4 9.6 68812 22476 5389 4235 2499
9.7 0.184821 0.0271483 0.0291552 0.117284 0.0281604 0.0313494 0.203996 0.0286385 0.0315227 0.214622 0.0262153 0.0258116 9.6 9.8 60655 19445 4108 3796 2265
9.9 0.205438 0.0275974 0.0272889 0.114459 0.0296503 0.024353 0.238438 0.0279411 0.0313461 0.23305 0.0278896 0.0228812 9.8 10 54419 16905 2673 3699 2177
10.1 0.224222 0.0313614 0.0312754 0.0811056 0.0380117 0.0321353 0.253669 0.0347426 0.0293318 0.265059 0.0266537 0.0356881 10 10.2 50480 15266 1654 3645 2041
10.3 0.231816 0.028215 0.0296318 0.0618344 0.0392797 0.041214 0.261388 0.030887 0.0277487 0.278406 0.0288709 0.0285658 10.2 10.4 47309 13616 871 3647 1968
10.5 0.238711 0.0280323 0.0329418 0.0264244 0.0343574 0.0336544 0.247763 0.032598 0.0346811 0.305452 0.0233718 0.0288427 10.4 10.6 42091 11580 362 3388 1839
10.7 0.22522 0.0238848 0.0258658 0.0450366 0.0465555 0.0503254 0.220052 0.0258096 0.0269904 0.289648 0.0213162 0.0236679 10.6 10.8 33716 8699 121 2627 1610
10.9 0.194878 0.0169648 0.0204728 0.129751 0.0565108 0.0661824 0.164039 0.0175152 0.0204122 0.259696 0.0201029 0.0212085 10.8 11 21845 5228 46 1580 1094
11.1 0.130367 0.0172505 0.0184503 -0.00412154 0.0815749 0.134212 0.0516158 0.0245782 0.024548 0.206031 0.0101299 0.0135773 11 11.2 10868 2296 7 540 588
11.3 0.0754802 0.0164181 0.0141619 0.231304 0.0231844 0.0477405 -0.0822257 0.0368822 0.033578 0.140058 0.0171358 0.020431 11.2 11.4 3851 633 3 108 227
11.5 0.00940371 0.0179215 0.0268641 -0.885854 0.0230166 0.0189083 0.0511734 0.0632545 0.101276 0.0272503 0.033842 0.0292303 11.4 11.6 988 94 0 7 44
11.7 0.0552486 0.0216745 0.0603039 -0.932489 0.0186139 0.0124647 -0.932432 0.0195884 0.0125217 0.0615385 0.0195426 0.140759 11.6 11.8 215 15 0 0 6
11.9 0.0357143 0.0309524 0.87782 -0.956522 0.0305958 0.0434783 -0.956522 0.0305958 0.0434783 -0.941176 0.978213 0.0588235 11.8 12 18 1 0 0 0
12.1 -1 0 0 -1 0 0 -1 0 0 -1 0 0 12 12.2 1 0 0 0 0
12.3 0 0 0 0 0 0 0 0 0 0 0 0 12.2 12.4 0 0 0 0 0
12.5 0 0 0 0 0 0 0 0 0 0 0 0 12.4 12.6 0 0 0 0 0
12.7 0 0 0 0 0 0 0 0 0 0 0 0 12.6 12.8 0 0 0 0 0
12.9 0 0 0 0 0 0 0 0 0 0 0 0 12.8 13 0 0 0 0 0
13.1 0 0 0 0 0 0 0 0 0 0 0 0 13 13.2 0 0 0 0 0
