#Peak halo masses in Msun
#Fractions of *quenched satellites* that were quenched after infall
#MW Mass Range: 10^11.75 - 10^12.25 Msun.
#Group Mass Range: 10^12.75 - 10^13.25 Msun.
#Cluster Mass Range: 10^13.75 - 10^14.25 Msun.
#Quenched threshold: true SSFR < 1e-11/yr
#Bestfit_X_Counts is the number of halos in the bin for the bestfit model.
#Log10(HM) FQ_infall(Sats_MW) Err+ Err- FQ_infall(Sats_Group) Err+ Err- FQ_infall(Sats_Cluster) Err+ Err- HM_Left_Edge HM_Right_Edge Bestfit_Halo_Counts  Bestfit_Sat_MW_Counts Bestfit_Sat_GR_Counts Bestfit_Sat_CL_Counts
8.00 0 0 0 0 0 0 0 0 0 7.875 8.125 0 0 0 0
8.25 0 0 0 0 0 0 0 0 0 8.125 8.375 0 0 0 0
8.50 0 0 0 0 0 0 0 0 0 8.375 8.625 0 0 0 0
8.75 0 0 0 0 0 0 0 0 0 8.625 8.875 28063 207 428 354
9.00 0 0 0 0 0 0 0 0 0 8.875 9.125 49459 696 1460 1200
9.25 0 0 0 0 0 0 0 0 0 9.125 9.375 233695 4401 8886 6994
9.50 0 1 0 0.8 0.0125 0.355556 0.333333 0.450722 0.047619 9.375 9.625 877317 13707 18965 14544
9.75 0.409091 0.146465 0.0965909 0.625 0.0719697 0.214744 0.73913 0.0108696 0.33913 9.625 9.875 2.44171e+06 33712 36320 26606
10.00 0.912621 0.00824195 0.107066 0.934426 -0.0065574 0.16475 0.950704 -0.0182718 0.152806 9.875 10.125 3.4861e+06 60316 58986 41910
10.25 0.955556 0.0139567 0.0165312 0.950954 0.0140556 0.02044 0.946588 0.0301566 0.00214314 10.125 10.375 2.49341e+06 59621 55475 37955
10.50 0.9683 0.00877768 0.00947618 0.96496 0.00789756 0.0087952 0.969152 0.01174 0.00683743 10.375 10.625 1.56076e+06 49180 43287 30046
10.75 0.964358 0.00905824 0.0067392 0.968421 0.00476235 0.00815117 0.968958 0.008075 0.00476813 10.625 10.875 964848 39955 32106 22072
11.00 0.94934 0.0199657 0.000950933 0.946299 0.0199038 0.00199914 0.961197 0.0103532 0.00469661 10.875 11.125 591034 31718 22885 14999
11.25 0.929346 0.032166 0.000715554 0.92949 0.0269857 0.00173008 0.942489 0.0181881 0.00581586 11.125 11.375 346827 22715 14744 9653
11.50 0.880097 0.0529495 -0.00177985 0.872401 0.0523064 0.00352681 0.903827 0.0324661 0.00944424 11.375 11.625 204281 13632 9910 6037
11.75 0.788743 0.0829629 -0.0164675 0.791803 0.06799 -0.00478333 0.832706 0.0368338 0.0114291 11.625 11.875 119044 4387 6570 3861
12.00 0.782609 0.0358626 0.0097149 0.646051 0.0868044 -0.0143694 0.684673 0.0511636 0.000939548 11.875 12.125 69413 481 4667 2441
12.25 0.596774 0.0647643 -0.00563544 0.523787 0.0652273 -0.00937617 0.543103 0.0367782 0.0102627 12.125 12.375 40158 81 3038 1549
12.50 0.588235 0.0588235 0.0382353 0.378925 0.0563616 0.00512341 0.389952 0.0380966 0.0171711 12.375 12.625 22654 20 1826 1005
12.75 0.5 0.0555556 0 0.307102 0.0462817 0.0195791 0.307922 0.0369053 0.013382 12.625 12.875 12794 8 613 736
13.00 0 0.333333 0 0.208333 0.0661765 0.044697 0.160756 0.0219133 0.0333527 12.875 13.125 7105 3 57 456
13.25 0 0 0 0.5 0 0.0555556 0.0813559 0.0153107 0.0130965 13.125 13.375 3690 1 9 309
13.50 0 0 0 1 0 0.5 0.0342857 0.0111688 0.0116868 13.375 13.625 1895 0 2 181
13.75 0 0 0 0 0 0 0.0545455 0.01563 0.00191388 13.625 13.875 939 0 0 58
14.00 0 0 0 0 0 0 0 0 0 13.875 14.125 389 0 0 4
14.25 0 0 0 0 0 0 0 0 0 14.125 14.375 162 0 0 2
14.50 0 0 0 0 0 0 0 0 0 14.375 14.625 32 0 0 0
14.75 0 0 0 0 0 0 0 0 0 14.625 14.875 9 0 0 0
15.00 0 0 0 0 0 0 0 0 0 14.875 15.125 2 0 0 0
15.25 0 0 0 0 0 0 0 0 0 15.125 15.375 0 0 0 0
15.50 0 0 0 0 0 0 0 0 0 15.375 15.625 0 0 0 0
15.75 0 0 0 0 0 0 0 0 0 15.625 15.875 0 0 0 0
