#Peak halo mass range: 8.875 < log10(Mh/Msun) < 9.125
#Quenched threshold: True SFR / True SM < 1e-11 / yr
#True SFHs in units of Msun/yr.
#See documentation for explanation of true vs. observed SFRs and SMs.
#Bestfit_X_Galaxies_Remaining: number of galaxies with most-massive progenitor trees extending to the scale factor in question.
#Scale_factor F(Q)_given_SF@z=0 Err+ Err- F(Q)_given_Q@z=0 Err+ Err- Bestfit_SF_Halos_Remaining Bestfit_Q_Halos_Remaining
1.002310 0 0 0 1 0 1 61665 12
0.994717 1.62167e-05 0.000308417 1.62167e-05 0.5 0.125 0.5 61665 12
0.987123 8.10833e-05 0.00024346 8.10833e-05 0.333333 0.0666667 0.333333 61665 12
0.979529 6.48666e-05 8.11543e-05 6.48666e-05 0.166667 0.119048 0.166667 61665 12
0.971935 4.865e-05 8.11422e-05 4.865e-05 0.166667 0.0833333 0.166667 61665 12
0.964342 3.24333e-05 4.86592e-05 3.24333e-05 0.0833333 0.0219298 0.0833333 61665 12
0.956748 1.62167e-05 9.73183e-05 1.62167e-05 0.0833333 -0.00333334 0.0833333 61665 12
0.949154 4.865e-05 1.62167e-05 4.865e-05 0.0833333 -0.0119048 0.0833333 61665 12
0.941560 0 4.86555e-05 0 0.0833333 -0.0208333 0.0833333 61665 12
0.933967 0 3.2438e-05 0 0.0833333 -0.0245098 0.0833333 61665 12
0.926373 1.62167e-05 8.10943e-05 1.62167e-05 0.0833333 -0.0245098 0.0833333 61665 12
0.918779 1.62167e-05 3.24365e-05 1.62167e-05 0.0833333 -0.0245098 0.0833333 61665 12
0.911185 1.62167e-05 3.24215e-05 1.62167e-05 0.0833333 -0.0245098 0.0833333 61665 12
0.903592 3.24333e-05 1.62222e-05 1.62209e-05 0.0833333 -0.0245098 0.0833333 61665 12
0.895998 3.24333e-05 1.62238e-05 3.24333e-05 0.0833333 -0.0277778 0.0833333 61665 12
0.888404 4.865e-05 1.02591e-08 4.865e-05 0 0.0434783 0 61665 12
0.880810 1.62167e-05 3.21365e-06 1.62167e-05 0 0 0 61665 12
0.873217 1.62167e-05 -3.67982e-09 1.62167e-05 0 0 0 61665 12
0.865623 1.62167e-05 1.62167e-05 1.62167e-05 0 0 0 61665 12
0.858029 0 1.62135e-05 0 0 0 0 61665 12
0.850435 0 0 0 0 0 0 61665 12
0.842842 0 0 0 0 0 0 61665 12
0.835248 0 0 0 0 0 0 61665 12
0.827654 0 0 0 0 0 0 61665 12
0.820060 0 0 0 0 0 0 61665 12
0.812467 0 0 0 0 0 0 61665 12
0.804873 0 1.6218e-05 0 0 0 0 61665 12
0.797279 0 0 0 0 0 0 61665 12
0.789685 0 0 0 0 0 0 61665 12
0.782092 0 0 0 0 0 0 61665 12
0.774498 0 0 0 0 0 0 61665 12
0.766904 0 0 0 0 0 0 61665 12
0.759310 0 0 0 0 0 0 61665 12
0.751717 0 0 0 0 0 0 61665 12
0.744123 0 0 0 0 0 0 61665 12
0.736529 0 0 0 0 0 0 61665 12
0.728935 0 0 0 0 0 0 61665 12
0.721342 0 0 0 0 0 0 61665 12
0.713748 0 0 0 0 0 0 61665 12
0.706154 0 0 0 0 0 0 61665 12
0.698560 0 0 0 0 0 0 61665 12
0.690967 0 0 0 0 0 0 61665 12
0.683373 0 0 0 0 0 0 61665 12
0.678310 0 0 0 0 0 0 61665 12
0.673248 0 0 0 0 0 0 61665 12
0.668185 0 0 0 0 0 0 61665 12
0.663123 0 0 0 0 0 0 61665 12
0.658060 0 0 0 0 0 0 61665 12
0.652998 0 0 0 0 0 0 61665 12
0.647935 0 0 0 0 0 0 61665 12
0.642873 0 0 0 0 0 0 61665 12
0.637810 0 0 0 0 0 0 61665 12
0.632748 0 0 0 0 0 0 61665 12
0.627685 0 0 0 0 0 0 61665 12
0.622623 0 0 0 0 0 0 61665 12
0.617560 0 0 0 0 0 0 61665 12
0.612498 0 0 0 0 0 0 61665 12
0.607435 0 0 0 0 0 0 61665 12
0.602373 0 0 0 0 0 0 61665 12
0.597310 0 0 0 0 0 0 61665 12
