#Peak halo masses in Msun
#Fractions of satellites that were quenched due to infall (f_q,sat - f_q,cen)
#MW Mass Range: 10^11.75 - 10^12.25 Msun.
#Group Mass Range: 10^12.75 - 10^13.25 Msun.
#Cluster Mass Range: 10^13.75 - 10^14.25 Msun.
#Quenched threshold: true SSFR < 1e-11/yr
#Bestfit_X_Counts is the number of galaxies in the bin for the bestfit model.
#Log10(HM_Center) FQ_infall(Sats) Err+ Err- FQ_infall(Sats_MW) Err+ Err- FQ_infall(Sats_Group) Err+ Err- FQ_infall(Sats_Cluster) Err+ Err- HM_Left_Edge HM_Right_Edge Bestfit_Halo_Counts Bestfit_Satellite_Counts Bestfit_Sats_MW_Counts Bestfit_Sats_GR_Counts Bestfit_Sats_Cluster_Counts
8 0 0 0 0 0 0 0 0 0 0 0 0 7.875 8.125 0 0 0 0 0
8.25 0 0 0 0 0 0 0 0 0 0 0 0 8.125 8.375 0 0 0 0 0
8.5 0 0 0 0 0 0 0 0 0 0 0 0 8.375 8.625 0 0 0 0 0
8.75 0 0 5.85466e-06 0 0 5.85466e-06 0 0 5.85466e-06 0 0 5.85466e-06 8.625 8.875 172944 2140 85 22 0
9 0 0 3.58958e-06 0 0 0 0 0 3.58958e-06 0 0 3.58958e-06 8.875 9.125 281972 3388 380 101 0
9.25 -3.03112e-06 3.52717e-05 3.0304e-06 -3.03112e-06 2.02082e-06 6.06167e-06 -3.03112e-06 2.02079e-06 7.07137e-06 -3.03112e-06 1.01054e-06 1.3133e-05 9.125 9.375 1.0145e+06 24764 4009 1130 0
9.5 2.93084e-05 0.00015483 4.79077e-06 9.07661e-05 0.00032981 -2.87495e-06 0.000132574 0.000627916 0.000133652 -9.35069e-06 2.52451e-06 0.0001114 9.375 9.625 2.98748e+06 206937 29965 7046 0
9.75 2.19404e-05 0.00028243 -1.41043e-06 4.67376e-05 0.00081878 -1.51466e-05 5.12707e-05 0.000574229 1.72801e-05 -3.13398e-05 6.71623e-06 0.000264659 9.625 9.875 4.81438e+06 506755 64039 12105 0
10 1.35672e-05 0.000152915 1.15885e-05 6.43582e-05 0.000453879 2.8284e-05 0.000225587 0.000544954 7.17291e-05 -2.43507e-05 0 0.00020463 9.875 10.125 3.77172e+06 527456 67637 12003 0
10.25 2.00953e-05 0.000157725 1.79505e-05 1.54991e-05 0.000258128 9.02541e-06 8.93694e-05 0.000574969 0.000104587 -5.26323e-07 -5.24289e-07 6.26069e-05 10.125 10.375 2.33641e+06 436436 62401 11124 0
