#Observed stellar masses in Msun
#Fractions of satellites that were quenched due to infall (f_q,sat - f_q,cen)
#MW Mass Range: 10^11.75 - 10^12.25 Msun.
#Group Mass Range: 10^12.75 - 10^13.25 Msun.
#Cluster Mass Range: 10^13.75 - 10^14.25 Msun.
#Quenched threshold: observed SSFR < 1e-11/yr
#Bestfit_X_Counts is the number of galaxies in the bin for the bestfit model.
#Log10(SM_Center) Median_FQ_infall(Sats) Err+ Err- Median_FQ_infall(Sats_MW) Err+ Err- Median_FQ_infall(Sats_Group) Err+ Err- Median_FQ_infall(Sats_Cluster) Err+ Err- SM_Left_Edge SM_Right_Edge Bestfit_Galaxy_Counts Bestfit_Satellite_Counts Bestfit_Sats_MW_Counts Bestfit_Sats_GR_Counts Bestfit_Sats_Cluster_Counts
7.3 0.0101298 0.0084183 0.00404754 0.00988807 0.00892222 0.00420961 0.0118591 0.00921575 0.0049439 0.0120871 0.0107824 0.00472744 7.2 7.4 652479 140626 17437 17229 15035
7.5 0.0137682 0.00968272 0.00519767 0.0126531 0.011077 0.00506271 0.0153143 0.0110044 0.00521329 0.0178962 0.0118161 0.00662865 7.4 7.6 564267 127526 16517 16007 14261
7.7 0.019983 0.0115358 0.00607442 0.0206899 0.0127729 0.00675888 0.0213357 0.0125293 0.00688373 0.0245252 0.0127612 0.00816637 7.6 7.8 477567 112013 15263 14669 13059
7.9 0.0338831 0.019905 0.0104473 0.03368 0.0236506 0.0113433 0.0330275 0.0166369 0.0101135 0.0354672 0.0173938 0.00969432 7.8 8 394573 96134 13621 13047 11471
8.1 0.0569653 0.0283532 0.0157108 0.0573621 0.0321603 0.0202733 0.0523689 0.0267855 0.0146903 0.0574316 0.022034 0.0127752 8 8.2 324355 85930 12750 11886 10507
8.3 0.0776241 0.0258116 0.016847 0.0763296 0.031966 0.0198938 0.0733633 0.0253291 0.0155697 0.0818457 0.0265313 0.0151791 8.2 8.4 271888 80638 12130 11266 10024
8.5 0.0916419 0.0271961 0.0189648 0.0907562 0.0364407 0.0211873 0.0932935 0.0263858 0.0175606 0.0982264 0.0276771 0.0174803 8.4 8.6 226227 74009 11521 10254 9153
8.7 0.111008 0.0273775 0.0204552 0.107513 0.033018 0.0243414 0.1099 0.0273321 0.0208123 0.121674 0.0260326 0.0166009 8.6 8.8 184911 62836 10407 9170 7912
8.9 0.132938 0.0267379 0.0217005 0.136705 0.0303473 0.0277274 0.128281 0.0251344 0.0207006 0.139903 0.029061 0.0190344 8.8 9 148469 50339 9032 7400 6637
9.1 0.154686 0.0243093 0.0212734 0.151699 0.0342638 0.0270274 0.152226 0.0251429 0.023616 0.175252 0.0266718 0.0204921 9 9.2 120597 40824 7896 6205 5468
9.3 0.179686 0.025327 0.0234517 0.170431 0.0314477 0.0299422 0.175323 0.0281322 0.0253251 0.193939 0.0258073 0.0198659 9.2 9.4 99477 33300 6500 5321 4657
9.5 0.204142 0.0277351 0.0264349 0.180676 0.0364283 0.0335324 0.207731 0.0268049 0.0286703 0.20986 0.0217474 0.0182103 9.4 9.6 83727 27672 5206 4561 4175
9.7 0.229195 0.0244329 0.0233654 0.184049 0.0353285 0.027047 0.231974 0.0329799 0.0254698 0.258361 0.0221014 0.0181945 9.6 9.8 72428 23713 3999 4212 3689
9.9 0.248017 0.0269947 0.0244238 0.173681 0.0381165 0.0331469 0.256672 0.0290276 0.0271872 0.288142 0.0235628 0.0193855 9.8 10 63375 20422 2743 3621 3342
10.1 0.260874 0.0240674 0.022883 0.166316 0.0397463 0.0326297 0.281406 0.030526 0.0291627 0.274307 0.0168433 0.0168279 10 10.2 57327 18188 1664 3645 3077
10.3 0.277968 0.0260551 0.0259299 0.158204 0.0424486 0.0458992 0.290767 0.0290738 0.0259035 0.290524 0.0202103 0.0196754 10.2 10.4 51877 16094 786 3560 2926
10.5 0.26787 0.0243101 0.0203087 0.171695 0.0455011 0.0435857 0.275262 0.0324174 0.0252416 0.296255 0.0195199 0.0205215 10.4 10.6 44772 13286 270 3197 2518
10.7 0.257007 0.0203651 0.0184738 0.191501 0.0561984 0.0476785 0.249325 0.0252281 0.0219265 0.291293 0.017774 0.0169173 10.6 10.8 35786 10334 113 2579 2189
10.9 0.208495 0.0193716 0.0161385 0.152389 0.0475105 0.0648852 0.172809 0.0237277 0.0242529 0.256678 0.0159211 0.0176615 10.8 11 23720 6309 30 1486 1509
11.1 0.15992 0.019599 0.0160881 0.158689 0.147664 0.0936607 0.0986233 0.0242566 0.0201362 0.1731 0.0216826 0.0142534 11 11.2 12055 2747 5 459 830
11.3 0.0952674 0.0126874 0.0145091 0.172892 0.0383715 0.987883 0.0648546 0.0294642 0.0288809 0.0882928 0.0153816 0.015243 11.2 11.4 4954 877 1 76 331
11.5 0.0104921 0.0178612 0.0139577 -0.915638 0.0238415 0.0176082 -0.0941073 0.0561669 0.0834258 0.0232292 0.0192978 0.0260822 11.4 11.6 1744 219 0 7 78
11.7 0.0304568 0.0191885 0.0203813 -0.963441 0.0204153 0.0133033 -0.962801 0.021256 0.0138074 0.0317003 0.0198692 0.0211071 11.6 11.8 501 36 0 0 11
11.9 0.019802 0.0227512 0.955286 -0.976744 0.0255247 0.0123863 -0.976744 0.0255247 0.0123863 0.00925928 0.0240741 0.990391 11.8 12 92 3 0 0 1
12.1 -0.933333 0.0509804 0.0296296 -0.933333 0.0444444 0.0321839 -0.933333 0.0444444 0.0321839 -0.933333 0.0444444 0.0321839 12 12.2 14 0 0 0 0
12.3 0 0 1 0 0 1 0 0 1 0 0 1 12.2 12.4 1 0 0 0 0
12.5 0 0 0 0 0 0 0 0 0 0 0 0 12.4 12.6 0 0 0 0 0
12.7 0 0 0 0 0 0 0 0 0 0 0 0 12.6 12.8 0 0 0 0 0
12.9 0 0 0 0 0 0 0 0 0 0 0 0 12.8 13 0 0 0 0 0
13.1 0 0 0 0 0 0 0 0 0 0 0 0 13 13.2 0 0 0 0 0
