#Peak halo masses in Msun
#Fractions of *quenched satellites* that were quenched after infall
#MW Mass Range: 10^11.75 - 10^12.25 Msun.
#Group Mass Range: 10^12.75 - 10^13.25 Msun.
#Cluster Mass Range: 10^13.75 - 10^14.25 Msun.
#Quenched threshold: true SSFR < 1e-11/yr
#Bestfit_X_Counts is the number of halos in the bin for the bestfit model.
#Log10(HM) FQ_infall(Sats_MW) Err+ Err- FQ_infall(Sats_Group) Err+ Err- FQ_infall(Sats_Cluster) Err+ Err- HM_Left_Edge HM_Right_Edge Bestfit_Halo_Counts  Bestfit_Sat_MW_Counts Bestfit_Sat_GR_Counts Bestfit_Sat_CL_Counts
8.00 0 0 0 0 0 0 0 0 0 7.875 8.125 0 0 0 0
8.25 0 0 0 0 0 0 0 0 0 8.125 8.375 0 0 0 0
8.50 0 0 0 0 0 0 0 0 0 8.375 8.625 0 0 0 0
8.75 0 0 0 0 0 0 0 0 0 8.625 8.875 27961 217 436 376
9.00 0 0 0 0 0 0 0 0 0 8.875 9.125 49371 674 1407 1214
9.25 0 0 0 0 0 0 0 0 0 9.125 9.375 232707 4232 8657 7007
9.50 1 0 1 1 -0.166667 0.615385 0.5 0.25 0.333333 9.375 9.625 870634 13361 18623 14545
9.75 0.5 0.0357143 0.2125 0.823529 -0.0927602 0.389319 0.833333 -0.0304946 0.378788 9.625 9.875 2.42126e+06 33150 35848 26832
10.00 0.933962 0.000617146 0.136343 0.909091 -0.00745159 0.156879 0.935897 -0.00331312 0.116748 9.875 10.125 3.47374e+06 59718 58858 42501
10.25 0.975078 -0.00272763 0.0271612 0.960784 0.00575846 0.0285809 0.961433 0.0182423 0.00845444 10.125 10.375 2.48759e+06 59230 55409 38689
10.50 0.948579 0.0239723 -0.00799656 0.965044 0.010454 0.00605595 0.9773 0.00220835 0.0160878 10.375 10.625 1.55788e+06 48806 43134 30661
10.75 0.962508 0.0121615 0.00771546 0.96338 0.0108659 0.0033803 0.969993 0.00526524 0.0086289 10.625 10.875 963318 39707 32011 22507
11.00 0.960604 0.010012 0.00850189 0.94529 0.0236677 0 0.963791 0.00924081 0.00608975 10.875 11.125 590322 31469 22793 15296
11.25 0.929685 0.0327671 0 0.928226 0.0292665 0 0.941794 0.0183761 0.0035665 11.125 11.375 346660 22463 14715 9877
11.50 0.884589 0.0500096 0.00184566 0.868217 0.0549423 0.00318855 0.907345 0.0287967 0.0113141 11.375 11.625 204271 13536 9894 6143
11.75 0.796908 0.0704495 -0.00866646 0.791267 0.067578 -0.00273752 0.830688 0.0362673 0.010812 11.625 11.875 119158 4412 6530 3924
12.00 0.748936 0.0622733 -0.00106382 0.654606 0.0825083 -0.0122861 0.690873 0.0541838 0 11.875 12.125 69463 489 4659 2496
12.25 0.627119 0.0554211 0.0169492 0.524786 0.0677 -0.00904906 0.537053 0.0364763 0.0102601 12.125 12.375 40219 84 3031 1578
12.50 0.714286 0 0.047619 0.380919 0.0553682 0.00346515 0.3979 0.0351812 0.0145865 12.375 12.625 22723 17 1825 1008
12.75 0.6 0.0666667 0 0.313726 0.0503953 0.0246346 0.307692 0.034413 0.0178834 12.625 12.875 12846 5 606 755
13.00 0 0.25 0 0.254545 0.0454546 0.0648903 0.159722 0.0210813 0.0314562 12.875 13.125 7164 3 63 465
13.25 0.333333 0 0 0.428571 0.142857 0 0.08 0.0187261 0.01 13.125 13.375 3723 3 7 311
13.50 0 0 0 1 0 0 0.0486486 0.0101749 0.0114146 13.375 13.625 1902 0 1 187
13.75 0 0 0 0 0 0 0.0714286 0.0012987 0.0178571 13.625 13.875 949 0 0 59
14.00 0 0 0 0 0 0 0 0 0 13.875 14.125 397 0 0 4
14.25 0 0 0 0 0 0 0 0 0 14.125 14.375 164 0 0 2
14.50 0 0 0 0 0 0 0 0 0 14.375 14.625 34 0 0 0
14.75 0 0 0 0 0 0 0 0 0 14.625 14.875 10 0 0 0
15.00 0 0 0 0 0 0 0 0 0 14.875 15.125 2 0 0 0
15.25 0 0 0 0 0 0 0 0 0 15.125 15.375 0 0 0 0
15.50 0 0 0 0 0 0 0 0 0 15.375 15.625 0 0 0 0
15.75 0 0 0 0 0 0 0 0 0 15.625 15.875 0 0 0 0
