#Peak halo masses in Msun
#MW Mass Range: 10^11.75 - 10^12.25 Msun.
#Group Mass Range: 10^12.75 - 10^13.25 Msun.
#Cluster Mass Range: 10^13.75 - 10^14.25 Msun.
#Quenched threshold: true SSFR < 1e-11/yr
#Bestfit_X_Counts is the number of halos in the bin for the bestfit model.
#Log10(HM) FQ(Centrals) Err+ Err- FQ(Sats) Err+ Err- FQ(Sats_MW) Err+ Err- FQ(Sats_Group) Err+ Err- FQ(Sats_Cluster) Err+ Err- HM_Left_Edge HM_Right_Edge Bestfit_Halo_Counts  Bestfit_Cen_Halo_Counts Bestfit_Sat_Halo_Counts Bestfit_Sat_MW_Counts Bestfit_Sat_GR_Counts Bestfit_Sat_CL_Counts
8.00 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7.875 8.125 0 0 0 0 0 0
8.25 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8.125 8.375 0 0 0 0 0 0
8.50 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8.375 8.625 0 0 0 0 0 0
8.75 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8.625 8.875 178278 175983 2295 90 19 0
9.00 0 3.49676e-06 0 0 0 0 0 0 0 0 0 0 0 0 0 8.875 9.125 289330 285978 3352 342 83 0
9.25 9.89084e-07 1.08785e-05 9.89084e-07 0 8.22808e-05 0 0 0 0 0 0 0 0 0 0 9.125 9.375 1.03532e+06 1.01104e+06 24279 3748 963 0
9.50 7.07632e-06 8.20337e-05 2.48078e-06 1.95268e-05 0.000226509 9.86582e-06 6.8861e-05 0.000336449 3.48347e-05 0 0.000643604 0 0 0 0 9.375 9.625 3.03117e+06 2.82633e+06 204847 29044 6167 0
9.75 2.96803e-05 0.000235553 6.01416e-06 6.19928e-05 0.000463415 3.5643e-06 9.7023e-05 0.000734748 1.68935e-05 0.00018486 0.000454701 5.51993e-06 0 0 0 9.625 9.875 4.81268e+06 4.31262e+06 500058 61841 10819 0
10.00 2.142e-05 0.000189429 -5.82475e-07 1.91813e-05 0.000294107 -1.58851e-07 3.05139e-05 0.000604516 1.28691e-06 9.28419e-05 0.000416929 5.79454e-06 0 0 0 9.875 10.125 3.74263e+06 3.22129e+06 521340 65544 10771 0
10.25 3.19759e-06 4.72804e-05 5.38643e-07 1.39471e-05 0.000152318 5.05943e-06 1.64055e-05 0.000202762 3.58766e-06 0 0.000702186 0 0 0 0 10.125 10.375 2.30661e+06 1.87642e+06 430197 60955 10120 0
10.50 9.57462e-07 2.48461e-05 9.57462e-07 7.72848e-05 0.000468458 7.46613e-05 9.34597e-05 0.000827789 9.34597e-05 0 0.000843971 0 0 0 0 10.375 10.625 1.38085e+06 1.04443e+06 336418 53499 8554 0
10.75 1.53436e-05 6.47765e-05 1.53436e-05 0.000474365 0.00181644 0.000474365 0.000542131 0.00245852 0.000542131 0.00137127 0.00288606 0.00137127 0 0 0 10.625 10.875 765750 586563 179187 38736 5834 0
11.00 0.000143468 0.00041776 0.000143468 0.00280395 0.00617567 0.00280395 0.00375796 0.00686038 0.00375796 0.00686197 0.0111068 0.00686197 0 0 0 10.875 11.125 405865 320628 85237 26078 3789 0
11.25 0.00136658 0.00189762 0.00136658 0.0129594 0.0173228 0.0129347 0.0129024 0.0173596 0.0129024 0.0245572 0.0255139 0.0241891 0 0 0 11.125 11.375 209736 171231 38505 16586 2484 0
11.50 0.00673826 0.00560993 0.00673826 0.0446801 0.04101 0.0442813 0.0336969 0.031523 0.0336969 0.0695093 0.0584166 0.0671661 0 0 0 11.375 11.625 105063 88747 16316 8161 1712 0
11.75 0.0287763 0.0162756 0.0285965 0.115022 0.067254 0.105066 0.0699734 0.0484026 0.0673279 0.152679 0.0853745 0.136631 0 0 0 11.625 11.875 51271 44481 6790 2258 1120 0
12.00 0.0942199 0.0258872 0.0888158 0.237257 0.0835986 0.180571 0.13 0.052243 0.10619 0.291262 0.100405 0.19734 0 0 0 11.875 12.125 24007 21280 2727 200 721 0
12.25 0.227141 0.0352975 0.160258 0.397423 0.0669671 0.18126 0.307692 0.104072 0 0.463576 0.0770832 0.203576 0 0 0 12.125 12.375 10294 9285 1009 13 453 0
12.50 0.426139 0.0701052 0.160491 0.564516 0.0744615 0.119003 0 0 0 0.578947 0.08627 0.137899 0 0 0 12.375 12.625 4304 3994 310 0 228 0
12.75 0.617904 0.157933 0.131732 0.581395 0.186047 0.0697674 1 0 0 0.580645 0.193548 0.0645161 0 0 0 12.625 12.875 1460 1374 86 1 62 0
13.00 0.838384 0.109091 0.107071 0.833333 0.0555556 0.0555555 0 0 0 0.666667 0.111111 0 0 0 0 12.875 13.125 513 495 18 0 9 0
13.25 0.927273 0.0272727 0.0454546 1 0 0.4 0 0 0 1 0 1 0 0 0 13.125 13.375 115 110 5 0 1 0
13.50 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 13.375 13.625 29 26 3 0 0 0
13.75 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 13.625 13.875 1 1 0 0 0 0
14.00 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 13.875 14.125 0 0 0 0 0 0
14.25 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 14.125 14.375 0 0 0 0 0 0
14.50 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 14.375 14.625 0 0 0 0 0 0
