#Peak halo masses in Msun
#Fractions of satellites that were quenched due to infall (f_q,sat - f_q,cen)
#MW Mass Range: 10^11.75 - 10^12.25 Msun.
#Group Mass Range: 10^12.75 - 10^13.25 Msun.
#Cluster Mass Range: 10^13.75 - 10^14.25 Msun.
#Quenched threshold: true SSFR < 1e-11/yr
#Bestfit_X_Counts is the number of galaxies in the bin for the bestfit model.
#Log10(HM_Center) FQ_infall(Sats) Err+ Err- FQ_infall(Sats_MW) Err+ Err- FQ_infall(Sats_Group) Err+ Err- FQ_infall(Sats_Cluster) Err+ Err- HM_Left_Edge HM_Right_Edge Bestfit_Halo_Counts Bestfit_Satellite_Counts Bestfit_Sats_MW_Counts Bestfit_Sats_GR_Counts Bestfit_Sats_Cluster_Counts
8 0 0 0 0 0 0 0 0 0 0 0 0 7.875 8.125 0 0 0 0 0
8.25 0 0 0 0 0 0 0 0 0 0 0 0 8.125 8.375 0 0 0 0 0
8.5 0 0 0 0 0 0 0 0 0 0 0 0 8.375 8.625 0 0 0 0 0
8.75 0 0 0 0 0 0 0 0 0 0 0 0 8.625 8.875 28063 2363 207 428 354
9 0 0 0 0 0 0 0 0 0 0 0 0 8.875 9.125 49459 7185 696 1460 1200
9.25 0 0 5.26396e-06 0 0 5.26396e-06 0 0 5.26396e-06 0 0 5.26396e-06 9.125 9.375 233695 43737 4401 8886 6994
9.5 6.88255e-05 0.000214387 -1.76303e-05 -5.00311e-05 0.000232508 1.18374e-05 0.000213612 0.0003134 1.11334e-05 0.00015624 0.000398508 5.41024e-06 9.375 9.625 877317 117789 13707 18965 14544
9.75 0.000210578 0.000639166 3.03238e-05 0.000127959 0.00103964 -6.69481e-05 0.00035643 0.00107276 7.25801e-05 0.000339839 0.0011461 5.34377e-05 9.625 9.875 2.44171e+06 299236 33712 36320 26606
10 0.00116839 0.00138889 0.000616143 0.00104994 0.00157476 0.000523181 0.00141055 0.00181385 0.000620021 0.00273048 0.00191211 0.00160257 9.875 10.125 3.4861e+06 501610 60316 58986 41910
10.25 0.0041792 0.00322351 0.00170934 0.00428656 0.00342513 0.00156047 0.00561878 0.0039899 0.00219582 0.00788212 0.00341583 0.00392105 10.125 10.375 2.49341e+06 466961 59621 55475 37955
