#Peak halo masses in Msun
#MW Mass Range: 10^11.75 - 10^12.25 Msun.
#Group Mass Range: 10^12.75 - 10^13.25 Msun.
#Cluster Mass Range: 10^13.75 - 10^14.25 Msun.
#Quenched threshold: true SSFR < 1e-11/yr
#Bestfit_X_Counts is the number of halos in the bin for the bestfit model.
#Log10(HM) FQ(Centrals) Err+ Err- FQ(Sats) Err+ Err- FQ(Sats_MW) Err+ Err- FQ(Sats_Group) Err+ Err- FQ(Sats_Cluster) Err+ Err- HM_Left_Edge HM_Right_Edge Bestfit_Halo_Counts  Bestfit_Cen_Halo_Counts Bestfit_Sat_Halo_Counts Bestfit_Sat_MW_Counts Bestfit_Sat_GR_Counts Bestfit_Sat_CL_Counts
8.00 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7.875 8.125 0 0 0 0 0 0
8.25 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8.125 8.375 0 0 0 0 0 0
8.50 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8.375 8.625 0 0 0 0 0 0
8.75 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8.625 8.875 303853 299413 4440 0 0 0
9.00 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8.875 9.125 482107 476877 5230 26 0 0
9.25 0 7.3093e-07 0 0 0 0 0 0 0 0 0 0 0 0 0 9.125 9.375 1.38558e+06 1.36835e+06 17230 434 5 0
9.50 0 3.6689e-07 0 1.01404e-05 -2.77487e-09 1.01404e-05 0 0 0 0 0 0 0 0 0 9.375 9.625 2.8227e+06 2.72408e+06 98615 3417 31 0
9.75 0 3.52968e-07 0 0 4.95268e-06 0 0 0 0 0 0 0 0 0 0 9.625 9.875 3.02921e+06 2.83011e+06 199099 7184 51 0
10.00 0 1.6284e-06 0 0 3.90417e-05 0 0 0.000307882 0 0 0 0 0 0 0 9.875 10.125 2.03731e+06 1.83997e+06 197334 8681 80 0
10.25 0 5.36003e-06 0 0 0.000129955 0 0 0.000493974 0 0 0 0 0 0 0 10.125 10.375 1.09719e+06 932134 165057 9069 74 0
10.50 0 1.76705e-05 0 0 0.000264751 0 0 0.000569719 0 0 0 0 0 0 0 10.375 10.625 535002 452639 82363 6383 59 0
10.75 0 8.28764e-05 0 3.114e-05 0.00126009 3.114e-05 0 0.00292595 0 0 0 0 0 0 0 10.625 10.875 249296 217183 32113 4198 41 0
11.00 0 0.000255003 0 0 0.00322209 0 0 0.00440827 0 0 0 0 0 0 0 10.875 11.125 110499 98045 12454 2815 19 0
11.25 0.000170159 0.0012399 0.000170159 0.000452899 0.00873546 0.000452899 0 0.0109951 0 0 0.0909091 0 0 0 0 11.125 11.375 45554 41138 4416 1718 12 0
11.50 0.000433463 0.00396309 0.000433463 0.00455581 0.026341 0.00455581 0.00464576 0.0283463 0.00464576 0 0 0 0 0 0 11.375 11.625 17466 16149 1317 861 15 0
11.75 0.00317628 0.0151756 0.00317628 0.0155763 0.0463432 0.0155763 0.014218 0.0473934 0.014218 0 0 0 0 0 0 11.625 11.875 5988 5667 321 211 7 0
12.00 0.0167564 0.0305206 0.0167564 0.0576923 0.105769 0.0576923 0 0.103448 0 0.166667 0.166667 0.166667 0 0 0 11.875 12.125 1775 1671 104 29 6 0
12.25 0.0497738 0.081448 0.0497738 0 0.133333 0 0 0 0 0 0 0 0 0 0 12.125 12.375 457 442 15 1 1 0
12.50 0.118812 0.227723 0.118812 0.333333 0.166667 0.333333 0 0 0 0.5 0.25 0.5 0 0 0 12.375 12.625 107 101 6 0 4 0
12.75 0.25 0.3125 0.25 0 0 0 0 0 0 0 0 0 0 0 0 12.625 12.875 16 16 0 0 0 0
13.00 0.666667 0.333333 0.333333 0 0 0 0 0 0 0 0 0 0 0 0 12.875 13.125 3 3 0 0 0 0
13.25 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 13.125 13.375 0 0 0 0 0 0
13.50 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 13.375 13.625 0 0 0 0 0 0
13.75 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 13.625 13.875 0 0 0 0 0 0
14.00 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 13.875 14.125 0 0 0 0 0 0
14.25 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 14.125 14.375 0 0 0 0 0 0
14.50 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 14.375 14.625 0 0 0 0 0 0
14.75 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 14.625 14.875 0 0 0 0 0 0
15.00 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 14.875 15.125 0 0 0 0 0 0
15.25 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 15.125 15.375 0 0 0 0 0 0
15.50 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 15.375 15.625 0 0 0 0 0 0
15.75 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 15.625 15.875 0 0 0 0 0 0
