#Observed stellar masses in Msun
#MW Mass Range: 10^11.75 - 10^12.25 Msun.
#Group Mass Range: 10^12.75 - 10^13.25 Msun.
#Cluster Mass Range: 10^13.75 - 10^14.25 Msun.
#Quenched threshold: observed SSFR < 1e-11/yr
#Bestfit_X_Counts is the number of galaxies in the bin for the bestfit model.
#Log10(SM_Center) Median_FQ(Centrals) Err+ Err- Median_FQ(Sats) Err+ Err- Median_FQ(Sats_MW) Err+ Err- Median_FQ(Sats_Group) Err+ Err- Median_FQ(Sats_Cluster) Err+ Err- SM_Left_Edge SM_Right_Edge Bestfit_Galaxy_Counts Bestfit_Central_Galaxy_Counts Bestfit_Sat_Galaxy_Counts Bestfit_Sats_MW_Counts Bestfit_Sats_GR_Counts Bestfit_Sats_Cluster_Counts
7.3 0.00085852 0.00116305 0.000468405 0.0043 0.00429044 0.00241404 0.00475124 0.00469326 0.00271261 0.00419788 0.00420853 0.00236915 0.00433039 0.00447272 0.00300335 7.2 7.4 579135 446454 132681 22251 15691 6485
7.5 0.00123382 0.00133991 0.000781158 0.00808376 0.00767456 0.00486409 0.00854576 0.00640524 0.00566211 0.00726202 0.00633461 0.00440403 0.00812858 0.00901213 0.00488554 7.4 7.6 469785 355592 114193 20376 14253 5826
7.7 0.00184732 0.00204506 0.00118159 0.01349 0.0102977 0.00746946 0.0137126 0.0108313 0.00758592 0.0127276 0.00884124 0.0067163 0.0160218 0.013296 0.00910896 7.6 7.8 387181 282169 105012 19790 12945 5431
7.9 0.00295185 0.00296758 0.00177043 0.0193466 0.0130994 0.00949679 0.0201309 0.0126451 0.0102207 0.0186916 0.0132898 0.00934055 0.0224104 0.0178392 0.0115474 7.8 8 328395 226479 101916 19832 12745 5385
8.1 0.00479964 0.00421857 0.00280133 0.0275372 0.0155272 0.01284 0.0296047 0.0157257 0.0135542 0.0273203 0.0171795 0.0123987 0.0296863 0.0220725 0.0136185 8 8.2 273766 181374 92392 19136 11661 5193
8.3 0.00747465 0.00593065 0.00377622 0.0389757 0.019132 0.0155292 0.0417131 0.0195789 0.0171442 0.0415604 0.0199675 0.0163334 0.0481662 0.0260902 0.0195796 8.2 8.4 221518 145408 76110 17080 10075 4407
8.5 0.0115752 0.00742438 0.00495266 0.0568196 0.0230784 0.0201873 0.0613092 0.0216655 0.0211388 0.0592974 0.024063 0.0223743 0.0639148 0.0282525 0.024118 8.4 8.6 178033 117087 60946 14735 8715 3629
8.7 0.0178507 0.00895604 0.0068646 0.0782942 0.0253733 0.0248454 0.0818566 0.0242794 0.0250657 0.078072 0.0274808 0.0228626 0.0878358 0.0409381 0.0237153 8.6 8.8 141579 93306 48273 12896 7305 3106
8.9 0.0266756 0.0100537 0.00851653 0.107689 0.0286419 0.0279302 0.102236 0.0271236 0.0275461 0.117424 0.0308028 0.030751 0.118005 0.0414739 0.0350614 8.8 9 112353 74534 37819 10709 6157 2617
9.1 0.0368882 0.0110247 0.0100696 0.143211 0.0289097 0.0332598 0.133997 0.0271271 0.0301184 0.145079 0.0301259 0.0320032 0.157101 0.0463763 0.0329986 9 9.2 88599 59230 29369 8518 5162 2056
