#Peak halo masses in Msun
#Fractions of satellites that were quenched due to infall (f_q,sat - f_q,cen)
#MW Mass Range: 10^11.75 - 10^12.25 Msun.
#Group Mass Range: 10^12.75 - 10^13.25 Msun.
#Cluster Mass Range: 10^13.75 - 10^14.25 Msun.
#Quenched threshold: true SSFR < 1e-11/yr
#Bestfit_X_Counts is the number of galaxies in the bin for the bestfit model.
#Log10(HM_Center) FQ_infall(Sats) Err+ Err- FQ_infall(Sats_MW) Err+ Err- FQ_infall(Sats_Group) Err+ Err- FQ_infall(Sats_Cluster) Err+ Err- HM_Left_Edge HM_Right_Edge Bestfit_Halo_Counts Bestfit_Satellite_Counts Bestfit_Sats_MW_Counts Bestfit_Sats_GR_Counts Bestfit_Sats_Cluster_Counts
8 0 0 0 0 0 0 0 0 0 0 0 0 7.875 8.125 0 0 0 0 0
8.25 0 0 0 0 0 0 0 0 0 0 0 0 8.125 8.375 0 0 0 0 0
8.5 0 0 0 0 0 0 0 0 0 0 0 0 8.375 8.625 0 0 0 0 0
8.75 -2.70168e-05 0.000378837 0 -2.70168e-05 2.70168e-05 0.00224239 -2.70168e-05 2.70168e-05 2.70168e-05 -2.70168e-05 0.00396879 0 8.625 8.875 37776 762 49 111 161
9 -0.000203452 0.000203452 3.39006e-05 -0.000203452 0.000203452 0.000203452 -0.000203452 0.000203452 6.78035e-05 -0.000203452 0.000203452 -3.39173e-05 8.875 9.125 61677 2695 195 452 554
9.25 -4.44398e-05 0.000154941 -1.89265e-05 -0.00020415 0.00020415 -3.41024e-05 0.000122327 0.000142833 0.000156349 6.1313e-05 0.00158979 0.000108082 9.125 9.375 253905 18784 1222 3063 3767
9.5 0.000347666 0.00540336 0.000351908 0.000335333 0.00295924 0.000376476 -4.21583e-05 0.00486576 2.00207e-06 0.000871058 0.00631484 0.000926292 9.375 9.625 751112 48135 4149 6819 8001
9.75 0.00125361 0.00980576 0.00129517 0.000302 0.00686034 0.000314122 0.00118583 0.0120402 0.00113172 0.00378409 0.0195538 0.00371003 9.625 9.875 1.83005e+06 143380 12934 15907 18219
10 0.0108922 0.0178777 0.00968376 0.00923144 0.0235237 0.00800189 0.0115873 0.0225315 0.0104423 0.0158022 0.0176685 0.0144307 9.875 10.125 2.80477e+06 370945 37674 42032 44395
10.25 0.0257908 0.0232914 0.020332 0.0209145 0.0249873 0.0158467 0.0275632 0.0265166 0.0210278 0.0390957 0.0219578 0.0316672 10.125 10.375 2.18483e+06 388404 41826 46087 46941
