#Peak halo mass range: 13.625 < log10(Mh/Msun) < 13.875
#Quenched threshold: True SFR / True SM < 1e-11 / yr
#True SFHs in units of Msun/yr.
#See documentation for explanation of true vs. observed SFRs and SMs.
#Bestfit_X_Galaxies_Remaining: number of galaxies with most-massive progenitor trees extending to the scale factor in question.
#Scale_factor F(Q)_given_SF@z=0 Err+ Err- F(Q)_given_Q@z=0 Err+ Err- Bestfit_SF_Halos_Remaining Bestfit_Q_Halos_Remaining
1.002310 0 0 0 1 0 0 114 1301
0.994717 0.359649 0.234945 0.211501 0.964643 0.0317264 -0.00676394 114 1301
0.987123 0.464912 0.115733 0.187989 0.963105 0.0288714 -0.00581896 114 1301
0.979529 0.464912 0.149123 0.101276 0.962337 0.0275258 -0.00181282 114 1301
0.971935 0.54386 0.194236 0.0955838 0.950038 0.0390841 -0.00234252 114 1301
0.964342 0.552632 0.209273 0.0207167 0.945427 0.0422635 -0.00626051 114 1301
0.956748 0.622807 0.122291 0.0696155 0.933897 0.0529739 -0.00989687 114 1301
0.949154 0.605263 0.172515 0.0307951 0.926979 0.0569741 -0.0100523 114 1301
0.941560 0.649123 0.160401 0.0572861 0.933897 0.0510492 -0.00547367 114 1301
0.933967 0.649123 0.150877 0.0272741 0.941583 0.0404697 -0.00216198 114 1301
0.926373 0.666667 0.117117 0 0.922367 0.0589544 -0.00874716 114 1301
0.918779 0.692982 0.0611159 0.0199055 0.939277 0.0420443 -0.00150716 114 1301
0.911185 0.72807 0.0557136 0.0445259 0.936972 0.0460913 -0.00469512 114 1301
0.903592 0.754386 0.0619406 0.04162 0.933897 0.0458425 -0.00108749 114 1301
0.895998 0.789474 0.0800915 0.0394737 0.936972 0.0428556 0.00483423 114 1301
0.888404 0.815789 0.0789474 0.0174024 0.946195 0.0319229 0.00547761 114 1301
0.880810 0.877193 0.0350877 0.061193 0.947733 0.0308968 0.00770134 114 1301
0.873217 0.833333 0.0614035 0.0565476 0.952344 0.026379 0.0145086 114 1301
0.865623 0.859649 0.0292398 0.0519568 0.948501 0.0221948 0.0185841 114 1301
0.858029 0.877193 0.031898 0.0536636 0.944658 0.0267076 0.0116326 114 1301
0.850435 0.894737 0.0159774 0.0452744 0.94927 0.0196384 0.0109885 114 1301
0.842842 0.885965 0.0495189 0.0349011 0.947733 0.0216329 0.012302 114 1301
0.835248 0.868421 0.0315789 0.0184211 0.948501 0.0220659 0.0171975 114 1301
0.827654 0.903509 0.0358852 0.0307815 0.952344 0.0146571 0.011303 114 1301
0.820060 0.903509 0.0224171 0.0361618 0.948501 0.0198669 0.0110012 114 1301
0.812467 0.894737 0.00848895 0.0293522 0.946195 0.0188085 0.00528616 114 1301
0.804873 0.903509 0.0195681 0.0348957 0.955419 0.0117942 0.0104784 114 1301
0.797279 0.885965 0.0156744 0.0455394 0.946964 0.0157334 0.00783342 114 1301
0.789685 0.894737 0.00381392 0.0439906 0.940815 0.0164045 0.00545651 114 1301
0.782092 0.885965 0.018797 0.0422149 0.943121 0.0123667 0.00557125 114 1301
0.774498 0.885965 0.0172608 0.0466792 0.941583 0.0139722 0.00554127 114 1301
0.766904 0.877193 0.0538415 0.0242518 0.942352 0.0133809 0.00526839 114 1301
0.759310 0.877193 0.062201 0.0164335 0.946195 0.00611359 0.00815493 114 1301
0.751717 0.885965 0.0528106 0.0198935 0.946195 0.0100772 0.0052762 114 1301
0.744123 0.912281 0.054386 0.0189474 0.945427 0.013953 0.00380981 114 1301
0.736529 0.938596 0.0614035 0.0179616 0.944658 0.00761968 0.0037784 114 1301
0.728935 0.929825 0.0438596 0.00125319 0.946195 0.00854611 0.00466144 114 1301
0.721342 0.938596 0.0614035 0.0100251 0.935434 0.0141953 0.00308132 114 1301
0.713748 0.929825 0.0701754 0.00299531 0.941583 0.00921255 0.00626361 114 1301
0.706154 0.947368 0.0526316 0.0205392 0.950807 0.0083614 0.00985616 114 1301
0.698560 0.938596 0.0614035 0.00417024 0.942352 0.00958484 0.00329185 114 1301
0.690967 0.921053 0.0218045 0.0140759 0.940046 0.00782466 0.00666344 114 1301
0.683373 0.912281 0.0336652 0.00676888 0.936972 0.00734919 0.00881064 114 1301
0.678310 0.921053 0.0384068 -0.00202429 0.934666 0.011776 0.00901508 114 1301
0.673248 0.912281 0.030027 0.019973 0.930822 0.0112711 0.00618041 114 1301
0.668185 0.894737 0.0474119 -0.0018149 0.931591 0.00784653 0.0104442 114 1301
0.663123 0.894737 0.0338346 0.0117581 0.930054 0.0106175 0.00943071 114 1301
0.658060 0.894737 0.0295056 0.0214974 0.928517 0.0120323 0.00802052 114 1301
0.652998 0.921053 0.015311 0.0410526 0.927748 0.014645 0.00595593 114 1301
0.647935 0.894737 0.0376956 0.0263157 0.936203 0.0112457 0.0145639 114 1301
0.642873 0.894737 0.0512091 0.00226372 0.93236 0.0135261 0.0121823 114 1301
0.637810 0.885965 0.0495189 -0.011471 0.926211 0.0174623 0.0101908 114 1301
0.632748 0.885965 0.0832658 -0.0087719 0.931591 0.0168464 0.0143701 114 1301
0.627685 0.877193 0.0612686 0.015124 0.930822 0.0158442 0.0110875 114 1301
0.622623 0.859649 0.0763509 0.0310777 0.931591 0.00997698 0.0155882 114 1301
0.617560 0.885965 0.0614035 -0.0068922 0.925442 0.0121972 0.00932235 114 1301
0.612498 0.903509 0.0376677 0.0119425 0.923905 0.0122655 0.012743 114 1301
0.607435 0.885965 0.0324024 0.0431078 0.925442 0.0190024 0.0164846 114 1301
0.602373 0.903509 0.0328549 0.0368421 0.934666 0.00737458 0.0197413 114 1301
0.597310 0.903509 0.0401532 0.0285088 0.933897 0.00960994 0.0173545 114 1301
0.592248 0.921053 0.0289474 0.0268219 0.925442 0.015916 0.0117888 114 1301
0.587185 0.921053 0.0113798 0.0460526 0.925442 0.0152237 0.0148436 114 1301
0.582123 0.903509 0.0107769 0.0647991 0.926979 0.0100994 0.00917101 114 1301
0.577060 0.929825 0.0138374 0.0457666 0.929285 0.0128084 0.013596 114 1301
0.571997 0.929825 0.0146198 0.0298246 0.925442 0.0132702 0.012555 114 1301
0.566935 0.921053 0.0248933 0.0210527 0.927748 0.0120465 0.0157076 114 1301
0.561872 0.929825 0.0135716 0.0369675 0.927748 0.0196984 0.0138258 114 1301
0.556810 0.947368 0.00161117 0.0441427 0.933897 0.017753 0.0145422 114 1301
0.551747 0.938596 0.0114035 0.0497076 0.93236 0.0133881 0.0167144 114 1301
0.546685 0.938596 0.0130164 0.0457394 0.923136 0.0193676 0.0147277 114 1301
0.541622 0.921053 0.0122807 0.0430039 0.918524 0.0220622 0.0172985 114 1301
0.536560 0.912281 0.03744 0.0353576 0.923905 0.0144145 0.0196957 114 1301
0.531497 0.929825 0.0301754 0.0332729 0.911606 0.016583 0.0171075 114 1301
0.526435 0.885965 0.0668653 0.0288221 0.913144 0.0181834 0.0164917 114 1301
0.521372 0.885965 0.039961 0.0263158 0.908532 0.0189931 0.0163386 114 1301
0.516310 0.885965 0.0598479 0.0125472 0.919293 0.00762737 0.025552 114 1301
0.511247 0.912281 0.0532365 0.0183413 0.916218 0.0126152 0.0226651 114 1301
0.506185 0.894737 0.0497076 0.037594 0.908532 0.0211668 0.0248983 114 1301
0.501122 0.885965 0.0363652 0.0234649 0.908532 0.0183883 0.023466 114 1301
0.496060 0.885965 0.0431689 0.00841391 0.908532 0.0149933 0.0175706 114 1301
0.490997 0.912281 0.0221456 0.045614 0.912375 0.0162483 0.0226638 114 1301
0.485935 0.877193 0.062201 -0.00280702 0.902383 0.024209 0.0275658 114 1301
0.480872 0.894737 0.0452632 0.0311005 0.907763 0.0184113 0.0254539 114 1301
0.475810 0.903509 0.0409356 0.00186944 0.899308 0.0227597 0.0229204 114 1301
0.470747 0.929825 0.0221754 0.043461 0.903151 0.0155845 0.0325046 114 1301
0.465685 0.885965 0.0575835 0.00361198 0.896234 0.020175 0.0254512 114 1301
0.460622 0.859649 0.0588694 0.0105925 0.895465 0.0223227 0.0296479 114 1301
0.455560 0.894737 0.0326825 0.00967938 0.890085 0.0204093 0.019983 114 1301
0.450497 0.894737 0.0356429 0.0123839 0.889316 0.0248178 0.0271969 114 1301
0.445435 0.885965 0.0426065 0.00942171 0.886241 0.0256597 0.0318018 114 1301
0.440372 0.859649 0.0815274 0.000494182 0.883935 0.0209271 0.0260819 114 1301
0.435310 0.824561 0.0802005 0.00103199 0.872406 0.0246091 0.0323766 114 1301
0.430247 0.833333 0.0740741 -0.0034014 0.868563 0.026971 0.0384973 114 1301
0.425185 0.824561 0.0802005 -0.0132764 0.867025 0.0293207 0.0383118 114 1301
0.420122 0.824561 0.0630791 0.0063796 0.876249 0.021906 0.0400171 114 1301
0.415060 0.789474 0.121637 -0.0200501 0.869331 0.0209314 0.0408669 114 1301
0.409997 0.815789 0.107287 -0.0033595 0.85857 0.0296236 0.0380762 114 1301
0.404935 0.798246 0.0696789 0.0431436 0.843966 0.0296144 0.0335465 114 1301
0.399872 0.798246 0.0565931 0.026817 0.84166 0.025603 0.0357562 114 1301
0.394810 0.815789 0.0521351 0.0594869 0.84166 0.0247548 0.0429975 114 1301
0.389747 0.807018 0.0363559 0.061563 0.830899 0.0302947 0.0382794 114 1301
0.384685 0.754386 0.107153 0.0714591 0.821676 0.0384434 0.0522232 114 1301
0.379622 0.798246 0.0252838 0.0945419 0.803997 0.0375872 0.0303837 114 1301
0.374560 0.763158 0.0582707 0.0488722 0.797079 0.0318489 0.0385088 114 1301
