#Peak halo masses in Msun
#Fractions of satellites that were quenched due to infall (f_q,sat - f_q,cen)
#MW Mass Range: 10^11.75 - 10^12.25 Msun.
#Group Mass Range: 10^12.75 - 10^13.25 Msun.
#Cluster Mass Range: 10^13.75 - 10^14.25 Msun.
#Quenched threshold: true SSFR < 1e-11/yr
#Bestfit_X_Counts is the number of galaxies in the bin for the bestfit model.
#Log10(HM_Center) FQ_infall(Sats) Err+ Err- FQ_infall(Sats_MW) Err+ Err- FQ_infall(Sats_Group) Err+ Err- FQ_infall(Sats_Cluster) Err+ Err- HM_Left_Edge HM_Right_Edge Bestfit_Halo_Counts Bestfit_Satellite_Counts Bestfit_Sats_MW_Counts Bestfit_Sats_GR_Counts Bestfit_Sats_Cluster_Counts
8 0 0 0 0 0 0 0 0 0 0 0 0 7.875 8.125 0 0 0 0 0
8.25 0 0 0 0 0 0 0 0 0 0 0 0 8.125 8.375 0 0 0 0 0
8.5 0 0 0 0 0 0 0 0 0 0 0 0 8.375 8.625 0 0 0 0 0
8.75 0 0 0 0 0 0 0 0 0 0 0 0 8.625 8.875 293416 5307 0 0 0
9 0 0 0 0 0 0 0 0 0 0 0 0 8.875 9.125 428593 5596 3 0 0
9.25 0 0 0 0 0 0 0 0 0 0 0 0 9.125 9.375 1.0848e+06 13697 79 0 0
9.5 0 0 0 0 0 0 0 0 5.23048e-07 0 0 5.23048e-07 9.375 9.625 1.96543e+06 54436 591 0 0
9.75 0 0 0 0 0 0 0 0 0 0 0 0 9.625 9.875 1.88829e+06 95205 1275 0 0
10 0 9.54993e-06 0 0 0 0 0 0 1.8836e-06 0 0 1.8836e-06 9.875 10.125 1.15627e+06 92789 1759 0 0
10.25 0 4.40776e-05 0 0 0.000535967 0 0 0 1.95659e-06 0 0 1.95659e-06 10.125 10.375 582094 71330 1658 0 0
10.5 0 0.000130429 0 0 0 0 0 0 0 0 0 0 10.375 10.625 257150 29570 1189 0 0
10.75 0 0.000542442 0 0 0 0 0 0 3.0535e-05 0 0 3.0535e-05 10.625 10.875 108591 10346 785 0 0
11 0 0.00167324 0 0 0.00351773 0 0 0 0.000154999 0 0 0.000154999 10.875 11.125 42323 3613 498 0 0
11.25 0 0.00533422 0 0 0.0148155 0 0 0 0.000717309 0 0 0.000717309 11.125 11.375 15040 1099 378 0 0
11.5 -0.000225938 0.00896757 -0.000225938 -0.000225938 0.000225938 -0.000225938 -0.000225938 0.000225938 0.00203344 -0.000225938 0.000225938 0.00203344 11.375 11.625 4678 252 166 0 0
11.75 0.0122204 0.00797582 0.0122204 0.0183478 -0.000828501 0.0183478 -0.0024855 0.0024855 0.0091135 -0.0024855 0.0024855 0.0091135 11.625 11.875 1275 68 48 0 0
12 0 0.0521004 0 0 0 0.0283688 0 0 0.0283688 0 0 0.0283688 11.875 12.125 295 13 4 0 0
12.25 0 0 0.0666667 0 0 0.0888889 0 0 0.0888889 0 0 0.0888889 12.125 12.375 46 1 0 0 0
12.5 -0.285714 0.285714 0.142857 -0.285714 0.285714 0.142857 -0.285714 0.285714 0.142857 -0.285714 0.285714 0.142857 12.375 12.625 7 0 0 0 0
12.75 0 0 0 0 0 0 0 0 0 0 0 0 12.625 12.875 2 0 0 0 0
13 0 0 0 0 0 0 0 0 0 0 0 0 12.875 13.125 0 0 0 0 0
13.25 0 0 0 0 0 0 0 0 0 0 0 0 13.125 13.375 0 0 0 0 0
13.5 0 0 0 0 0 0 0 0 0 0 0 0 13.375 13.625 0 0 0 0 0
13.75 0 0 0 0 0 0 0 0 0 0 0 0 13.625 13.875 0 0 0 0 0
14 0 0 0 0 0 0 0 0 0 0 0 0 13.875 14.125 0 0 0 0 0
14.25 0 0 0 0 0 0 0 0 0 0 0 0 14.125 14.375 0 0 0 0 0
14.5 0 0 0 0 0 0 0 0 0 0 0 0 14.375 14.625 0 0 0 0 0
14.75 0 0 0 0 0 0 0 0 0 0 0 0 14.625 14.875 0 0 0 0 0
15 0 0 0 0 0 0 0 0 0 0 0 0 14.875 15.125 0 0 0 0 0
15.25 0 0 0 0 0 0 0 0 0 0 0 0 15.125 15.375 0 0 0 0 0
15.5 0 0 0 0 0 0 0 0 0 0 0 0 15.375 15.625 0 0 0 0 0
15.75 0 0 0 0 0 0 0 0 0 0 0 0 15.625 15.875 0 0 0 0 0
