#Peak halo mass range: 15.125 < log10(Mh/Msun) < 15.375
#Quenched threshold: True SFR / True SM < 1e-11 / yr
#True SFHs in units of Msun/yr.
#See documentation for explanation of true vs. observed SFRs and SMs.
#Bestfit_X_Galaxies_Remaining: number of galaxies with most-massive progenitor trees extending to the scale factor in question.
#Scale_factor F(Q)_given_SF@z=0 Err+ Err- F(Q)_given_Q@z=0 Err+ Err- Bestfit_SF_Halos_Remaining Bestfit_Q_Halos_Remaining
1.002310 0 0 0 1 0 0 0 2
0.994717 0 0 0 1 0 0 0 2
0.987123 0 0 0 1 0 0 0 2
0.979529 0 0 0 1 0 0 0 2
0.971935 0 0 0 1 0 0 0 2
0.964342 0 0 0 1 0 0 0 2
0.956748 0 0 0 0.5 0.5 0 0 2
0.949154 0 0 0 0.5 0.5 -0.5 0 2
0.941560 0 0 0 0.5 0.5 0 0 2
0.933967 0 0 0 1 0 0 0 2
0.926373 0 0 0 1 0 0 0 2
0.918779 0 0 0 1 0 0 0 2
0.911185 0 0 0 1 0 0 0 2
0.903592 0 0 0 1 0 0 0 2
0.895998 0 0 0 1 0 0 0 2
0.888404 0 0 0 1 0 0 0 2
0.880810 0 0 0 1 0 0 0 2
0.873217 0 0 0 1 0 0 0 2
0.865623 0 0 0 1 0 0 0 2
0.858029 0 0 0 1 0 0 0 2
0.850435 0 0 0 1 0 0 0 2
0.842842 0 0 0 0.5 0.5 0 0 2
0.835248 0 0 0 1 0 0 0 2
0.827654 0 0 0 1 0 0 0 2
0.820060 0 0 0 1 0 0 0 2
0.812467 0 0 0 1 0 0 0 2
0.804873 0 0 0 1 0 0 0 2
0.797279 0 0 0 1 0 0 0 2
0.789685 0 0 0 1 0 0 0 2
0.782092 0 0 0 1 0 0 0 2
0.774498 0 0 0 1 0 0 0 2
0.766904 0 0 0 1 0 0 0 2
0.759310 0 0 0 1 0 0 0 2
0.751717 0 0 0 1 0 0 0 2
0.744123 0 0 0 1 0 0 0 2
0.736529 0 0 0 1 0 0 0 2
0.728935 0 0 0 1 0 0 0 2
0.721342 0 0 0 1 0 0 0 2
0.713748 0 0 0 1 0 0 0 2
0.706154 0 0 0 1 0 0 0 2
0.698560 0 0 0 1 0 0 0 2
0.690967 0 0 0 1 0 0 0 2
0.683373 0 0 0 1 0 0 0 2
0.678310 0 0 0 1 0 0 0 2
0.673248 0 0 0 1 0 0 0 2
0.668185 0 0 0 1 0 0 0 2
0.663123 0 0 0 1 0 0 0 2
0.658060 0 0 0 1 0 0 0 2
0.652998 0 0 0 1 0 0 0 2
0.647935 0 0 0 1 0 0 0 2
0.642873 0 0 0 1 0 0 0 2
0.637810 0 0 0 1 0 0 0 2
0.632748 0 0 0 1 0 0 0 2
0.627685 0 0 0 1 0 0 0 2
