#Peak halo masses in Msun
#Fractions of satellites that were quenched due to infall (f_q,sat - f_q,cen)
#MW Mass Range: 10^11.75 - 10^12.25 Msun.
#Group Mass Range: 10^12.75 - 10^13.25 Msun.
#Cluster Mass Range: 10^13.75 - 10^14.25 Msun.
#Quenched threshold: true SSFR < 1e-11/yr
#Bestfit_X_Counts is the number of galaxies in the bin for the bestfit model.
#Log10(HM_Center) FQ_infall(Sats) Err+ Err- FQ_infall(Sats_MW) Err+ Err- FQ_infall(Sats_Group) Err+ Err- FQ_infall(Sats_Cluster) Err+ Err- HM_Left_Edge HM_Right_Edge Bestfit_Halo_Counts Bestfit_Satellite_Counts Bestfit_Sats_MW_Counts Bestfit_Sats_GR_Counts Bestfit_Sats_Cluster_Counts
8 0 0 0 0 0 0 0 0 0 0 0 0 7.875 8.125 0 0 0 0 0
8.25 0 0 0 0 0 0 0 0 0 0 0 0 8.125 8.375 0 0 0 0 0
8.5 0 0 0 0 0 0 0 0 0 0 0 0 8.375 8.625 0 0 0 0 0
8.75 -8.16626e-05 8.16626e-05 4.08313e-05 -8.16626e-05 8.16626e-05 4.08313e-05 -8.16626e-05 8.16626e-05 4.08313e-05 -8.16626e-05 8.16626e-05 8.16626e-05 8.625 8.875 26320 1829 136 338 307
9 -2.39762e-05 0 0 -2.39762e-05 0 0 -2.39762e-05 0 0 -2.39762e-05 0 0 8.875 9.125 47315 5607 466 1092 1085
9.25 -5.32141e-06 5.32141e-06 -6.79847e-10 -5.32141e-06 5.32141e-06 -1.13232e-10 -5.32141e-06 5.32141e-06 -1.13232e-10 -5.32141e-06 5.32141e-06 -1.13232e-10 9.125 9.375 223187 35267 3102 6984 6649
9.5 9.0143e-05 0.000159172 7.84596e-06 -6.65133e-05 0.000356708 -0.000128364 -6.02427e-07 0.000220804 -2.40479e-05 7.94295e-05 0.000446816 -2.8638e-05 9.375 9.625 817411 95751 10069 15172 13704
9.75 0.000354221 0.000584772 0.000170168 3.81568e-05 0.000866322 -1.06438e-05 0.000591607 0.000897746 0.000201713 0.00120031 0.000859997 0.000781699 9.625 9.875 2.24625e+06 262536 27983 31444 27188
10 0.0021037 0.000999559 0.00133591 0.001778 0.00152012 0.000885459 0.00228177 0.00148652 0.00120028 0.00429064 0.000852714 0.00311015 9.875 10.125 3.35773e+06 483925 56112 56944 47234
10.25 0.00591821 0.00295651 0.00234137 0.00497429 0.00425356 0.00134655 0.00740883 0.00406575 0.00256961 0.0104699 0.00192546 0.00544614 10.125 10.375 2.43468e+06 456982 56351 54445 44042
