#Peak halo masses in Msun
#Fractions of *quenched satellites* that were quenched after infall
#MW Mass Range: 10^11.75 - 10^12.25 Msun.
#Group Mass Range: 10^12.75 - 10^13.25 Msun.
#Cluster Mass Range: 10^13.75 - 10^14.25 Msun.
#Quenched threshold: true SSFR < 1e-11/yr
#Bestfit_X_Counts is the number of halos in the bin for the bestfit model.
#Log10(HM) FQ_infall(Sats_MW) Err+ Err- FQ_infall(Sats_Group) Err+ Err- FQ_infall(Sats_Cluster) Err+ Err- HM_Left_Edge HM_Right_Edge Bestfit_Halo_Counts  Bestfit_Sat_MW_Counts Bestfit_Sat_GR_Counts Bestfit_Sat_CL_Counts
8.00 0 0 0 0 0 0 0 0 0 7.875 8.125 0 0 0 0
8.25 0 0 0 0 0 0 0 0 0 8.125 8.375 0 0 0 0
8.50 0 0 0 0 0 0 0 0 0 8.375 8.625 0 0 0 0
8.75 0 0 0 0 0 0 0 0 0 8.625 8.875 38342 254 350 134
9.00 0 0 0 0 0 0 0 0 0 8.875 9.125 68541 834 1300 467
9.25 0 0 0 0 0 0 0 0 0 9.125 9.375 327702 6364 9062 3572
9.50 0.6 -0.00718945 0.509091 0.2 0.2 0.075 0.2 0.3 0.075 9.375 9.625 1.3229e+06 24593 26261 9600
9.75 0.169811 0.212542 -0.0377358 0.318182 0.134648 0.0450726 0.294118 0.205882 0.0508744 9.625 9.875 3.31422e+06 56597 46751 16328
10.00 0.431818 0.252911 0.0715241 0.472222 0.246088 0.159722 0.714286 0.0443349 0.321429 9.875 10.125 3.89964e+06 76721 59255 20371
10.25 0.921053 0.0051769 0.171053 0.913043 0.0106853 0.151139 0.978261 -0.0247725 0.188291 10.125 10.375 2.67096e+06 71502 52561 18097
10.50 0.936027 0.0178192 0.0191472 0.951807 0.00341666 0.0314325 0.939394 0.0209235 0.039394 10.375 10.625 1.65168e+06 62029 41587 14558
10.75 0.945983 0 0.0240286 0.94708 0.00665635 0.0219512 0.94822 0.0110276 0.0251431 10.625 10.875 1.01512e+06 51607 30729 10991
11.00 0.921429 0.0242169 0.00159162 0.920128 0.0239021 0.00687969 0.937759 0.00934809 0.0240903 10.875 11.125 599488 38373 20986 7067
11.25 0.901575 0.0376831 -6.45518e-05 0.913229 0.0257426 0.00369358 0.936667 0.00432217 0.0232809 11.125 11.375 344469 26831 13744 4501
11.50 0.877119 0.0466425 0 0.886994 0.0386539 0.00659096 0.893878 0.0374411 -0.000115395 11.375 11.625 197662 15182 9226 2824
11.75 0.799822 0.0769991 -0.00172931 0.816592 0.0700463 0.00571108 0.824219 0.0575017 0.0207253 11.625 11.875 112664 4788 6353 1872
12.00 0.719388 0.091933 -0.0219058 0.717652 0.0817153 -0.00120109 0.732836 0.0782009 0.00206661 11.875 12.125 63678 492 4381 1155
12.25 0.684211 0.0957894 0.0175439 0.551173 0.082297 -0.0073331 0.590226 0.039599 0.0211648 12.125 12.375 35313 51 2863 760
12.50 0.733333 0 0.101754 0.43208 0.0539388 0.00258806 0.437975 0.0497704 0.0238333 12.375 12.625 19377 17 1677 494
12.75 0.6 0.0666667 0.0285714 0.2949 0.0629945 0.0103474 0.345679 0.0377076 0.0417574 12.625 12.875 10096 5 545 352
13.00 0.5 0.5 0 0.38 0.0350944 0.0764286 0.196347 0.0354712 0.0245409 12.875 13.125 5188 2 56 230
13.25 0 0 0 0.5 0.5 0 0.0895522 0.0437811 0.0298507 13.125 13.375 2492 0 2 140
13.50 0 0 0 0 0 0 0.0705882 0.0127451 0.0344437 13.375 13.625 1131 0 0 86
13.75 0 0 0 0 0 0 0.111111 0.00888889 0 13.625 13.875 442 0 0 27
14.00 0 0 0 0 0 0 0 0 0 13.875 14.125 173 0 0 3
14.25 0 0 0 0 0 0 0 0 0 14.125 14.375 32 0 0 0
14.50 0 0 0 0 0 0 0 0 0 14.375 14.625 5 0 0 0
14.75 0 0 0 0 0 0 0 0 0 14.625 14.875 2 0 0 0
15.00 0 0 0 0 0 0 0 0 0 14.875 15.125 0 0 0 0
15.25 0 0 0 0 0 0 0 0 0 15.125 15.375 0 0 0 0
15.50 0 0 0 0 0 0 0 0 0 15.375 15.625 0 0 0 0
15.75 0 0 0 0 0 0 0 0 0 15.625 15.875 0 0 0 0
