#Peak halo masses in Msun
#Fractions of satellites that were quenched due to infall (f_q,sat - f_q,cen)
#MW Mass Range: 10^11.75 - 10^12.25 Msun.
#Group Mass Range: 10^12.75 - 10^13.25 Msun.
#Cluster Mass Range: 10^13.75 - 10^14.25 Msun.
#Quenched threshold: true SSFR < 1e-11/yr
#Bestfit_X_Counts is the number of galaxies in the bin for the bestfit model.
#Log10(HM_Center) FQ_infall(Sats) Err+ Err- FQ_infall(Sats_MW) Err+ Err- FQ_infall(Sats_Group) Err+ Err- FQ_infall(Sats_Cluster) Err+ Err- HM_Left_Edge HM_Right_Edge Bestfit_Halo_Counts Bestfit_Satellite_Counts Bestfit_Sats_MW_Counts Bestfit_Sats_GR_Counts Bestfit_Sats_Cluster_Counts
8 0 0 0 0 0 0 0 0 0 0 0 0 7.875 8.125 0 0 0 0 0
8.25 0 0 0 0 0 0 0 0 0 0 0 0 8.125 8.375 0 0 0 0 0
8.5 0 0 0 0 0 0 0 0 0 0 0 0 8.375 8.625 0 0 0 0 0
8.75 0 0 0 0 0 0 0 0 0 0 0 0 8.625 8.875 42316 1839 226 314 87
9 -1.42241e-05 2.02817e-10 1.42237e-05 -1.42241e-05 2.02817e-10 1.42237e-05 -1.42241e-05 2.02817e-10 1.42237e-05 -1.42241e-05 2.02817e-10 1.42237e-05 8.875 9.125 76191 5888 900 1251 389
9.25 1.3823e-05 4.97391e-05 6.36282e-09 0.000142952 8.77034e-06 5.54821e-07 -9.5338e-06 6.35499e-06 -8.17636e-10 -9.5338e-06 9.5338e-06 -9.39508e-10 9.125 9.375 357484 42814 6558 8812 2940
9.5 9.01933e-05 0.000662096 2.47404e-07 6.64624e-05 0.000699336 -3.76455e-05 0.000173641 0.000705664 1.60246e-06 0.000275346 0.00144168 7.69952e-05 9.375 9.625 1.42024e+06 173728 25855 26729 8251
9.75 0.000392362 0.00234684 -1.70156e-05 0.000385537 0.00330374 -9.07059e-05 0.000674472 0.00461326 -7.08024e-05 0.00051541 0.00387871 -9.88732e-05 9.625 9.875 3.44395e+06 437662 59575 47341 13962
10 0.000103227 0.00114077 -4.68734e-05 0.000177263 0.0016678 -8.73469e-05 1.73532e-05 0.00221713 -0.000100531 0.000479372 0.00213004 0.000233283 9.875 10.125 3.94565e+06 570014 78931 58280 16864
10.25 0.000731504 0.00180722 0.000402905 0.000904448 0.0023691 0.000437477 0.00125438 0.00256781 0.000774971 0.00196112 0.00372492 0.00108956 10.125 10.375 2.68764e+06 503830 73212 50933 14896
