#Peak halo masses in Msun
#MW Mass Range: 10^11.75 - 10^12.25 Msun.
#Group Mass Range: 10^12.75 - 10^13.25 Msun.
#Cluster Mass Range: 10^13.75 - 10^14.25 Msun.
#Quenched threshold: true SSFR < 1e-11/yr
#Bestfit_X_Counts is the number of halos in the bin for the bestfit model.
#Log10(HM) FQ(Centrals) Err+ Err- FQ(Sats) Err+ Err- FQ(Sats_MW) Err+ Err- FQ(Sats_Group) Err+ Err- FQ(Sats_Cluster) Err+ Err- HM_Left_Edge HM_Right_Edge Bestfit_Halo_Counts  Bestfit_Cen_Halo_Counts Bestfit_Sat_Halo_Counts Bestfit_Sat_MW_Counts Bestfit_Sat_GR_Counts Bestfit_Sat_CL_Counts
8.00 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7.875 8.125 0 0 0 0 0 0
8.25 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8.125 8.375 0 0 0 0 0 0
8.50 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8.375 8.625 0 0 0 0 0 0
8.75 0 7.07064e-05 0 0 0 0 0 0 0 0 0 0 0 0 0 8.625 8.875 30417 28286 2131 111 358 449
9.00 4.4482e-05 1.97906e-09 4.4482e-05 0 0.000163345 0 0 0 0 0 0 0 0 0.000793021 0 8.875 9.125 51083 44962 6121 390 1075 1261
9.25 5.70359e-05 3.11055e-05 4.14821e-05 6.27254e-05 3.19417e-05 6.27254e-05 0 0 0 0 0 0 0 0 0 9.125 9.375 224746 192861 31885 2277 5536 6161
9.50 0.000198075 9.23073e-05 0.000174622 0.000417026 0.000311847 0.000374845 0.000466418 -7.24976e-08 0.000317852 0.000490437 0.000361836 0.000397715 0.000559128 0.000269678 0.000559128 9.375 9.625 751099 681559 69540 6432 10195 10731
9.75 0.00205453 0.000601235 0.00166049 0.00290459 0.00125685 0.00240416 0.00236732 0.00216226 0.00180875 0.00279265 0.00196558 0.00239931 0.00498569 0.00129703 0.00417062 9.625 9.875 1.97162e+06 1.78192e+06 189700 18164 21485 21662
10.00 0.00284118 0.000793902 0.00230027 0.00844044 0.00240436 0.00652453 0.00757743 0.00314939 0.00567751 0.00897963 0.00307868 0.0069315 0.011984 0.001942 0.00933975 9.875 10.125 3.02798e+06 2.6049e+06 423082 45266 48443 46145
10.25 0.00450205 0.000868322 0.00361589 0.0190939 0.0041111 0.0131086 0.0175101 0.00543637 0.0118638 0.021753 0.00564927 0.0144035 0.0280638 0.0024404 0.019056 10.125 10.375 2.29397e+06 1.87226e+06 421706 47858 50062 45931
10.50 0.00856532 0.00109101 0.00651843 0.0417637 0.00754822 0.0220579 0.0356101 0.0123075 0.0180903 0.0475319 0.0114528 0.0231346 0.0600654 0.00557775 0.0323054 10.375 10.625 1.46234e+06 1.13306e+06 329281 39427 40457 36710
10.75 0.0167789 0.00115253 0.0115679 0.0881325 0.0142783 0.0324276 0.0776542 0.0298851 0.0265121 0.0929674 0.0160593 0.0338191 0.117787 0.00802709 0.0507648 10.625 10.875 911137 678771 232366 30932 30387 27728
11.00 0.0324355 0.00046872 0.0194872 0.157168 0.018944 0.0443809 0.133965 0.0443768 0.0322834 0.16071 0.0206802 0.0413496 0.196116 0.00786151 0.0646713 10.875 11.125 564153 405266 158887 24499 21573 19208
11.25 0.0637564 0.000617258 0.031569 0.24464 0.0202682 0.0436109 0.216451 0.0499671 0.0361947 0.244671 0.0236264 0.038625 0.29559 0.00740245 0.0549616 11.125 11.375 338625 242909 95716 18309 13839 12382
11.50 0.118461 -0.00121944 0.0436238 0.35685 0.0250862 0.03192 0.293105 0.0523424 0.024814 0.359334 0.0264506 0.0286845 0.423318 0.00658765 0.0534117 11.375 11.625 201768 146630 55138 11559 9128 7668
11.75 0.201185 -0.00517894 0.0495886 0.483863 0.024656 0.0152515 0.400714 0.0432276 0.0105781 0.47392 0.0308946 0.0125853 0.53 0.0073396 0.0298108 11.625 11.875 120108 88287 31821 3923 6039 5000
12.00 0.314142 -0.0019035 0.0444582 0.614453 0.0271374 0.00737399 0.558887 0.0528409 -0.0102192 0.624295 0.0404491 -0.00103241 0.638204 0.0141978 0.0182168 11.875 12.125 70678 52107 18571 467 4256 3162
12.25 0.44521 0.0151623 0.0376531 0.727956 0.0372325 0.00582916 0.711864 0.0972265 -0.0154083 0.716602 0.0506956 -0.00351048 0.742409 0.0282109 0.0192562 12.125 12.375 41453 31201 10252 59 2837 1976
12.50 0.580307 0.0416062 0.0375959 0.822469 0.0415896 0.00570339 0.904762 0.0327381 0 0.816885 0.0423944 0.00533235 0.835093 0.0416909 0.0109811 12.375 12.625 24191 18423 5768 21 1753 1231
12.75 0.702886 0.0641533 0.0295007 0.877182 0.0353597 0.00813103 1 0 0 0.84065 0.0455408 0.00563353 0.882767 0.0371467 0.00716865 12.625 12.875 14123 10915 3208 6 615 853
13.00 0.797452 0.0659791 0.026696 0.9316 0.0289194 0.0120075 1 0 0 0.919355 0.0273118 0.00410062 0.931777 0.0234999 0.00955516 12.875 13.125 7970 6201 1769 2 62 557
13.25 0.871644 0.0536913 0.0262864 0.943503 0.0267148 0.0055871 0 0 0 0.833333 0.0897436 0 0.949239 0.0224838 0.00683022 13.125 13.375 4461 3576 885 0 12 394
