#Observed stellar masses in Msun
#Fractions of satellites that were quenched due to infall (f_q,sat - f_q,cen)
#MW Mass Range: 10^11.75 - 10^12.25 Msun.
#Group Mass Range: 10^12.75 - 10^13.25 Msun.
#Cluster Mass Range: 10^13.75 - 10^14.25 Msun.
#Quenched threshold: observed SSFR < 1e-11/yr
#Bestfit_X_Counts is the number of galaxies in the bin for the bestfit model.
#Log10(SM_Center) Median_FQ_infall(Sats) Err+ Err- Median_FQ_infall(Sats_MW) Err+ Err- Median_FQ_infall(Sats_Group) Err+ Err- Median_FQ_infall(Sats_Cluster) Err+ Err- SM_Left_Edge SM_Right_Edge Bestfit_Galaxy_Counts Bestfit_Satellite_Counts Bestfit_Sats_MW_Counts Bestfit_Sats_GR_Counts Bestfit_Sats_Cluster_Counts
7.3 0.0040496 0.00366966 0.00230034 0.00455517 0.00400459 0.00268429 0.00398633 0.00466622 0.00256556 0.00544336 0.00581258 0.00340104 7.2 7.4 586673 134733 21453 16711 8225
7.5 0.00802927 0.00668802 0.00394855 0.00844222 0.00644417 0.00409305 0.00758029 0.0056153 0.00400212 0.00859286 0.00777366 0.00471306 7.4 7.6 477464 114448 19570 14829 7389
7.7 0.0155865 0.00971523 0.0073635 0.0162517 0.0105963 0.00777431 0.0151286 0.00848981 0.00646107 0.0150194 0.011135 0.0069795 7.6 7.8 392569 100349 17823 13133 6674
7.9 0.0223444 0.0124287 0.0091192 0.0226301 0.0123613 0.00906291 0.0218819 0.0118316 0.00879525 0.0211944 0.0185213 0.00880952 7.8 8 330882 96904 17981 12637 6560
8.1 0.029689 0.0131842 0.0111098 0.0300471 0.013955 0.0110488 0.0287007 0.0131732 0.0111833 0.0332859 0.0196158 0.0134097 8 8.2 279264 91229 17834 11778 6381
8.3 0.0400422 0.0158617 0.0119987 0.0424902 0.0149578 0.0130523 0.0424981 0.0167943 0.0139263 0.0485382 0.0214576 0.0151638 8.2 8.4 230551 79239 16406 10892 5532
8.5 0.0530174 0.0181409 0.0147022 0.0593308 0.0186496 0.0185523 0.0545393 0.0200314 0.0156804 0.0545362 0.0237372 0.0164717 8.4 8.6 184508 63522 14260 8993 4693
8.7 0.0690927 0.0181723 0.0175374 0.0724874 0.0186488 0.0180348 0.0750713 0.0208185 0.018686 0.0726424 0.0298078 0.0169202 8.6 8.8 147926 50625 12424 7579 3978
8.9 0.0904477 0.0213829 0.0213368 0.0883761 0.0185012 0.0232332 0.0958945 0.0234896 0.0211322 0.108477 0.0291398 0.0274554 8.8 9 117630 39761 10497 6371 3235
9.1 0.111755 0.0209765 0.0199801 0.101353 0.020125 0.0225403 0.11926 0.0204881 0.0180863 0.140186 0.0262294 0.023617 9 9.2 94000 31467 8620 5372 2775
9.3 0.133247 0.0246039 0.0222454 0.11165 0.0230212 0.0231739 0.150756 0.0292179 0.0282715 0.158653 0.0305558 0.0243826 9.2 9.4 76253 25394 6865 4597 2338
9.5 0.159807 0.026325 0.0267293 0.118043 0.0282359 0.0232652 0.185571 0.0269483 0.0268872 0.19605 0.0308062 0.026421 9.4 9.6 63862 20534 5011 3941 1958
9.7 0.177004 0.0287141 0.0313107 0.106689 0.0308021 0.0310455 0.205661 0.0306724 0.0325073 0.223721 0.0287505 0.0335577 9.6 9.8 55117 17409 3770 3546 1776
9.9 0.195195 0.0284515 0.0306658 0.0999556 0.0300381 0.0311271 0.218257 0.0325487 0.0315669 0.237986 0.0247095 0.026968 9.8 10 50111 15384 2428 3526 1686
10.1 0.215895 0.0300154 0.0322577 0.0823878 0.027166 0.0329186 0.252092 0.0347943 0.0317181 0.261865 0.0298449 0.0326586 10 10.2 46184 13736 1467 3425 1591
10.3 0.213805 0.0297184 0.0288681 0.0399622 0.0257786 0.0347715 0.243068 0.0325501 0.0274519 0.276806 0.0258522 0.0236268 10.2 10.4 43710 12260 774 3436 1586
10.5 0.220513 0.0282402 0.0347714 0.0100938 0.0403127 0.0492449 0.242371 0.0283209 0.032332 0.2988 0.0299554 0.0310577 10.4 10.6 39239 10398 363 3328 1496
10.7 0.205513 0.0222051 0.0264125 0.0273723 0.0457442 0.0480312 0.212903 0.0281042 0.0329392 0.281198 0.020948 0.0262864 10.6 10.8 31686 7881 126 2497 1243
10.9 0.164527 0.0241767 0.0251813 0.106068 0.0568343 0.0685976 0.134048 0.0221468 0.0227223 0.238846 0.0217457 0.0238298 10.8 11 20813 4805 48 1547 975
11.1 0.149654 0.0166751 0.0284045 -0.0582263 0.111712 0.116954 0.074639 0.0210196 0.022425 0.218895 0.0192562 0.0258421 11 11.2 10216 2098 9 575 505
11.3 0.0705304 0.0160094 0.0150404 0.248227 0.0344406 0.473115 -0.0809211 0.0262551 0.0263876 0.172736 0.0174904 0.0164747 11.2 11.4 3550 574 1 128 175
