#Observed stellar mass range: 9.6 < log10(M*/Msun) < 9.8
#Quenched: SFR / SM < 1e-11 / yr
#Galaxies at z=0 are selected as quenched via observed SSFR.
#Quenching histories are based on true SSFR.
#See documentation for explanation of true vs. observed SFRs and SMs.
#Bestfit_X_Galaxies_Remaining: number of galaxies with most-massive progenitor trees extending to the scale factor in question.
#Scale_factor F(Q)_given_SF@z=0 Err+ Err- F(Q)_given_Q@z=0 Err+ Err- Bestfit_SF_Galaxies_Remaining Bestfit_Q_Galaxies_Remaining
1.002310 0.00715522 0.00671182 -0.000847838 0.995123 -0.000971019 0.014948 56602 18453
0.994717 0.0428077 0.00244467 0.00898129 0.863383 0.0225613 0.00113422 56602 18453
0.987123 0.0628246 0.00384774 0.0123383 0.782366 0.023638 0.00392562 56602 18453
0.979529 0.0762517 0.00437558 0.0137681 0.725411 0.0246006 0.00264096 56602 18453
0.971935 0.084838 0.00505943 0.0149674 0.677126 0.0302597 -0.00276208 56602 18453
0.964342 0.0917282 0.00479592 0.0159376 0.647754 0.0280332 0.00102168 56602 18453
0.956748 0.09694 0.00504974 0.016391 0.613342 0.0289717 0.000667214 56602 18453
0.949154 0.103512 0.00469411 0.0178407 0.586029 0.0306654 0.000649929 56602 18453
0.941560 0.106887 0.00612256 0.0171119 0.56186 0.0300033 0.000176251 56602 18453
0.933967 0.109572 0.0071684 0.0166818 0.537853 0.0319985 -0.00115657 56602 18453
0.926373 0.113265 0.00612985 0.018091 0.515309 0.0334408 -0.00132477 56602 18453
0.918779 0.113265 0.00706094 0.0160639 0.495692 0.0322326 0.000493079 56602 18453
0.911185 0.116339 0.00676871 0.0165201 0.477375 0.0310147 0.00250876 56602 18453
0.903592 0.119925 0.00615465 0.0184684 0.459112 0.0303421 0.00237554 56602 18453
0.895998 0.121762 0.0052067 0.0175762 0.440904 0.0307412 0.00177446 56602 18453
0.888404 0.1236 0.00471199 0.0188623 0.425188 0.0279585 0.00365263 56602 18453
0.880810 0.125614 0.00333941 0.0204541 0.415759 0.0232085 0.00594947 56602 18453
0.873217 0.125455 0.00317223 0.0204587 0.400531 0.0261535 0.00540912 56602 18453
0.865623 0.126851 0.0036193 0.0191339 0.385357 0.0280394 0.00383949 56602 18453
0.858029 0.126391 0.0037753 0.0194289 0.372297 0.0231209 0.00706989 56602 18453
0.850435 0.125632 0.00348058 0.0185297 0.364548 0.0224016 0.00938237 56602 18453
0.842842 0.123794 0.00361036 0.0184846 0.349753 0.0255806 0.00615442 56602 18453
0.835248 0.123582 0.00327005 0.0192382 0.33962 0.0243585 0.00666264 56602 18453
0.827654 0.122292 0.00314892 0.0187338 0.332195 0.0222644 0.0093427 56602 18453
0.820060 0.120384 0.00308795 0.0172732 0.320327 0.0255525 0.0067085 56602 18453
0.812467 0.118441 0.00319092 0.0171853 0.312524 0.0245919 0.00875574 56602 18453
0.804873 0.117116 0.00321084 0.0178825 0.306129 0.0240992 0.0101729 56602 18453
0.797279 0.11618 0.00291774 0.0171654 0.296916 0.0244547 0.00892487 56602 18453
0.789685 0.114749 0.00341809 0.0163786 0.282881 0.0290391 0.00704437 56602 18453
0.782092 0.112894 0.00391129 0.0158089 0.278654 0.0263686 0.00913846 56602 18453
0.774498 0.11019 0.00305416 0.0159982 0.269712 0.0259346 0.00972405 56602 18453
0.766904 0.108865 0.00430776 0.0150894 0.262396 0.0271361 0.00880933 56602 18453
0.759310 0.108388 0.00387701 0.0157228 0.253238 0.0295984 0.00883152 56602 18453
0.751717 0.107205 0.00407512 0.0159899 0.248957 0.0289803 0.0104078 56602 18453
0.744123 0.103724 0.00512633 0.0147813 0.241262 0.0300864 0.0106496 56602 18453
0.736529 0.10111 0.00588029 0.0139866 0.230315 0.0318011 0.0104403 56602 18453
0.728935 0.0998551 0.00579628 0.0144937 0.224083 0.032695 0.00851686 56602 18453
0.721342 0.0971344 0.00620987 0.0136916 0.217526 0.0325202 0.00986712 56602 18453
0.713748 0.095774 0.00617687 0.0134424 0.211077 0.0339703 0.00911829 56602 18453
0.706154 0.0939719 0.00605582 0.0143569 0.206416 0.0333076 0.0111669 56602 18453
0.698560 0.0913219 0.00606731 0.0158505 0.200997 0.0324381 0.0144645 56602 18453
0.690967 0.0894491 0.0061338 0.0145831 0.191405 0.0312914 0.0147781 56602 18453
0.683373 0.0879474 0.00598446 0.016018 0.186636 0.0317436 0.0137923 56602 18453
0.678310 0.0868344 0.00646356 0.0161026 0.183385 0.0299725 0.0149333 56602 18453
0.673248 0.0849617 0.0061729 0.016092 0.180404 0.0314403 0.015768 56602 18453
0.668185 0.0826649 0.00669893 0.0157109 0.174606 0.032879 0.0134179 56602 18453
0.663123 0.0824529 0.0072797 0.0156393 0.172763 0.0310979 0.0138587 56602 18453
0.658060 0.0812515 0.00706027 0.0165685 0.168807 0.032057 0.0142115 56602 18453
0.652998 0.0799972 0.00719716 0.0156488 0.164255 0.0337516 0.0119136 56602 18453
0.647935 0.0784248 0.00779025 0.0155582 0.1616 0.0320161 0.0143954 56602 18453
0.642873 0.0775591 0.00787944 0.0157364 0.159811 0.0312106 0.0147514 56602 18453
0.637810 0.0768171 0.0077368 0.0163981 0.156939 0.0306996 0.0161444 56602 18453
0.632748 0.075386 0.00795352 0.0158532 0.153037 0.0309603 0.0152841 56602 18453
0.627685 0.0743083 0.00784475 0.0165504 0.151141 0.0289163 0.0182567 56602 18453
0.622623 0.0713756 0.00755541 0.0148227 0.147618 0.028327 0.0198894 56602 18453
0.617560 0.0712519 0.00839323 0.0160398 0.143608 0.0310712 0.0164627 56602 18453
0.612498 0.0693968 0.00759938 0.0170524 0.137755 0.0301855 0.0170994 56602 18453
0.607435 0.0680188 0.00699425 0.0168192 0.136509 0.0298544 0.0188264 56602 18453
0.602373 0.0655807 0.00730763 0.016057 0.133312 0.0292054 0.0180769 56602 18453
0.597310 0.064026 0.00737841 0.0160695 0.130439 0.0297629 0.0175716 56602 18453
0.592248 0.0620826 0.00723895 0.0158547 0.125942 0.0312124 0.015844 56602 18453
0.587185 0.0603159 0.00745193 0.016152 0.123611 0.0302049 0.0163497 56602 18453
0.582123 0.0578778 0.00799045 0.0146306 0.120631 0.0280915 0.0174164 56602 18453
0.577060 0.0569945 0.00727633 0.0148157 0.116783 0.02862 0.0176911 56602 18453
0.571997 0.0545387 0.00821729 0.0139829 0.113152 0.0285478 0.0164777 56602 18453
0.566935 0.053832 0.00778981 0.0149402 0.110822 0.0278725 0.017958 56602 18453
0.561872 0.0511996 0.0083605 0.0137861 0.105674 0.0260457 0.0174355 56602 18453
0.556810 0.0502279 0.00884946 0.01393 0.104482 0.027298 0.0184621 56602 18453
0.551747 0.0476485 0.0099263 0.0136308 0.101393 0.0259236 0.0184025 56602 18453
0.546685 0.0469771 0.00913249 0.0134411 0.0974367 0.0264784 0.0179733 56602 18453
0.541622 0.0461468 0.009813 0.0144966 0.094673 0.025983 0.0183857 56602 18453
0.536560 0.0445391 0.00922295 0.014554 0.0935891 0.0242226 0.0188164 56602 18453
0.531497 0.0429313 0.00934884 0.0140477 0.0891996 0.0238625 0.0188407 56602 18453
0.526435 0.042101 0.00928011 0.0153575 0.0850268 0.0248518 0.0159524 56602 18453
0.521372 0.0392742 0.00967805 0.0138095 0.0836178 0.0234158 0.0178083 56602 18453
0.516310 0.0371188 0.00953374 0.0134572 0.0812876 0.0227907 0.0176886 56602 18453
0.511247 0.0358468 0.00944403 0.0128682 0.0771148 0.0225154 0.0166166 56602 18453
0.506185 0.0345924 0.00929828 0.0133796 0.0733214 0.0233865 0.0150759 56602 18453
0.501122 0.0323663 0.00950526 0.0125231 0.0697989 0.0246323 0.015445 56602 18453
0.496060 0.0316597 0.00818236 0.0134862 0.0677939 0.0230916 0.0160392 56602 18453
0.490997 0.0293629 0.00820475 0.0123724 0.0647591 0.022821 0.0153436 56602 18453
0.485935 0.0274902 0.00906387 0.0114806 0.0631334 0.0220533 0.0179967 56602 18453
0.480872 0.0266245 0.00742821 0.0112752 0.059069 0.0220878 0.0147851 56602 18453
0.475810 0.0244691 0.00811802 0.00965805 0.0580393 0.0210176 0.0159494 56602 18453
0.470747 0.0238507 0.00792779 0.0102844 0.0548962 0.021337 0.0161471 56602 18453
0.465685 0.0223314 0.00853404 0.00972587 0.0517531 0.0215048 0.0161655 56602 18453
0.460622 0.021024 0.00806794 0.00945328 0.0496396 0.0199524 0.0163161 56602 18453
0.455560 0.0192396 0.00774769 0.00941689 0.0483932 0.0176037 0.015646 56602 18453
0.450497 0.0179322 0.0072469 0.00884429 0.0454669 0.0182166 0.0153639 56602 18453
0.445435 0.0166955 0.0064017 0.00839647 0.0416734 0.0179917 0.0141353 56602 18453
0.440372 0.0159358 0.0063895 0.0085691 0.0392348 0.0164078 0.01423 56602 18453
0.435310 0.0143281 0.00633 0.00798933 0.0373923 0.0152568 0.0144862 56602 18453
0.430247 0.0134094 0.0060156 0.00764054 0.0349537 0.0149702 0.0136246 56602 18453
0.425185 0.0124201 0.0059328 0.00726289 0.0317564 0.014475 0.0121597 56602 18453
0.420122 0.0115544 0.00517566 0.00690712 0.0306183 0.0140793 0.0125839 56602 18453
0.415060 0.00999965 0.00483977 0.00618395 0.0294261 0.0132079 0.0140026 56602 18453
0.409997 0.00989364 0.00476262 0.00664176 0.026012 0.0114918 0.0120853 56602 18453
0.404935 0.00886894 0.00438183 0.00587771 0.0250366 0.0112457 0.0122718 56602 18453
0.399872 0.00823293 0.00406548 0.00549945 0.0222186 0.0121193 0.0102207 56602 18453
0.394810 0.00747323 0.00414288 0.00541232 0.0201051 0.0120884 0.0102269 56602 18453
0.389747 0.0073319 0.00419528 0.00568457 0.0179917 0.0115414 0.00949933 56602 18453
0.384685 0.00616586 0.00399099 0.0047889 0.0168536 0.0101611 0.00952464 56602 18453
0.379622 0.00572418 0.00417482 0.00453214 0.014144 0.00970673 0.00785374 56602 18453
0.374560 0.00510583 0.0034806 0.00407926 0.0136021 0.0078378 0.00833601 56602 18453
0.369497 0.00448747 0.00330992 0.00350601 0.0120848 0.00801715 0.00777686 56602 18453
0.364435 0.00422247 0.00270803 0.00338503 0.0114345 0.00640421 0.0073854 56602 18453
0.359372 0.00379845 0.00245005 0.00315293 0.00953774 0.00703653 0.00606713 56602 18453
0.354310 0.00381612 0.00188994 0.00337996 0.00959194 0.00566941 0.00662655 56602 18453
0.349247 0.00282676 0.00231929 0.00245166 0.00780361 0.00524303 0.00520499 56602 18453
0.344185 0.00305643 0.00174772 0.00277194 0.00666558 0.00560195 0.00464106 56602 18453
0.339122 0.00233207 0.00171881 0.00212607 0.00617786 0.00456644 0.00447087 56602 18453
0.334060 0.00219074 0.00165928 0.00207685 0.00520241 0.00464153 0.00370591 56602 18453
0.328997 0.00171372 0.00153653 0.00162625 0.00487726 0.0043295 0.00375888 56602 18453
0.323935 0.00155472 0.00162258 0.00147337 0.00433534 0.0043902 0.00346948 56602 18453
0.318873 0.00153705 0.00164025 0.00150152 0.00379342 0.00363428 0.00309542 56602 18453
0.313810 0.00114837 0.00132487 0.00113081 0.00363085 0.00387354 0.00303038 56602 18453
0.308748 0.000883361 0.00128515 0.000865958 0.00292635 0.00356548 0.0023984 56602 18453
