#Observed stellar masses in Msun
#MW Mass Range: 10^11.75 - 10^12.25 Msun.
#Group Mass Range: 10^12.75 - 10^13.25 Msun.
#Cluster Mass Range: 10^13.75 - 10^14.25 Msun.
#Quenched threshold: observed SSFR < 1e-11/yr
#Bestfit_X_Counts is the number of galaxies in the bin for the bestfit model.
#Log10(SM_Center) Median_FQ(Centrals) Err+ Err- Median_FQ(Sats) Err+ Err- Median_FQ(Sats_MW) Err+ Err- Median_FQ(Sats_Group) Err+ Err- Median_FQ(Sats_Cluster) Err+ Err- SM_Left_Edge SM_Right_Edge Bestfit_Galaxy_Counts Bestfit_Central_Galaxy_Counts Bestfit_Sat_Galaxy_Counts Bestfit_Sats_MW_Counts Bestfit_Sats_GR_Counts Bestfit_Sats_Cluster_Counts
7.3 0.00285793 0.00207317 0.00123257 0.010909 0.00717256 0.00366139 0.0107686 0.00748159 0.00344503 0.0121298 0.00709702 0.00490239 0.0136819 0.00868694 0.00461909 7.2 7.4 630200 490103 140097 18553 17588 14127
7.5 0.00383506 0.00256287 0.00159468 0.0157142 0.00912518 0.00493786 0.0157231 0.00927692 0.00483399 0.0168854 0.00910001 0.00525825 0.0185041 0.010585 0.00613691 7.4 7.6 534733 411491 123242 17362 15870 13103
7.7 0.00528898 0.00318383 0.00216978 0.0238512 0.0127927 0.00638313 0.0234667 0.0160791 0.00724432 0.0242439 0.0115174 0.0067766 0.0267395 0.0126487 0.00850554 7.6 7.8 447286 340103 107183 15689 14510 11766
7.9 0.0076001 0.00406198 0.00291232 0.042478 0.0222348 0.0101828 0.042713 0.0235678 0.0104386 0.0384161 0.0188732 0.00930827 0.0461613 0.0147798 0.0120956 7.8 8 370025 277854 92171 14131 12627 10551
8.1 0.0106683 0.00475486 0.00392811 0.0646366 0.0246701 0.0135696 0.0648742 0.0283472 0.0155665 0.0607701 0.0249709 0.0135466 0.0665791 0.0192849 0.0147591 8 8.2 308564 223242 85322 13617 11768 9593
8.3 0.0151527 0.00589341 0.00481758 0.0815107 0.0242875 0.0147022 0.0818695 0.0278474 0.0160415 0.0786781 0.024801 0.0144781 0.0858688 0.0223258 0.0175283 8.2 8.4 259962 178208 81754 13433 11269 9268
8.5 0.0209949 0.00747951 0.00623516 0.101308 0.0255099 0.0156582 0.103984 0.0309263 0.0187858 0.103577 0.0241312 0.0159494 0.115991 0.0232445 0.020916 8.4 8.6 214755 142369 72386 12471 10098 8301
8.7 0.0291572 0.00886747 0.00720732 0.126954 0.0274028 0.017844 0.13276 0.0281049 0.0217123 0.125265 0.0269226 0.0168783 0.137533 0.0272749 0.022337 8.6 8.8 173947 114423 59524 10963 8679 7116
8.9 0.0381988 0.0102869 0.00883004 0.159196 0.0266244 0.0197179 0.156449 0.0276279 0.0222032 0.156908 0.028946 0.0193015 0.1773 0.0275765 0.0259001 8.8 9 139502 91559 47943 9479 7323 6013
9.1 0.0520597 0.0112424 0.0107259 0.19338 0.0242345 0.0205482 0.183872 0.0259748 0.0253255 0.198057 0.0254423 0.0208277 0.216553 0.0278638 0.023098 9 9.2 113611 74955 38656 8201 6221 4968
9.3 0.0659001 0.011849 0.0120025 0.233702 0.0242023 0.0225908 0.215739 0.0262659 0.0264519 0.240574 0.0247245 0.0219905 0.236342 0.0231923 0.0202854 9.2 9.4 93908 62260 31648 6738 5328 4208
9.5 0.0859835 0.0115731 0.0140062 0.277606 0.0238303 0.0187428 0.250642 0.0222735 0.0271596 0.285354 0.0206921 0.0233023 0.291049 0.0278248 0.0286129 9.4 9.6 79007 52820 26187 5394 4607 3664
9.7 0.111648 0.0137616 0.0143511 0.327982 0.0204769 0.0197956 0.274514 0.0222725 0.0257367 0.341309 0.0196279 0.0249495 0.349202 0.0230293 0.0211607 9.6 9.8 69083 46505 22578 4092 4241 3363
9.9 0.150692 0.0153413 0.0153468 0.383071 0.0194864 0.0190006 0.312111 0.02341 0.0302574 0.391483 0.0219971 0.0212892 0.408631 0.0164163 0.0192286 9.8 10 61658 42128 19530 2810 3771 3066
10.1 0.195471 0.0155128 0.01483 0.444444 0.0180735 0.0159039 0.33317 0.0280411 0.0284079 0.464228 0.0225447 0.0206897 0.462994 0.0161879 0.0150841 10 10.2 56072 38482 17590 1705 3719 2869
10.3 0.258766 0.0161329 0.0175636 0.515208 0.0174158 0.0158649 0.386323 0.0296229 0.0267488 0.529963 0.0223995 0.0194415 0.543802 0.0144502 0.0170029 10.2 10.4 51379 35756 15623 866 3661 2711
10.5 0.338317 0.0143659 0.0166169 0.606056 0.0192031 0.0164912 0.459893 0.0499754 0.0412079 0.615965 0.023675 0.0212771 0.638315 0.0178836 0.0184375 10.4 10.6 44857 31865 12992 320 3391 2408
10.7 0.446301 0.0138161 0.0209345 0.682331 0.0153222 0.0157691 0.56 0.0553846 0.0503846 0.668369 0.0214211 0.0153745 0.728682 0.0136843 0.0142665 10.6 10.8 35775 25850 9925 110 2672 2032
10.9 0.562456 0.0128167 0.0171323 0.75395 0.0191297 0.0166372 0.794872 0.0460373 0.0448718 0.706077 0.0218263 0.0176404 0.797037 0.0186247 0.0181975 10.8 11 23243 17226 6017 32 1531 1452
