#Peak halo masses in Msun
#Fractions of satellites that were quenched due to infall (f_q,sat - f_q,cen)
#MW Mass Range: 10^11.75 - 10^12.25 Msun.
#Group Mass Range: 10^12.75 - 10^13.25 Msun.
#Cluster Mass Range: 10^13.75 - 10^14.25 Msun.
#Quenched threshold: true SSFR < 1e-11/yr
#Bestfit_X_Counts is the number of galaxies in the bin for the bestfit model.
#Log10(HM_Center) FQ_infall(Sats) Err+ Err- FQ_infall(Sats_MW) Err+ Err- FQ_infall(Sats_Group) Err+ Err- FQ_infall(Sats_Cluster) Err+ Err- HM_Left_Edge HM_Right_Edge Bestfit_Halo_Counts Bestfit_Satellite_Counts Bestfit_Sats_MW_Counts Bestfit_Sats_GR_Counts Bestfit_Sats_Cluster_Counts
8 0 0 0 0 0 0 0 0 0 0 0 0 7.875 8.125 0 0 0 0 0
8.25 0 0 0 0 0 0 0 0 0 0 0 0 8.125 8.375 0 0 0 0 0
8.5 0 0 0 0 0 0 0 0 0 0 0 0 8.375 8.625 0 0 0 0 0
8.75 0 0 0 0 0 0 0 0 0 0 0 2.0816e-05 8.625 8.875 49850 1810 234 279 62
9 -2.37048e-05 1.18524e-05 0 -2.37048e-05 1.18524e-05 0 -2.37048e-05 1.18524e-05 0 -2.37048e-05 1.18524e-05 0 8.875 9.125 89916 5545 905 1086 246
9.25 -5.3929e-06 5.38016e-05 1.07841e-05 -5.3929e-06 0.000137058 1.07845e-05 -5.3929e-06 9.01309e-10 1.34803e-05 -5.3929e-06 9.01309e-10 1.34803e-05 9.125 9.375 412057 41199 6745 7998 1936
9.5 9.93574e-05 0.000782124 -6.52556e-06 0.000142091 0.000773696 -1.51134e-05 0.000233357 0.00121066 3.33889e-05 -0.000102827 0.00147072 4.3936e-05 9.375 9.625 1.58341e+06 183001 28581 26771 6090
9.75 0.00028218 0.00237575 -2.82277e-05 0.000563155 0.00383574 4.2085e-05 0.000689229 0.00454779 -9.17871e-06 0.00112511 0.00538028 0.000256201 9.625 9.875 3.65808e+06 463581 64610 47127 10332
10 9.41225e-05 0.00111482 -4.76602e-05 0.000100304 0.00189754 -0.000128533 0.000192398 0.00224072 -3.11293e-05 0.00112165 0.00154888 0.000467309 9.875 10.125 4.00516e+06 577241 81129 54829 12113
10.25 0.000540439 0.0012187 0.000360518 0.000719316 0.00178725 0.000506818 0.000858787 0.00178891 0.000424932 0.00199285 0.00354036 0.00128903 10.125 10.375 2.70475e+06 507018 74801 47791 10599
