#Observed stellar masses in Msun
#MW Mass Range: 10^11.75 - 10^12.25 Msun.
#Group Mass Range: 10^12.75 - 10^13.25 Msun.
#Cluster Mass Range: 10^13.75 - 10^14.25 Msun.
#Quenched threshold: observed SSFR < 1e-11/yr
#Bestfit_X_Counts is the number of galaxies in the bin for the bestfit model.
#Log10(SM_Center) Median_FQ(Centrals) Err+ Err- Median_FQ(Sats) Err+ Err- Median_FQ(Sats_MW) Err+ Err- Median_FQ(Sats_Group) Err+ Err- Median_FQ(Sats_Cluster) Err+ Err- SM_Left_Edge SM_Right_Edge Bestfit_Galaxy_Counts Bestfit_Central_Galaxy_Counts Bestfit_Sat_Galaxy_Counts Bestfit_Sats_MW_Counts Bestfit_Sats_GR_Counts Bestfit_Sats_Cluster_Counts
7.3 0.00340965 0.0039238 0.00144254 0.0133283 0.00996377 0.00534113 0.0128529 0.0119071 0.00496616 0.0138865 0.0106404 0.00598134 0.0148291 0.0132292 0.00598472 7.2 7.4 648174 507732 140442 17639 17324 15145
7.5 0.00452213 0.00460388 0.00198827 0.0184239 0.012348 0.00635347 0.0183037 0.012683 0.00604968 0.0194668 0.0135816 0.00697693 0.023118 0.0161161 0.00833806 7.4 7.6 558507 431886 126621 16702 16079 14259
7.7 0.00583771 0.00552275 0.00222141 0.0253896 0.0153582 0.00775258 0.0253985 0.0173783 0.00783865 0.0269482 0.0154293 0.00840246 0.0287843 0.0164016 0.00900675 7.6 7.8 472035 361165 110870 15213 14542 12878
7.9 0.0082127 0.00629959 0.00292818 0.0427477 0.022766 0.0124078 0.0432228 0.0269071 0.0120317 0.0411732 0.0235287 0.0115882 0.0450132 0.019613 0.0124789 7.8 8 390227 294544 95683 13701 12848 11589
8.1 0.0117091 0.0076178 0.00397678 0.0698254 0.0294906 0.0182632 0.0676442 0.0330916 0.0192388 0.065354 0.026482 0.0155524 0.0694611 0.0265256 0.014785 8 8.2 322337 236695 85642 12737 11863 10561
8.3 0.0166141 0.00885334 0.0050434 0.0921805 0.0303389 0.0185063 0.0895044 0.0374157 0.0218337 0.0896001 0.0299917 0.0192855 0.0946092 0.0334738 0.0192028 8.2 8.4 268520 187911 80609 12425 11089 10023
8.5 0.0226273 0.0102801 0.00626341 0.111068 0.031411 0.0199425 0.113008 0.038356 0.0235005 0.106213 0.0299105 0.0195497 0.123086 0.0319403 0.0204957 8.4 8.6 224420 150646 73774 11781 10219 9170
8.7 0.0309012 0.0115941 0.00753451 0.137932 0.0320561 0.0219577 0.139461 0.0414443 0.0265668 0.135639 0.0319146 0.0226304 0.14956 0.0356579 0.0196488 8.6 8.8 182796 120596 62200 10536 8978 7830
8.9 0.0403468 0.0125216 0.00872543 0.171749 0.0318225 0.0237072 0.171913 0.0429274 0.0289241 0.171432 0.0302036 0.0209904 0.185825 0.0366722 0.0213477 8.8 9 147153 97025 50128 9087 7368 6567
9.1 0.0528128 0.0138714 0.0104685 0.207378 0.035107 0.0256664 0.205318 0.0413692 0.0303994 0.203704 0.0334245 0.0246868 0.220626 0.0347014 0.0257454 9 9.2 119710 79295 40415 7798 6212 5566
9.3 0.0710728 0.0169438 0.0130175 0.251963 0.0308066 0.0243562 0.24007 0.0337615 0.0277371 0.245501 0.0308735 0.0259751 0.268579 0.0330156 0.0239834 9.2 9.4 98426 65464 32962 6578 5308 4664
9.5 0.0937112 0.0159699 0.0146556 0.294155 0.0252901 0.0240939 0.26673 0.0317424 0.029417 0.294094 0.0255964 0.027036 0.307399 0.0282492 0.028653 9.4 9.6 82817 55389 27428 5280 4565 4084
9.7 0.119702 0.0158508 0.0152513 0.346225 0.0227956 0.0219109 0.302288 0.0287076 0.0265742 0.348837 0.0231053 0.023764 0.373 0.0271034 0.0226728 9.6 9.8 71996 48466 23530 3955 4249 3646
9.9 0.157328 0.0159239 0.015368 0.399157 0.0226599 0.0187451 0.336425 0.0273243 0.0268505 0.40506 0.0263855 0.024939 0.428969 0.0216295 0.0175825 9.8 10 63497 42915 20582 2779 3677 3403
10.1 0.202516 0.0151047 0.0163089 0.465202 0.0212831 0.0174818 0.358643 0.0324906 0.029395 0.474308 0.0261496 0.020492 0.500309 0.0185263 0.0166816 10 10.2 57216 39162 18054 1651 3584 3139
10.3 0.269115 0.0151278 0.017078 0.546077 0.0187667 0.013767 0.420023 0.0359305 0.0309101 0.568436 0.0191951 0.0181804 0.567311 0.0133669 0.0150931 10.2 10.4 51673 35758 15915 796 3501 2931
10.5 0.353887 0.0159794 0.0157507 0.625 0.0165337 0.0166818 0.508929 0.0441688 0.0367878 0.630968 0.0243353 0.0194305 0.661621 0.0156652 0.0147469 10.4 10.6 44965 31606 13359 309 3259 2545
10.7 0.455303 0.0153701 0.0182859 0.707036 0.0191494 0.0150957 0.634328 0.0397457 0.0489625 0.697856 0.0237082 0.0229161 0.749154 0.0188494 0.0151885 10.6 10.8 35975 25557 10418 108 2647 2208
10.9 0.573586 0.0222498 0.0259011 0.786095 0.0179556 0.0163475 0.72973 0.0797941 0.0826709 0.757808 0.0236606 0.0204144 0.827658 0.0154148 0.0157903 10.8 11 23489 17383 6106 31 1422 1490
11.1 0.694219 0.0252238 0.0326711 0.846931 0.0183553 0.0166641 0.444444 0.155556 0.111111 0.760832 0.024662 0.0217922 0.877958 0.0172231 0.0159752 11 11.2 12051 9286 2765 7 489 817
11.3 0.814293 0.0229346 0.0238053 0.905318 0.0132602 0.0144492 0 0.5 0 0.847826 0.0271739 0.0283816 0.921965 0.0111743 0.014273 11.2 11.4 4873 4032 841 0 61 325
11.5 0.908719 0.0154452 0.0185878 0.945652 0.0121537 0.0154196 0 0 0 1 0 0.25 0.960526 0.012688 0.0131578 11.4 11.6 1678 1473 205 0 1 84
11.7 0.95098 0.0108517 0.022409 1 0 0.0238096 0 0 0 0 0 0 1 0 0 11.6 11.8 453 418 35 0 0 12
11.9 0.971698 0.0149686 0.00873512 1 0 1 0 0 0 0 0 0 0 0 0 11.8 12 92 89 3 0 0 0
12.1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 12 12.2 11 11 0 0 0 0
12.3 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 12.2 12.4 1 1 0 0 0 0
12.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 12.4 12.6 0 0 0 0 0 0
12.7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 12.6 12.8 0 0 0 0 0 0
12.9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 12.8 13 0 0 0 0 0 0
13.1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 13 13.2 0 0 0 0 0 0
