#Peak halo masses in Msun
#Fractions of satellites that were quenched due to infall (f_q,sat - f_q,cen)
#MW Mass Range: 10^11.75 - 10^12.25 Msun.
#Group Mass Range: 10^12.75 - 10^13.25 Msun.
#Cluster Mass Range: 10^13.75 - 10^14.25 Msun.
#Quenched threshold: true SSFR < 1e-11/yr
#Bestfit_X_Counts is the number of galaxies in the bin for the bestfit model.
#Log10(HM_Center) FQ_infall(Sats) Err+ Err- FQ_infall(Sats_MW) Err+ Err- FQ_infall(Sats_Group) Err+ Err- FQ_infall(Sats_Cluster) Err+ Err- HM_Left_Edge HM_Right_Edge Bestfit_Halo_Counts Bestfit_Satellite_Counts Bestfit_Sats_MW_Counts Bestfit_Sats_GR_Counts Bestfit_Sats_Cluster_Counts
8 0 0 0 0 0 0 0 0 0 0 0 0 7.875 8.125 0 0 0 0 0
8.25 0 0 0 0 0 0 0 0 0 0 0 0 8.125 8.375 0 0 0 0 0
8.5 0 0 0 0 0 0 0 0 0 0 0 0 8.375 8.625 0 0 0 0 0
8.75 0 0 0 0 0 0 0 0 0 0 0 0 8.625 8.875 36075 1972 232 399 119
9 0 0 1.68905e-05 0 0 1.68905e-05 0 0 1.68905e-05 0 0 1.68905e-05 8.875 9.125 65366 6161 818 1284 536
9.25 -7.42804e-06 6.05767e-05 -3.71474e-06 -7.42804e-06 7.42804e-06 7.42412e-06 -7.42804e-06 9.71231e-05 3.72089e-06 -7.42804e-06 7.42804e-06 7.42412e-06 9.125 9.375 313315 44065 6286 9223 4031
9.5 0.000150271 0.000526113 8.04401e-07 0.000130254 0.000800844 3.31706e-05 0.000112093 0.000747393 -3.57211e-05 0.000494477 0.000933789 -1.26178e-05 9.375 9.625 1.2773e+06 165012 23779 26027 10444
9.75 0.000318079 0.00234148 -4.02395e-05 0.000516489 0.00304083 -4.33412e-05 0.000571241 0.00399994 -7.09922e-05 0.000591311 0.00455858 -3.32379e-05 9.625 9.875 3.25114e+06 412480 54952 46418 17663
10 0.00025293 0.00111863 1.85971e-05 0.000329483 0.00149935 -2.4604e-05 0.00024175 0.0018567 3.87907e-06 0.000777435 0.00216911 0.000198585 9.875 10.125 3.8774e+06 560207 75685 60008 22452
10.25 0.00101492 0.00201986 0.000501174 0.00117975 0.00255111 0.000588703 0.00160363 0.00290568 0.000637579 0.00291818 0.00422729 0.0017872 10.125 10.375 2.66094e+06 498687 70688 53173 19790
