#Observed stellar mass range: 12 < log10(M*/Msun) < 12.2
#Quenched: SFR / SM < 1e-11 / yr
#Galaxies at z=0 are selected as quenched via observed SSFR.
#Quenching histories are based on true SSFR.
#See documentation for explanation of true vs. observed SFRs and SMs.
#Bestfit_X_Galaxies_Remaining: number of galaxies with most-massive progenitor trees extending to the scale factor in question.
#Scale_factor F(Q)_given_SF@z=0 Err+ Err- F(Q)_given_Q@z=0 Err+ Err- Bestfit_SF_Galaxies_Remaining Bestfit_Q_Galaxies_Remaining
1.002310 0 1 0 0.975 0.025 -0.00326085 2 40
0.994717 0.5 0.5 0.5 0.95 0.05 -0.00652176 2 40
0.987123 1 0 1 0.95 0.05 -0.0142857 2 40
0.979529 0.5 0.5 0.5 0.95 0.05 -0.00744683 2 40
0.971935 1 0 1 0.975 0.025 0.0107143 2 40
0.964342 0.5 0.5 0.5 0.95 0.05 -0.0091837 2 40
0.956748 1 0 1 0.925 0.075 -0.0427419 2 40
0.949154 0 1 0 0.975 0.025 -0.025 2 40
0.941560 0.5 0.5 0.5 0.925 0.075 -0.0422131 2 40
0.933967 0.5 0.5 0.5 0.975 0.025 -0.00372338 2 40
0.926373 1 0 1 0.95 0.05 -0.0303922 2 40
0.918779 1 0 1 1 0 0.027027 2 40
0.911185 1 0 1 0.975 0.025 -0.00372338 2 40
0.903592 1 0 1 1 0 0 2 40
0.895998 1 0 1 0.975 0.025 0.00277781 2 40
0.888404 1 0 1 1 0 0.0208333 2 40
0.880810 1 0 1 1 0 0.0566038 2 40
0.873217 1 0 1 1 0 0.0392157 2 40
0.865623 1 0 1 1 0 0.0273973 2 40
0.858029 1 0 1 0.975 0.025 0.00674605 2 40
0.850435 1 0 1 0.975 0.025 -0.00833333 2 40
0.842842 1 0 1 0.975 0.025 0.0204546 2 40
0.835248 1 0 1 0.975 0.025 0.00833338 2 40
0.827654 1 0 1 0.95 0.0336066 -0.00652176 2 40
0.820060 1 0 1 0.95 0.0277778 0.0125 2 40
0.812467 1 0 1 0.95 0.05 0.0125 2 40
0.804873 1 0 1 0.95 0.03 0.0189655 2 40
0.797279 1 0 1 0.95 0.0261905 0.0197674 2 40
0.789685 0.5 0.5 0.5 0.95 0.00833333 0.0409091 2 40
0.782092 1 0 1 0.95 0.0214286 0.0214286 2 40
0.774498 1 0 1 0.975 0.00714284 0.0290541 2 40
0.766904 0.5 0.5 0.5 0.95 0.0155172 0.0333333 2 40
0.759310 1 0 1 0.95 0.0222222 0.0197674 2 40
0.751717 1 0 1 0.95 0.0222222 0.0125 2 40
0.744123 1 0 1 0.975 0.025 0.0204546 2 40
0.736529 1 0 1 0.975 0.025 0.0204546 2 40
0.728935 0.5 0.5 0.5 0.95 0.0115384 0.0369565 2 40
0.721342 0.5 0.5 0.5 0.95 0.0122642 0.0382353 2 40
0.713748 0.5 0.5 0.5 0.95 0.0149123 0.0289474 2 40
0.706154 0.5 0.5 0.5 0.95 0.012963 0.0310811 2 40
0.698560 1 0 1 0.95 0.0222222 0.0112244 2 40
0.690967 1 0 1 0.975 0.00613207 0.0142157 2 40
0.683373 1 0 1 0.975 0.00613207 0.0094828 2 40
0.678310 1 0 1 0.95 0.0267442 -0.00238097 2 40
0.673248 1 0 1 0.95 0.0205882 -0.00121951 2 40
0.668185 1 0 1 0.925 0.04375 -0.0137755 2 40
0.663123 1 0 1 0.925 0.0357843 -0.00603449 2 40
0.658060 1 0 1 0.95 0.0307692 -0.00833333 2 40
0.652998 1 0 1 0.975 0.025 0.00202703 2 40
0.647935 1 0 1 0.975 0.025 0.00316906 2 40
0.642873 1 0 1 0.975 0.025 -0.00648147 2 40
0.637810 1 0 1 0.975 0.025 -0.000609756 2 40
0.632748 1 0 1 1 0 0 2 40
0.627685 1 0 1 0.975 0.025 0.00625002 2 40
0.622623 1 0 1 0.975 0.025 0.015 2 40
0.617560 1 0 1 0.975 0.025 0.00625002 2 40
0.612498 1 0 1 0.975 0.025 0.0094828 2 40
0.607435 1 0 1 0.975 0.025 0.015 2 40
0.602373 1 0 1 0.975 0.025 -0.00613207 2 40
0.597310 1 0 1 1 0 0 2 40
0.592248 1 0 1 0.975 0.025 -0.005 2 40
0.587185 1 0 1 1 0 0 2 40
0.582123 1 0 1 1 0 0.0227273 2 40
0.577060 1 0 1 1 0 0.0136986 2 40
0.571997 1 0 1 1 0 0.025 2 40
0.566935 1 0 1 1 0 0.0222222 2 40
0.561872 1 0 1 1 0 0.02 2 40
0.556810 1 0 1 1 0 0.0192308 2 40
0.551747 1 0 1 0.975 0.025 0.0134616 2 40
0.546685 1 0 1 0.975 0.025 0.0184783 2 40
0.541622 1 0 1 1 0 0 2 40
0.536560 1 0 1 0.975 0.025 0.00625002 2 40
0.531497 1 0 1 0.975 0.025 0.00277781 2 40
0.526435 1 0 1 0.975 0.025 0.0166667 2 40
0.521372 1 0 1 0.975 0.025 0.00202703 2 40
0.516310 1 0 1 0.975 0.025 0.00316906 2 40
0.511247 1 0 1 1 0 0 2 40
0.506185 1 0 1 0.975 0.025 0.00441182 2 40
0.501122 1 0 1 0.975 0.00714284 0.0166667 2 40
0.496060 1 0 1 0.975 0.00887096 0.0144737 2 40
0.490997 1 0 1 0.975 0.00860655 0.0194445 2 40
0.485935 1 0 1 0.975 0.005 0.0305556 2 40
0.480872 1 0 1 1 0 0.0588235 2 40
0.475810 1 0 1 1 0 0.0175439 2 40
0.470747 1 0 1 0.975 0.00416666 0.0375 2 40
