#Peak halo masses in Msun
#Fractions of satellites that were quenched due to infall (f_q,sat - f_q,cen)
#MW Mass Range: 10^11.75 - 10^12.25 Msun.
#Group Mass Range: 10^12.75 - 10^13.25 Msun.
#Cluster Mass Range: 10^13.75 - 10^14.25 Msun.
#Quenched threshold: true SSFR < 1e-11/yr
#Bestfit_X_Counts is the number of galaxies in the bin for the bestfit model.
#Log10(HM_Center) FQ_infall(Sats) Err+ Err- FQ_infall(Sats_MW) Err+ Err- FQ_infall(Sats_Group) Err+ Err- FQ_infall(Sats_Cluster) Err+ Err- HM_Left_Edge HM_Right_Edge Bestfit_Halo_Counts Bestfit_Satellite_Counts Bestfit_Sats_MW_Counts Bestfit_Sats_GR_Counts Bestfit_Sats_Cluster_Counts
8 0 0 0 0 0 0 0 0 0 0 0 0 7.875 8.125 0 0 0 0 0
8.25 0 0 0 0 0 0 0 0 0 0 0 0 8.125 8.375 0 0 0 0 0
8.5 0 0 0 0 0 0 0 0 0 0 0 0 8.375 8.625 0 0 0 0 0
8.75 -2.25068e-05 2.25068e-05 2.25068e-05 -2.25068e-05 2.25068e-05 0 -2.25068e-05 2.25068e-05 2.25068e-05 -2.25068e-05 2.25068e-05 0 8.625 8.875 46463 2032 107 305 393
9 -1.61415e-05 1.61415e-05 4.84246e-05 -1.61415e-05 1.61415e-05 4.84246e-05 -1.61415e-05 1.61415e-05 1.61415e-05 -1.61415e-05 1.61415e-05 1.61415e-05 8.875 9.125 67621 5669 326 962 1203
9.25 9.72034e-05 -4.2446e-06 0.000122759 -9.37091e-05 8.94504e-05 -1.70508e-05 9.42255e-05 6.76634e-05 0.000124038 0.000231547 2.12041e-05 0.00026136 9.125 9.375 266197 31428 2106 5321 6149
9.5 0.000451856 0.000494572 0.000420218 -0.000114486 0.000442416 -8.44248e-06 -0.000237145 0.000898749 -0.000190501 0.00128324 0.000499067 0.00112035 9.375 9.625 771575 65008 5861 9150 10351
9.75 0.00111122 0.00127181 0.00110321 0.000132895 0.00186143 0.000198451 0.000693045 0.00181716 0.000767314 0.00412262 0.00106081 0.00392239 9.625 9.875 1.89105e+06 165438 15234 18413 19959
10 0.00825435 0.00342483 0.00701366 0.00762398 0.00488627 0.00623743 0.00871304 0.00463966 0.00762371 0.0135487 0.00263057 0.0117862 9.875 10.125 2.89154e+06 395387 40647 45141 45070
10.25 0.0204668 0.00636377 0.0151903 0.01812 0.0086561 0.0131163 0.0232294 0.00911556 0.0168331 0.0304737 0.00495081 0.0231002 10.125 10.375 2.22951e+06 404471 44235 47838 46223
