#Observed stellar masses in Msun
#MW Mass Range: 10^11.75 - 10^12.25 Msun.
#Group Mass Range: 10^12.75 - 10^13.25 Msun.
#Cluster Mass Range: 10^13.75 - 10^14.25 Msun.
#Quenched threshold: observed SSFR < 1e-11/yr
#Bestfit_X_Counts is the number of galaxies in the bin for the bestfit model.
#Log10(SM_Center) Median_FQ(Centrals) Err+ Err- Median_FQ(Sats) Err+ Err- Median_FQ(Sats_MW) Err+ Err- Median_FQ(Sats_Group) Err+ Err- Median_FQ(Sats_Cluster) Err+ Err- SM_Left_Edge SM_Right_Edge Bestfit_Galaxy_Counts Bestfit_Central_Galaxy_Counts Bestfit_Sat_Galaxy_Counts Bestfit_Sats_MW_Counts Bestfit_Sats_GR_Counts Bestfit_Sats_Cluster_Counts
7.3 0.000409046 0.000553917 0.000278779 0.000377087 0.000891437 0.000258316 0.000471354 0.0010351 0.000360404 0.000596481 0.00129323 0.000452492 0 0 0 7.2 7.4 621822 476319 145503 25024 5925 55
7.5 0.000386338 0.000573359 0.000224841 0.000420135 0.00110359 0.00028143 0.000482193 0.00142425 0.000349739 0.000569963 0.00136456 0.000406751 0 0 0 7.4 7.6 505446 371205 134241 25398 5791 62
7.7 0.000336968 0.000617027 0.00020312 0.00039203 0.00160814 0.000273971 0.000497667 0.00215673 0.000367034 0.000455512 0.00143544 0.000302114 0 0 0 7.6 7.8 404974 285106 119868 25056 5684 78
7.9 0.000306936 0.000616597 0.000197237 0.000443673 0.00276648 0.000310891 0.000616183 0.00376448 0.000500625 0.000316907 0.00361673 0.000316907 0 0 0 7.8 8 314499 216084 98415 23211 5401 83
8.1 0.000278967 0.000980621 0.000173409 0.000652463 0.00479377 0.000523844 0.000906742 0.00611947 0.000820233 0.000899928 0.00664359 0.000739826 0 0 0 8 8.2 240963 164666 76297 20310 4784 44
8.3 0.000275971 0.00186573 0.000164677 0.00123325 0.00852364 0.00108952 0.00197817 0.00971148 0.00176277 0.00164783 0.0122502 0.00142522 0 0 0 8.2 8.4 181727 125861 55866 17013 3937 63
8.5 0.000613265 0.00341493 0.000508975 0.00278496 0.0134589 0.00252154 0.00324391 0.0146115 0.00295031 0.00264784 0.0168672 0.00237167 0 0.030303 0 8.4 8.6 136987 96141 40846 14207 3276 33
8.7 0.00148362 0.0064825 0.00131633 0.00603757 0.0200233 0.00539147 0.00613172 0.0210094 0.00551123 0.00919681 0.0266824 0.00744703 0 0.0769231 0 8.6 8.8 103139 73533 29606 11435 2742 25
8.9 0.00263889 0.0111582 0.00220442 0.0126945 0.0317944 0.0112068 0.0106468 0.030851 0.00939604 0.0191226 0.0379393 0.0164042 0 0.0714286 0 8.8 9 77582 56411 21171 8860 2303 27
9.1 0.00628431 0.014612 0.00507592 0.0267654 0.0431217 0.0226704 0.019518 0.0399433 0.017519 0.0400572 0.0543158 0.033928 0.0384615 0.0815385 0.0384615 9 9.2 58078 42721 15357 6490 1924 23
9.3 0.0123864 0.0207784 0.00929505 0.0442478 0.0567737 0.0344421 0.0281264 0.0453857 0.023206 0.06809 0.0585693 0.0508774 0.1 0.185714 0.1 9.2 9.4 43213 32524 10689 4178 1548 22
9.5 0.0242541 0.0298632 0.0168958 0.0685052 0.0644459 0.0480024 0.0388866 0.0445343 0.0294188 0.10044 0.0764953 0.0679196 0.0588235 0.141176 0.0588235 9.4 9.6 32709 25152 7557 2552 1322 18
9.7 0.0425062 0.0404988 0.0250666 0.11558 0.0728447 0.0720532 0.0517837 0.0561709 0.039429 0.147668 0.0848713 0.0862511 0.272727 0.111888 0.272727 9.6 9.8 24216 18859 5357 1339 1168 11
9.9 0.0752372 0.0428874 0.0385845 0.164099 0.0770579 0.087659 0.0758725 0.0441275 0.0530231 0.205607 0.0912195 0.100712 0.230769 0.144231 0.13986 9.8 10 18306 14541 3765 659 993 13
10.1 0.110363 0.049951 0.0447799 0.228444 0.081179 0.0952852 0.103896 0.047828 0.0608854 0.310667 0.0852905 0.126072 0.3 0.144444 0.0777778 10 10.2 13534 10956 2578 271 783 9
10.3 0.171498 0.0419981 0.0462567 0.285797 0.0785969 0.0793242 0.116667 0.0892157 0.0676471 0.361032 0.0778752 0.0994931 0.6 0.1 0.1 10.2 10.4 10311 8525 1786 115 642 10
10.5 0.224526 0.039526 0.0407818 0.343023 0.0693122 0.0620044 0.233333 0.062963 0.0568627 0.414105 0.0868126 0.0736794 0.75 0.0681818 0.0833333 10.4 10.6 8086 6799 1287 31 553 12
10.7 0.283937 0.0438254 0.035541 0.409854 0.0532604 0.0535974 0.214286 0.142857 0.142857 0.448276 0.0669466 0.0516013 0.6 0.1 0.1 10.6 10.8 5749 4913 836 13 410 3
10.9 0.357343 0.0472478 0.035615 0.469466 0.0429311 0.0428783 0 0.25 0 0.477273 0.046843 0.0514172 0.6 0.15 0.2 10.8 11 3715 3203 512 4 272 6
11.1 0.398827 0.0374723 0.0399649 0.527897 0.0429985 0.0450073 0 0 0 0.516129 0.0426945 0.0459304 0.75 0.25 0.25 11 11.2 1999 1742 257 1 154 4
11.3 0.442945 0.0371084 0.0350686 0.552083 0.0546582 0.0715638 0 1 0 0.463415 0.0731708 0.0595685 1 0 1 11.2 11.4 828 750 78 0 44 1
11.5 0.472362 0.0430567 0.0519536 0.555556 0.065134 0.0755556 1 0 1 0.5 0.0625 0.119048 0 1 0 11.4 11.6 237 213 24 1 15 0
11.7 0.5 0.0681818 0.0625 0.333333 0.166667 0.333333 0 0 0 0.25 0.25 0.25 0 0 0 11.6 11.8 48 44 4 0 3 0
11.9 0.555556 0.0873016 0.126984 0 0 0 0 0 0 0 0 0 0 0 0 11.8 12 8 8 0 0 0 0
12.1 0.5 0.5 0.25 0 0 0 0 0 0 0 0 0 0 0 0 12 12.2 2 2 0 0 0 0
12.3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 12.2 12.4 0 0 0 0 0 0
12.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 12.4 12.6 0 0 0 0 0 0
12.7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 12.6 12.8 0 0 0 0 0 0
12.9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 12.8 13 0 0 0 0 0 0
13.1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 13 13.2 0 0 0 0 0 0
