#Peak halo masses in Msun
#Fractions of satellites that were quenched due to infall (f_q,sat - f_q,cen)
#MW Mass Range: 10^11.75 - 10^12.25 Msun.
#Group Mass Range: 10^12.75 - 10^13.25 Msun.
#Cluster Mass Range: 10^13.75 - 10^14.25 Msun.
#Quenched threshold: true SSFR < 1e-11/yr
#Bestfit_X_Counts is the number of galaxies in the bin for the bestfit model.
#Log10(HM_Center) FQ_infall(Sats) Err+ Err- FQ_infall(Sats_MW) Err+ Err- FQ_infall(Sats_Group) Err+ Err- FQ_infall(Sats_Cluster) Err+ Err- HM_Left_Edge HM_Right_Edge Bestfit_Halo_Counts Bestfit_Satellite_Counts Bestfit_Sats_MW_Counts Bestfit_Sats_GR_Counts Bestfit_Sats_Cluster_Counts
8 0 0 0 0 0 0 0 0 0 0 0 0 7.875 8.125 0 0 0 0 0
8.25 0 0 0 0 0 0 0 0 0 0 0 0 8.125 8.375 0 0 0 0 0
8.5 0 0 0 0 0 0 0 0 0 0 0 0 8.375 8.625 0 0 0 0 0
8.75 -6.97301e-05 6.97301e-05 0 -6.97301e-05 6.97301e-05 0 -6.97301e-05 6.97301e-05 0 -6.97301e-05 6.97301e-05 0 8.625 8.875 30888 2206 229 445 237
9 0 0 2.04532e-05 0 0 2.04532e-05 0 0 2.04532e-05 0 0 2.04532e-05 8.875 9.125 55651 6761 834 1458 821
9.25 -4.49194e-06 2.19236e-05 -4.84306e-10 -4.49194e-06 9.28139e-10 4.49085e-06 -4.49194e-06 9.48148e-10 4.49085e-06 -4.49194e-06 0.000180506 -4.84306e-10 9.125 9.375 268173 45552 5635 9517 5539
9.5 8.62064e-05 0.000453989 -4.74846e-06 0.00028648 0.000309171 2.43711e-05 0.000146292 0.000514369 4.50102e-05 0.000328727 0.000672081 1.33585e-05 9.375 9.625 1.09868e+06 150363 20197 24225 12859
9.75 0.000264013 0.00167269 -6.82642e-06 0.000278633 0.00228127 -7.17546e-06 0.00038998 0.00300098 -7.26483e-05 0.000309064 0.00344054 -0.000147828 9.625 9.875 2.9789e+06 376906 47881 43926 22327
10 0.000293819 0.00106154 7.30196e-05 0.000371001 0.00149039 0 0.000268659 0.00164073 4.87035e-05 0.000993794 0.00148427 0.00051888 9.875 10.125 3.76366e+06 544278 70868 61340 30113
10.25 0.0016809 0.00261892 0.000723587 0.00142745 0.00312258 0.000560628 0.00293678 0.00345884 0.00128008 0.00470561 0.00387546 0.00314344 10.125 10.375 2.61312e+06 490509 67099 54914 27043
