#Observed stellar masses in Msun
#Fractions of satellites that were quenched due to infall (f_q,sat - f_q,cen)
#MW Mass Range: 10^11.75 - 10^12.25 Msun.
#Group Mass Range: 10^12.75 - 10^13.25 Msun.
#Cluster Mass Range: 10^13.75 - 10^14.25 Msun.
#Quenched threshold: observed SSFR < 1e-11/yr
#Bestfit_X_Counts is the number of galaxies in the bin for the bestfit model.
#Log10(SM_Center) Median_FQ_infall(Sats) Err+ Err- Median_FQ_infall(Sats_MW) Err+ Err- Median_FQ_infall(Sats_Group) Err+ Err- Median_FQ_infall(Sats_Cluster) Err+ Err- SM_Left_Edge SM_Right_Edge Bestfit_Galaxy_Counts Bestfit_Satellite_Counts Bestfit_Sats_MW_Counts Bestfit_Sats_GR_Counts Bestfit_Sats_Cluster_Counts
7.3 0.00211845 0.00298736 0.00152054 0.0019356 0.00340423 0.00122995 0.00210238 0.00309947 0.00156911 0.00181063 0.00390638 0.00144728 7.2 7.4 575601 132983 23441 14457 3346
7.5 0.00353253 0.00503123 0.00260314 0.00357845 0.00462398 0.00260983 0.00276004 0.00465889 0.00199159 0.0034935 0.00556594 0.00219783 7.4 7.6 470760 120387 22830 13179 3061
7.7 0.00595769 0.00684895 0.00422001 0.00665711 0.0076471 0.00478808 0.00591544 0.00655053 0.00399044 0.00541019 0.0108632 0.0038946 7.6 7.8 390647 114599 22927 12858 3056
7.9 0.00868755 0.0090669 0.00571214 0.0095467 0.0100398 0.00605912 0.0100458 0.00951065 0.00656263 0.0127992 0.0131474 0.00752393 7.8 8 324548 106668 22428 12193 3196
8.1 0.0130644 0.011871 0.00773113 0.0141918 0.0126845 0.00805955 0.0152493 0.0126522 0.00931615 0.0172981 0.0147074 0.010219 8 8.2 263865 90577 20756 10827 2813
8.3 0.0207715 0.0151531 0.011574 0.0231929 0.0156256 0.0116549 0.0207761 0.0178744 0.0107925 0.032861 0.026091 0.0187689 8.2 8.4 210489 71855 17942 9178 2372
8.5 0.031462 0.0179642 0.0151608 0.0330967 0.0183227 0.0163128 0.0347366 0.0202415 0.0166578 0.0377092 0.0239359 0.0187116 8.4 8.6 167784 56773 15618 7792 2004
8.7 0.045877 0.0207032 0.0191075 0.0464545 0.0200333 0.0187332 0.0478776 0.0245879 0.0191035 0.0603909 0.030073 0.0225839 8.6 8.8 132325 44439 13418 6697 1675
8.9 0.0623373 0.0255277 0.0229406 0.0579771 0.021333 0.0207769 0.0707398 0.0301035 0.025829 0.0731936 0.0352176 0.0199588 8.8 9 104549 34080 10868 5434 1434
9.1 0.0817849 0.0257642 0.0259159 0.0700877 0.0238319 0.0236262 0.0904715 0.0291793 0.0257227 0.0980218 0.0479817 0.0345428 9 9.2 82281 26572 8623 4686 1119
9.3 0.105626 0.0276705 0.0257496 0.0788818 0.0207019 0.0232933 0.123719 0.0316918 0.0290188 0.118706 0.0380159 0.0304325 9.2 9.4 64186 20000 6010 3939 893
9.5 0.131617 0.0337591 0.0284619 0.0834651 0.0243903 0.0255224 0.153008 0.0422391 0.0328113 0.169297 0.0447229 0.0385317 9.4 9.6 51466 15640 4122 3291 798
9.7 0.15465 0.0353937 0.0365638 0.0751673 0.0256524 0.0267039 0.176923 0.0378653 0.0357557 0.190894 0.0610784 0.0382472 9.6 9.8 42873 12530 2569 2909 643
9.9 0.178077 0.0330722 0.0347188 0.0507972 0.0308017 0.0276372 0.213444 0.0394024 0.0380345 0.237021 0.0272767 0.0384489 9.8 10 36974 10661 1572 2843 640
10.1 0.184426 0.0327997 0.0345531 0.0343105 0.0291686 0.0306474 0.245818 0.034731 0.0334383 0.241005 0.0537711 0.0465073 10 10.2 33644 9131 890 2722 580
10.3 0.195295 0.0325489 0.0326231 -0.00478753 0.0414781 0.0374355 0.233042 0.0355051 0.0356911 0.288869 0.0399102 0.041851 10.2 10.4 30803 7775 449 2501 592
10.5 0.194948 0.0306445 0.0330805 0.00363901 0.0536369 0.0387861 0.228538 0.0355892 0.0295718 0.294512 0.0235521 0.0280675 10.4 10.6 28139 6740 216 2465 554
10.7 0.182491 0.028499 0.0310925 0.00802162 0.0577078 0.0956024 0.180869 0.0295205 0.030514 0.311429 0.0227264 0.0388458 10.6 10.8 22917 5009 79 1969 512
10.9 0.167392 0.0236739 0.031635 -0.118295 0.0601894 0.0664622 0.145872 0.0241072 0.0346065 0.300102 0.0230155 0.0322905 10.8 11 15625 3166 34 1198 388
11.1 0.112509 0.0312873 0.0289848 -0.13651 0.188467 0.13199 0.0558613 0.0274292 0.0237991 0.225811 0.0315602 0.0350516 11 11.2 7665 1355 9 537 190
11.3 0.0919461 0.0234704 0.040166 -0.622595 0.0289468 0.0338378 0.0332309 0.0436027 0.0615947 0.216163 0.029184 0.0345227 11.2 11.4 2616 402 0 141 66
11.5 0.0764638 0.0296359 0.0259945 0.282222 0.0292133 0.0363988 0.149916 0.0589008 0.0635886 0.159431 0.0597343 0.0518802 11.4 11.6 573 81 1 19 16
11.7 -0.103825 0.119538 0.123761 -0.853333 0.0452526 0.0323809 0.135802 0.0526034 1.00178 0.138298 0.0492021 0.997272 11.6 11.8 78 4 0 1 1
11.9 -0.9375 0.1375 0.0625 -0.9375 0.1375 0.0625 -0.9375 0.1375 0.0625 -0.9375 0.1375 0.0625 11.8 12 6 0 0 0 0
12.1 0 0 0 0 0 0 0 0 0 0 0 0 12 12.2 0 0 0 0 0
12.3 0 0 0 0 0 0 0 0 0 0 0 0 12.2 12.4 0 0 0 0 0
12.5 0 0 0 0 0 0 0 0 0 0 0 0 12.4 12.6 0 0 0 0 0
12.7 0 0 0 0 0 0 0 0 0 0 0 0 12.6 12.8 0 0 0 0 0
12.9 0 0 0 0 0 0 0 0 0 0 0 0 12.8 13 0 0 0 0 0
13.1 0 0 0 0 0 0 0 0 0 0 0 0 13 13.2 0 0 0 0 0
