#Peak halo masses in Msun
#Fractions of satellites that were quenched due to infall (f_q,sat - f_q,cen)
#MW Mass Range: 10^11.75 - 10^12.25 Msun.
#Group Mass Range: 10^12.75 - 10^13.25 Msun.
#Cluster Mass Range: 10^13.75 - 10^14.25 Msun.
#Quenched threshold: true SSFR < 1e-11/yr
#Bestfit_X_Counts is the number of galaxies in the bin for the bestfit model.
#Log10(HM_Center) FQ_infall(Sats) Err+ Err- FQ_infall(Sats_MW) Err+ Err- FQ_infall(Sats_Group) Err+ Err- FQ_infall(Sats_Cluster) Err+ Err- HM_Left_Edge HM_Right_Edge Bestfit_Halo_Counts Bestfit_Satellite_Counts Bestfit_Sats_MW_Counts Bestfit_Sats_GR_Counts Bestfit_Sats_Cluster_Counts
8 0 0 0 0 0 0 0 0 0 0 0 0 7.875 8.125 0 0 0 0 0
8.25 0 0 0 0 0 0 0 0 0 0 0 0 8.125 8.375 0 0 0 0 0
8.5 0 0 0 0 0 0 0 0 0 0 0 0 8.375 8.625 0 0 0 0 0
8.75 -0.0001228 8.18666e-05 0 -0.0001228 8.18666e-05 0 -0.0001228 8.18666e-05 4.09333e-05 -0.0001228 8.18666e-05 0 8.625 8.875 26199 1769 119 299 327
9 -2.42889e-05 2.42889e-05 0 -2.42889e-05 2.42889e-05 0 -2.42889e-05 2.42889e-05 0 -2.42889e-05 2.42889e-05 0 8.875 9.125 46749 5578 424 1065 1086
9.25 -1.07332e-05 5.86521e-05 -5.18412e-10 -1.07332e-05 5.36711e-06 0 -1.07332e-05 5.36717e-06 -1.72804e-10 -1.07332e-05 5.36723e-06 -2.30102e-10 9.125 9.375 220348 34010 2862 6796 6452
9.5 7.96144e-05 0.000145505 9.64729e-06 -8.5522e-05 0.000219278 -2.11051e-05 5.39675e-05 0.000357426 2.52877e-05 0.00036892 0.000266929 6.13756e-05 9.375 9.625 804101 90834 9499 14338 13203
9.75 0.000407242 0.000529542 0.000203327 -2.2103e-05 0.000751871 -2.88227e-05 0.000793586 0.00102104 0.000283464 0.0008044 0.000574243 0.000617498 9.625 9.875 2.20278e+06 253355 26706 29962 26661
10 0.00232851 0.00106239 0.00148459 0.00184186 0.00158314 0.000949585 0.00244537 0.00169863 0.00147674 0.00414037 0.00061015 0.00291585 9.875 10.125 3.3213e+06 477995 54815 56190 47419
10.25 0.00676663 0.00266989 0.00281386 0.00555855 0.00391818 0.00193037 0.00796182 0.00418333 0.0028504 0.0126739 0.00145626 0.00709937 10.125 10.375 2.41847e+06 453008 55279 53764 44577
