#Peak halo masses in Msun
#Fractions of satellites that were quenched due to infall (f_q,sat - f_q,cen)
#MW Mass Range: 10^11.75 - 10^12.25 Msun.
#Group Mass Range: 10^12.75 - 10^13.25 Msun.
#Cluster Mass Range: 10^13.75 - 10^14.25 Msun.
#Quenched threshold: true SSFR < 1e-11/yr
#Bestfit_X_Counts is the number of galaxies in the bin for the bestfit model.
#Log10(HM_Center) FQ_infall(Sats) Err+ Err- FQ_infall(Sats_MW) Err+ Err- FQ_infall(Sats_Group) Err+ Err- FQ_infall(Sats_Cluster) Err+ Err- HM_Left_Edge HM_Right_Edge Bestfit_Halo_Counts Bestfit_Satellite_Counts Bestfit_Sats_MW_Counts Bestfit_Sats_GR_Counts Bestfit_Sats_Cluster_Counts
8 0 0 0 0 0 0 0 0 0 0 0 0 7.875 8.125 0 0 0 0 0
8.25 0 0 0 0 0 0 0 0 0 0 0 0 8.125 8.375 0 0 0 0 0
8.5 0 0 0 0 0 0 0 0 0 0 0 0 8.375 8.625 0 0 0 0 0
8.75 0 0 0 0 0 0 0 0 0 0 0 0 8.625 8.875 312056 4790 2 0 0
9 0 0 0 0 0 0 0 0 0 0 0 0 8.875 9.125 488531 5382 18 1 0
9.25 0 0 0 0 0 0 0 0 0 0 0 0 9.125 9.375 1.3602e+06 16859 347 4 0
9.5 0 1.12085e-05 0 0 0 0 0 0 0 0 0 0 9.375 9.625 2.67421e+06 89153 2557 22 0
9.75 0 4.11188e-06 0 0 0 0 0 0 0 0 0 1.14133e-06 9.625 9.875 2.80088e+06 175625 5479 39 0
10 0 5.59491e-06 0 0 0 0 0 0 0 0 0 1.18805e-06 9.875 10.125 1.85472e+06 173428 6842 58 0
10.25 0 3.81828e-05 0 0 0.000128376 0 0 0 0 0 0 2.3592e-06 10.125 10.375 991756 144640 6900 63 0
10.5 0 0.000240353 0 0 0.000916675 0 0 0 0 0 0 7.36923e-06 10.375 10.625 476276 69246 4845 49 0
10.75 3.76378e-05 0.00122061 3.76378e-05 0 0.00299129 0 0 0 0 0 0 6.25733e-05 10.625 10.875 218333 26569 3288 27 0
11 0 0.00253092 0 0 0.00363261 0 0 0 0 0 0 0.000331549 10.875 11.125 94602 10144 2110 15 0
11.25 -8.63359e-05 0.00656175 -8.63359e-05 -8.63359e-05 0.00951339 -8.63359e-05 -8.63359e-05 0.0812613 -5.75573e-05 -8.63359e-05 8.63359e-05 0.00100725 11.125 11.375 38213 3465 1308 12 0
11.5 0.000686101 0.0150261 0.000686101 0.00118632 0.0138361 0.00118632 -0.000303998 0.000303998 -0.000227998 -0.000303998 0.000303998 0.00387597 11.375 11.625 14168 1010 671 11 0
11.75 0.0131898 0.0139713 0.0131898 0.00244606 0.00901111 0.00244606 0.139653 -0.000686496 0.139653 -0.00320366 0.00320366 0.016476 11.625 11.875 4614 244 177 7 0
12 0.0708723 0.00700934 0.0708723 0.0928021 -0.00778816 0.0943597 -0.0124611 0.0124611 0 -0.0124611 0.0124611 0.0303738 11.875 12.125 1356 72 19 4 0
12.25 -0.029316 0.029316 0.0460679 -0.029316 0.029316 0.0716612 -0.029316 0.029316 0.0586319 -0.029316 0.029316 0.0716612 12.125 12.375 314 7 0 1 0
12.5 0.0215054 -0.0215054 0.11828 -0.145161 0.145161 0.209677 0.188172 -0.188172 0.274194 -0.145161 0.145161 0.209677 12.375 12.625 68 6 0 3 0
12.75 -0.5 0.5 0.1 -0.5 0.5 0.1 -0.5 0.5 0.1 -0.5 0.5 0.1 12.625 12.875 10 0 0 0 0
13 -1 1 0 -1 1 0 -1 1 0 -1 1 0 12.875 13.125 1 0 0 0 0
13.25 0 0 0 0 0 0 0 0 0 0 0 0 13.125 13.375 0 0 0 0 0
13.5 0 0 0 0 0 0 0 0 0 0 0 0 13.375 13.625 0 0 0 0 0
13.75 0 0 0 0 0 0 0 0 0 0 0 0 13.625 13.875 0 0 0 0 0
14 0 0 0 0 0 0 0 0 0 0 0 0 13.875 14.125 0 0 0 0 0
14.25 0 0 0 0 0 0 0 0 0 0 0 0 14.125 14.375 0 0 0 0 0
14.5 0 0 0 0 0 0 0 0 0 0 0 0 14.375 14.625 0 0 0 0 0
14.75 0 0 0 0 0 0 0 0 0 0 0 0 14.625 14.875 0 0 0 0 0
15 0 0 0 0 0 0 0 0 0 0 0 0 14.875 15.125 0 0 0 0 0
15.25 0 0 0 0 0 0 0 0 0 0 0 0 15.125 15.375 0 0 0 0 0
15.5 0 0 0 0 0 0 0 0 0 0 0 0 15.375 15.625 0 0 0 0 0
15.75 0 0 0 0 0 0 0 0 0 0 0 0 15.625 15.875 0 0 0 0 0
