#Peak halo masses in Msun
#Fractions of *quenched satellites* that were quenched after infall
#MW Mass Range: 10^11.75 - 10^12.25 Msun.
#Group Mass Range: 10^12.75 - 10^13.25 Msun.
#Cluster Mass Range: 10^13.75 - 10^14.25 Msun.
#Quenched threshold: true SSFR < 1e-11/yr
#Bestfit_X_Counts is the number of halos in the bin for the bestfit model.
#Log10(HM) FQ_infall(Sats_MW) Err+ Err- FQ_infall(Sats_Group) Err+ Err- FQ_infall(Sats_Cluster) Err+ Err- HM_Left_Edge HM_Right_Edge Bestfit_Halo_Counts  Bestfit_Sat_MW_Counts Bestfit_Sat_GR_Counts Bestfit_Sat_CL_Counts
8.00 0 0 0 0 0 0 0 0 0 7.875 8.125 0 0 0 0
8.25 0 0 0 0 0 0 0 0 0 8.125 8.375 0 0 0 0
8.50 0 0 0 0 0 0 0 0 0 8.375 8.625 0 0 0 0
8.75 0 0 0 0 0 0 0 0 0 8.625 8.875 58518 221 267 37
9.00 0 0 0 0 0 0 0 0 0 8.875 9.125 103936 872 964 167
9.25 0 0 0 0 0 0 0 0 0 9.125 9.375 466305 6927 7413 1414
9.50 0.142857 0.220779 0.0178571 0.4 0.1 0.228571 0.5 0.166667 0.5 9.375 9.625 1.73919e+06 30819 26135 4594
9.75 0.208955 0.0559005 0.0332796 0.285714 0.0598739 0.0491289 0.0833333 0.238095 -0.0166667 9.625 9.875 3.84993e+06 68975 46300 7986
10.00 0.393939 0.106061 0.148325 0.461538 0.0984615 0.264406 0.636364 0.0303031 0.377104 9.875 10.125 4.04251e+06 83174 51630 8997
10.25 0.861111 0.0138889 0.361111 0.897436 -0.00854701 0.522436 1 0 0.5 10.125 10.375 2.70917e+06 75569 44516 7918
10.50 0.868056 0.0553533 0.0210611 0.934579 -0.00464314 0.101246 0.944444 0.0555556 0.144444 10.375 10.625 1.67136e+06 67720 36448 6562
10.75 0.911602 0.0163371 0.0366022 0.895131 0.0377226 0.0126477 0.86747 0.0789587 0.0141366 10.625 10.875 1.01864e+06 55785 26752 4919
11.00 0.885505 0.0348925 0.00160629 0.92365 0.010416 0.0349484 0.905109 0.0429425 0.0333146 10.875 11.125 584171 39856 17848 3131
11.25 0.893555 0.0257466 0.0139376 0.91358 0.00779074 0.0322243 0.888298 0.0347791 0.0223185 11.125 11.375 329785 27185 11899 2044
11.50 0.857823 0.0455557 0.00577134 0.879481 0.0384233 0.0118702 0.853061 0.0539156 0.00915873 11.375 11.625 185276 15071 7911 1199
11.75 0.803529 0.0648216 0.0134167 0.807939 0.0729063 0.0116528 0.859935 0.0432909 0.040363 11.625 11.875 103483 4497 5600 824
12.00 0.705882 0.0918704 0.00180072 0.739433 0.0735711 0.0116151 0.730519 0.101695 0.0125707 11.875 12.125 56635 459 3878 544
12.25 0.714286 0.107143 0.047619 0.59359 0.100449 -0.00652844 0.588235 0.0601665 0.024599 12.125 12.375 30335 41 2433 303
12.50 0.4 0.266667 -0.0285714 0.464217 0.0705056 0.00702173 0.540984 0.0496597 0.0655738 12.375 12.625 15789 5 1401 215
12.75 0 0 0 0.316923 0.044188 0.0235898 0.318841 0.107516 0.0144928 12.625 12.875 7924 1 409 150
13.00 0 0 0 0.386364 0.00388026 0.113636 0.209877 0.0282187 0.0652982 12.875 13.125 3756 0 49 85
13.25 0 0 0 0.5 0 0 0.0819672 0.053626 0.0335801 13.125 13.375 1639 0 2 63
13.50 0 0 0 0 0 0 0.102564 0 0.0512821 13.375 13.625 661 0 0 39
13.75 0 0 0 0 0 0 0.0769231 0.00641026 0 13.625 13.875 244 0 0 13
14.00 0 0 0 0 0 0 0 0 0 13.875 14.125 50 0 0 1
14.25 0 0 0 0 0 0 0 0 0 14.125 14.375 10 0 0 0
14.50 0 0 0 0 0 0 0 0 0 14.375 14.625 1 0 0 0
14.75 0 0 0 0 0 0 0 0 0 14.625 14.875 0 0 0 0
15.00 0 0 0 0 0 0 0 0 0 14.875 15.125 0 0 0 0
15.25 0 0 0 0 0 0 0 0 0 15.125 15.375 0 0 0 0
15.50 0 0 0 0 0 0 0 0 0 15.375 15.625 0 0 0 0
15.75 0 0 0 0 0 0 0 0 0 15.625 15.875 0 0 0 0
