#Peak halo masses in Msun
#Fractions of satellites that were quenched due to infall (f_q,sat - f_q,cen)
#MW Mass Range: 10^11.75 - 10^12.25 Msun.
#Group Mass Range: 10^12.75 - 10^13.25 Msun.
#Cluster Mass Range: 10^13.75 - 10^14.25 Msun.
#Quenched threshold: true SSFR < 1e-11/yr
#Bestfit_X_Counts is the number of galaxies in the bin for the bestfit model.
#Log10(HM_Center) FQ_infall(Sats) Err+ Err- FQ_infall(Sats_MW) Err+ Err- FQ_infall(Sats_Group) Err+ Err- FQ_infall(Sats_Cluster) Err+ Err- HM_Left_Edge HM_Right_Edge Bestfit_Halo_Counts Bestfit_Satellite_Counts Bestfit_Sats_MW_Counts Bestfit_Sats_GR_Counts Bestfit_Sats_Cluster_Counts
8 0 0 0 0 0 0 0 0 0 0 0 0 7.875 8.125 0 0 0 0 0
8.25 0 0 0 0 0 0 0 0 0 0 0 0 8.125 8.375 0 0 0 0 0
8.5 0 0 0 0 0 0 0 0 0 0 0 0 8.375 8.625 0 0 0 0 0
8.75 0 0 0 0 0 0 0 0 0 0 0 0 8.625 8.875 188798 2420 61 8 0
9 0 0 3.32202e-06 0 0 3.32202e-06 0 0 3.32202e-06 0 0 3.32202e-06 8.875 9.125 304316 3295 308 66 0
9.25 -1.90458e-06 2.86491e-10 2.85625e-06 -1.90458e-06 2.86491e-10 2.85649e-06 -1.90458e-06 9.5218e-07 2.85625e-06 -1.90458e-06 1.92244e-10 1.04734e-05 9.125 9.375 1.07328e+06 23186 3344 706 0
9.5 1.01794e-05 9.75468e-05 5.08914e-06 3.23222e-05 0.000249283 3.21312e-06 0.000203138 0.000156268 0.000203138 -4.80559e-06 2.06138e-06 5.0749e-05 9.375 9.625 3.11347e+06 200200 26934 4809 0
9.75 5.28218e-06 0.000195968 1.19433e-06 5.32373e-05 0.00038269 3.2833e-05 0.000101433 0.000473985 4.78043e-06 -1.74029e-05 2.34663e-06 0.000146112 9.625 9.875 4.79452e+06 484900 56625 8415 0
10 -1.01787e-06 0.000124046 5.61012e-06 1.67313e-06 0.000281001 8.86895e-06 -1.48217e-05 0.000297691 1.25484e-05 -1.48217e-05 -9.33839e-07 0.000115135 9.875 10.125 3.67813e+06 507105 60625 8457 0
10.25 1.46445e-05 0.000114259 1.55917e-05 3.31375e-05 0.000213088 3.69673e-05 -2.19132e-06 0.000781676 8.75876e-06 -2.19132e-06 1.09281e-06 2.95003e-05 10.125 10.375 2.24117e+06 415781 56611 8001 0
