#Observed stellar masses in Msun
#Fractions of satellites that were quenched due to infall (f_q,sat - f_q,cen)
#MW Mass Range: 10^11.75 - 10^12.25 Msun.
#Group Mass Range: 10^12.75 - 10^13.25 Msun.
#Cluster Mass Range: 10^13.75 - 10^14.25 Msun.
#Quenched threshold: observed SSFR < 1e-11/yr
#Bestfit_X_Counts is the number of galaxies in the bin for the bestfit model.
#Log10(SM_Center) Median_FQ_infall(Sats) Err+ Err- Median_FQ_infall(Sats_MW) Err+ Err- Median_FQ_infall(Sats_Group) Err+ Err- Median_FQ_infall(Sats_Cluster) Err+ Err- SM_Left_Edge SM_Right_Edge Bestfit_Galaxy_Counts Bestfit_Satellite_Counts Bestfit_Sats_MW_Counts Bestfit_Sats_GR_Counts Bestfit_Sats_Cluster_Counts
7.3 0.00112784 0.00213215 0.000858055 0.00110164 0.00241377 0.000840989 0.00103896 0.00246475 0.000851629 0.00150055 0.0031686 0.00128324 7.2 7.4 581172 135387 24386 13112 2213
7.5 0.00194603 0.00378312 0.00152476 0.00200425 0.00343162 0.00161873 0.00211067 0.00376254 0.00179286 0.00200577 0.00510227 0.00175186 7.4 7.6 476698 124904 24423 12252 2193
7.7 0.00321707 0.00543396 0.0024544 0.00308619 0.0052784 0.00224424 0.00335233 0.00629189 0.00280849 0.00447483 0.00781095 0.0037972 7.6 7.8 394247 118897 24431 12046 2160
7.9 0.00525157 0.00775593 0.00387295 0.00654679 0.00857754 0.00478303 0.00589505 0.00915092 0.00434542 0.00955792 0.0135222 0.00705495 7.8 8 322368 107479 23622 11424 2112
8.1 0.00842479 0.0104051 0.00579654 0.00986314 0.0115235 0.00644023 0.00957227 0.0111205 0.00682059 0.0102475 0.0116862 0.006602 8 8.2 258734 88675 21121 10070 1818
8.3 0.0136931 0.0140773 0.00840585 0.0152341 0.0148933 0.00930419 0.0171441 0.0147046 0.0102494 0.0162227 0.0220189 0.00720183 8.2 8.4 204484 69561 18428 8664 1544
8.5 0.0230104 0.0161209 0.0128761 0.0259054 0.0177833 0.0143398 0.0247451 0.018753 0.0119341 0.0294014 0.0264498 0.0166792 8.4 8.6 161675 54100 15732 7097 1391
8.7 0.0340541 0.0201432 0.0171746 0.0337364 0.0184946 0.0161344 0.0361389 0.023154 0.0151499 0.0448946 0.0272704 0.0217013 8.6 8.8 127587 41920 13557 6050 1104
8.9 0.0516501 0.0251949 0.0230572 0.049186 0.023532 0.0224628 0.0532258 0.0285484 0.0230567 0.061132 0.0435226 0.0277779 8.8 9 100418 32003 10806 5164 923
9.1 0.0680507 0.0278633 0.0256635 0.0576948 0.0231825 0.0231429 0.0788715 0.0328347 0.0290606 0.0760791 0.0342643 0.0326471 9 9.2 78429 24467 8249 4283 776
