#Observed stellar masses in Msun
#Fractions of satellites that were quenched due to infall (f_q,sat - f_q,cen)
#MW Mass Range: 10^11.75 - 10^12.25 Msun.
#Group Mass Range: 10^12.75 - 10^13.25 Msun.
#Cluster Mass Range: 10^13.75 - 10^14.25 Msun.
#Quenched threshold: observed SSFR < 1e-11/yr
#Bestfit_X_Counts is the number of galaxies in the bin for the bestfit model.
#Log10(SM_Center) Median_FQ_infall(Sats) Err+ Err- Median_FQ_infall(Sats_MW) Err+ Err- Median_FQ_infall(Sats_Group) Err+ Err- Median_FQ_infall(Sats_Cluster) Err+ Err- SM_Left_Edge SM_Right_Edge Bestfit_Galaxy_Counts Bestfit_Satellite_Counts Bestfit_Sats_MW_Counts Bestfit_Sats_GR_Counts Bestfit_Sats_Cluster_Counts
7.3 0 0.00011263 0 0 0 0 0 0 0 0 0 9.23647e-06 7.2 7.4 387102 50616 2109 10 0
7.5 0 0.000117813 0 0 0.00038928 0 0 0 0 0 0 1.62097e-05 7.4 7.6 295843 44194 2152 11 0
7.7 0 0.000159486 0 0 0.000421723 0 0 0 0 0 0 3.01305e-05 7.6 7.8 215401 35661 2111 16 0
7.9 0 0.000261327 0 0 0.000597181 0 0 0 1.07926e-05 0 0 4.92996e-05 7.8 8 151284 26598 1926 14 0
8.1 0 0.000736852 1.28074e-05 0 0.00168669 1.41945e-05 0 0 2.82402e-05 -9.78943e-06 9.78943e-06 7.33976e-05 8 8.2 101981 18042 1663 9 0
8.3 0 0.000798183 1.98138e-05 -1.34513e-05 0.00173381 8.74005e-06 -1.4707e-05 1.4707e-05 2.94958e-05 -1.69405e-05 1.69405e-05 0.000151694 8.2 8.4 67995 11362 1386 2 0
8.5 0 0.00149901 2.68291e-05 0 0.00488695 2.87406e-05 -2.07159e-05 2.07159e-05 5.29421e-05 -2.39682e-05 2.39682e-05 0.000337896 8.4 8.6 44323 6884 1095 4 0
8.7 0 0.0026368 0 0 0.00536646 0 0 0 5.18256e-05 0 0 0.000525092 8.6 8.8 28415 4120 877 4 0
8.9 0 0.00290061 0 0 0.00543639 0 0 0 7.39426e-05 0 0 0.00141931 8.8 9 18386 2491 715 5 0
9.1 0 0.00433211 0 0 0.00707567 0 0 0 0.000112448 0 0 0.00149528 9 9.2 11561 1493 545 5 0
9.3 0 0.00773598 0 0 0.0139885 0 0 0 0.000174764 0 0 0.00287356 9.2 9.4 7054 779 342 2 0
9.5 0 0.00939443 0 0 0.0120915 0 0 0 0.00120846 0 0 0.00618698 9.4 9.6 4284 414 235 3 0
9.7 0 0.0219873 0 0 0.0220979 0 0 0 0.00223839 0 0 0.0107484 9.6 9.8 2460 211 130 4 0
9.9 0 0.019492 0.00073046 0 0.0185845 0.00140351 0 0 0.00813008 0 0 0.0125 9.8 10 1416 137 86 0 0
10.1 0 0.0311556 0 0 0.0039399 0.00273224 0 0 0.00416089 0 0 0.0224868 10 10.2 795 63 35 1 0
10.3 0 0.0238984 0.00301205 0 0 0.0235294 0 0 0.0220994 0 0 0.0333952 10.2 10.4 467 31 14 0 0
10.5 0 0.0714286 0.00694444 0 0 0.045082 0 0 0.0545455 0 0 0.0545455 10.4 10.6 234 18 8 0 0
10.7 0 0 0.0348837 0 0 0.0786517 0 0 0.0895522 0 0 0.0895522 10.6 10.8 98 8 3 0 0
10.9 0 0 0.109589 0 0 0.113636 0 0 0.113636 0 0 0.113636 10.8 11 57 1 1 0 0
11.1 0 0 0.181818 0 0 0.185185 0 0 0.185185 0 0 0.185185 11 11.2 14 1 0 0 0
11.3 0 0 0.222222 0 0 0.25 0 0 0.25 0 0 0.25 11.2 11.4 4 0 0 0 0
11.5 0 0 0 0 0 0 0 0 0 0 0 0 11.4 11.6 1 0 0 0 0
11.7 0 0 0 0 0 0 0 0 0 0 0 0 11.6 11.8 1 0 0 0 0
11.9 0 0 0 0 0 0 0 0 0 0 0 0 11.8 12 0 0 0 0 0
12.1 0 0 0 0 0 0 0 0 0 0 0 0 12 12.2 0 0 0 0 0
12.3 0 0 0 0 0 0 0 0 0 0 0 0 12.2 12.4 0 0 0 0 0
12.5 0 0 0 0 0 0 0 0 0 0 0 0 12.4 12.6 0 0 0 0 0
12.7 0 0 0 0 0 0 0 0 0 0 0 0 12.6 12.8 0 0 0 0 0
12.9 0 0 0 0 0 0 0 0 0 0 0 0 12.8 13 0 0 0 0 0
13.1 0 0 0 0 0 0 0 0 0 0 0 0 13 13.2 0 0 0 0 0
