#Peak halo masses in Msun
#Fractions of *quenched satellites* that were quenched after infall
#MW Mass Range: 10^11.75 - 10^12.25 Msun.
#Group Mass Range: 10^12.75 - 10^13.25 Msun.
#Cluster Mass Range: 10^13.75 - 10^14.25 Msun.
#Quenched threshold: true SSFR < 1e-11/yr
#Bestfit_X_Counts is the number of halos in the bin for the bestfit model.
#Log10(HM) FQ_infall(Sats_MW) Err+ Err- FQ_infall(Sats_Group) Err+ Err- FQ_infall(Sats_Cluster) Err+ Err- HM_Left_Edge HM_Right_Edge Bestfit_Halo_Counts  Bestfit_Sat_MW_Counts Bestfit_Sat_GR_Counts Bestfit_Sat_CL_Counts
8.00 0 0 0 0 0 0 0 0 0 7.875 8.125 0 0 0 0
8.25 0 0 0 0 0 0 0 0 0 8.125 8.375 0 0 0 0
8.50 0 0 0 0 0 0 0 0 0 8.375 8.625 0 0 0 0
8.75 0 0 0 0 0 0 0 0 0 8.625 8.875 28207 222 463 371
9.00 0 0 0 0 0 0 0 0 0 8.875 9.125 49759 734 1553 1180
9.25 0 0 0 0 0 0 0 0 0 9.125 9.375 235804 4471 9112 7125
9.50 1 0 1 0.5 0.196163 0.184211 0.833333 -0.0333333 0.633333 9.375 9.625 890520 14409 19742 14755
9.75 0.633333 0.0303749 0.287179 0.612903 0.106395 0.163628 0.6 0.0829268 0.221622 9.625 9.875 2.48412e+06 35095 37144 26610
10.00 0.892473 0.0292137 0.136376 0.863636 0.0508021 0.115605 0.899225 0.00187409 0.177003 9.875 10.125 3.51132e+06 61248 59420 41114
10.25 0.967857 -0.000644028 0.037607 0.951368 0.0147339 0.0208122 0.962145 0.0118809 0.0209686 10.125 10.375 2.50487e+06 60375 55758 37124
10.50 0.966027 0.00533903 0.0102866 0.970109 0.00256211 0.0130535 0.970914 0.00615007 0.0110144 10.375 10.625 1.56662e+06 49735 43843 29445
10.75 0.969321 0.00520581 0.00924212 0.970867 0.00165534 0.0121533 0.97275 0.00360751 0.00910294 10.625 10.875 968015 40571 32348 21560
11.00 0.957023 0.012195 0.00504524 0.954454 0.0133862 0.00520635 0.969158 0.0020979 0.014865 10.875 11.125 592231 32035 22804 14591
11.25 0.92908 0.0286112 0.0033161 0.935252 0.02302 0.00609469 0.948249 0.0150139 0.0100946 11.125 11.375 347235 23097 14765 9383
11.50 0.878273 0.0535086 -0.000524044 0.881119 0.0501885 0.00695783 0.901254 0.0318527 0.0102432 11.375 11.625 204241 13863 9881 5895
11.75 0.792852 0.0779251 -0.00668859 0.79416 0.0706975 -0.00246227 0.828492 0.0441418 0.0116483 11.625 11.875 118982 4447 6604 3753
12.00 0.774775 0.0473276 -0.000866234 0.647856 0.0879778 -0.0144086 0.689727 0.0531935 0.00320917 11.875 12.125 69281 476 4659 2367
12.25 0.702128 0.0325662 0.0119868 0.532197 0.0630327 -0.00793743 0.521306 0.0438722 8.77976e-05 12.125 12.375 40000 71 3038 1497
12.50 0.55 0.0409091 0.0672414 0.388889 0.0558316 0.00886378 0.407407 0.0374411 0.0181709 12.375 12.625 22526 24 1826 995
12.75 0 0 0 0.306084 0.0441988 0.0218918 0.316294 0.0317376 0.0191693 12.625 12.875 12721 4 626 703
13.00 0 0 0 0.226415 0.0322056 0.0540013 0.15493 0.0222266 0.0305056 12.875 13.125 7000 1 61 453
13.25 0 0 0 0.285714 0.142857 0 0.0863309 0.0118509 0.0138118 13.125 13.375 3650 2 7 294
13.50 0 0 0 0 0 0 0.0337079 0.0114899 0.011236 13.375 13.625 1855 0 0 183
13.75 0 0 0 0 0 0 0.0740741 0 0.0185185 13.625 13.875 908 0 0 56
14.00 0 0 0 0 0 0 0 0 0 13.875 14.125 379 0 0 3
14.25 0 0 0 0 0 0 0 0 0 14.125 14.375 152 0 0 1
14.50 0 0 0 0 0 0 0 0 0 14.375 14.625 32 0 0 0
14.75 0 0 0 0 0 0 0 0 0 14.625 14.875 8 0 0 0
15.00 0 0 0 0 0 0 0 0 0 14.875 15.125 2 0 0 0
15.25 0 0 0 0 0 0 0 0 0 15.125 15.375 0 0 0 0
15.50 0 0 0 0 0 0 0 0 0 15.375 15.625 0 0 0 0
15.75 0 0 0 0 0 0 0 0 0 15.625 15.875 0 0 0 0
