#Observed stellar masses in Msun
#MW Mass Range: 10^11.75 - 10^12.25 Msun.
#Group Mass Range: 10^12.75 - 10^13.25 Msun.
#Cluster Mass Range: 10^13.75 - 10^14.25 Msun.
#Quenched threshold: observed SSFR < 1e-11/yr
#Bestfit_X_Counts is the number of galaxies in the bin for the bestfit model.
#Log10(SM_Center) Median_FQ(Centrals) Err+ Err- Median_FQ(Sats) Err+ Err- Median_FQ(Sats_MW) Err+ Err- Median_FQ(Sats_Group) Err+ Err- Median_FQ(Sats_Cluster) Err+ Err- SM_Left_Edge SM_Right_Edge Bestfit_Galaxy_Counts Bestfit_Central_Galaxy_Counts Bestfit_Sat_Galaxy_Counts Bestfit_Sats_MW_Counts Bestfit_Sats_GR_Counts Bestfit_Sats_Cluster_Counts
7.3 0.00169663 0.00156248 0.000816952 0.00720418 0.00594316 0.00324627 0.00759057 0.00579103 0.00343107 0.00741768 0.00759008 0.00299163 0.00757805 0.00702563 0.00338293 7.2 7.4 601538 464333 137205 20197 17262 10773
7.5 0.00236182 0.00202589 0.00102329 0.0116473 0.00715977 0.00444938 0.0124538 0.00824704 0.00515023 0.0110969 0.00772356 0.00444333 0.0115028 0.00929278 0.00513336 7.4 7.6 498444 380147 118297 18521 15369 9925
7.7 0.00358311 0.0027534 0.00157402 0.0220116 0.0124414 0.0076577 0.0238821 0.0137482 0.00813258 0.0188374 0.010512 0.0073541 0.0239327 0.0134352 0.00859792 7.6 7.8 409358 309759 99599 16466 13465 8522
7.9 0.00522054 0.00366161 0.00217814 0.0372746 0.0172475 0.0111511 0.0373653 0.0168424 0.0104428 0.0355273 0.0159178 0.0112066 0.0395036 0.0183497 0.0120713 7.8 8 341829 250576 91253 15527 12417 8073
8.1 0.00777684 0.00475516 0.00292582 0.0472147 0.0188771 0.012848 0.0483789 0.0189639 0.0128617 0.0448878 0.0178635 0.0125374 0.0518635 0.0180084 0.0136494 8 8.2 290056 201485 88571 15642 11884 7825
8.3 0.011411 0.00631479 0.00393401 0.0623644 0.0193715 0.0153308 0.0642419 0.0189672 0.0151499 0.059948 0.0203234 0.0149274 0.0664073 0.0257983 0.0162966 8.2 8.4 242984 162076 80908 15235 11144 7023
8.5 0.017027 0.00716696 0.0056802 0.0808726 0.0208315 0.0159606 0.0822341 0.018285 0.0172017 0.0841598 0.0197095 0.0171728 0.0885229 0.0273512 0.0197107 8.4 8.6 196691 129264 67427 13393 9554 6111
8.7 0.0251431 0.00818441 0.00724041 0.106132 0.0204054 0.0184136 0.11156 0.0204723 0.0200554 0.107038 0.0214471 0.0174499 0.121457 0.0283968 0.0226409 8.6 8.8 157987 103836 54151 11715 8176 5077
8.9 0.0332933 0.00979567 0.00887322 0.134887 0.0209017 0.0195113 0.138712 0.0168678 0.022619 0.140201 0.021516 0.0186325 0.154 0.0304421 0.0229667 8.8 9 126673 83506 43167 10112 6763 4253
9.1 0.044157 0.0110631 0.0101065 0.169083 0.0181889 0.0221719 0.164013 0.0169028 0.0225159 0.169167 0.0178221 0.0222158 0.188268 0.029825 0.0253342 9 9.2 101356 67218 34138 8357 5628 3521
9.3 0.0594539 0.0118321 0.010472 0.206283 0.0212405 0.0206684 0.191228 0.0208934 0.0210583 0.205711 0.0204138 0.021754 0.231346 0.0280554 0.0241326 9.2 9.4 83655 55799 27856 6819 4891 3012
9.5 0.0769463 0.0134008 0.0119937 0.250135 0.0217083 0.0232104 0.208999 0.0226284 0.024651 0.26309 0.0239469 0.0298496 0.262295 0.0300421 0.0224128 9.4 9.6 70819 47680 23139 5389 4323 2740
9.7 0.104359 0.0165195 0.0142717 0.292484 0.0215102 0.0230932 0.232199 0.0230042 0.0227681 0.310353 0.0228362 0.0245694 0.314066 0.0201056 0.02354 9.6 9.8 62286 42283 20003 4033 3908 2378
9.9 0.1395 0.0154939 0.0163021 0.34763 0.0211587 0.0240843 0.248357 0.0221296 0.0255364 0.377298 0.0239458 0.0255406 0.373128 0.0229335 0.0261042 9.8 10 55758 38363 17395 2739 3709 2346
10.1 0.183915 0.0157491 0.0187302 0.407802 0.0196275 0.02239 0.270087 0.025627 0.0245845 0.432115 0.0227181 0.0238675 0.457887 0.0220938 0.0241806 10 10.2 51880 36071 15809 1716 3679 2098
10.3 0.242319 0.0165919 0.0199839 0.479669 0.0211646 0.0205424 0.314754 0.02885 0.0347977 0.511496 0.0233285 0.023441 0.527791 0.0207934 0.020395 10.2 10.4 48122 34152 13970 836 3596 2037
10.5 0.320344 0.0147298 0.0192384 0.558726 0.0215547 0.0163744 0.386308 0.0319114 0.0255654 0.570968 0.0198395 0.0201918 0.609893 0.0205419 0.0170137 10.4 10.6 42983 31049 11934 367 3374 1945
10.7 0.420081 0.0149019 0.0195851 0.64452 0.022903 0.0190539 0.528986 0.0461779 0.0480695 0.623401 0.0248365 0.021939 0.713383 0.0194978 0.020856 10.6 10.8 34132 25108 9024 131 2773 1656
10.9 0.526391 0.0162778 0.0186777 0.71986 0.0196055 0.0182633 0.65625 0.0407197 0.0501894 0.680093 0.0205705 0.0224971 0.779347 0.0160473 0.0206596 10.8 11 22198 16842 5356 33 1534 1166
11.1 0.656773 0.0165499 0.0160555 0.789926 0.0186222 0.0195966 0.785714 0.103175 0.0523809 0.700873 0.0208335 0.0258734 0.845902 0.01876 0.020945 11 11.2 11214 8795 2419 10 533 646
11.3 0.782952 0.0206302 0.0209197 0.861818 0.0249075 0.0219914 1 0 0 0.79562 0.0357049 0.0347509 0.91358 0.0284488 0.025134 11.2 11.4 3932 3325 607 1 102 207
11.5 0.89 0.0165534 0.0219681 0.944444 0.0128205 0.0170251 0 1 0 0.777778 0.111111 0.177778 0.97619 0.00529104 0.0170068 11.4 11.6 1057 946 111 0 8 47
11.7 0.956522 0.0123671 0.0115218 1 0 0.05 0 0 0 0 0.5 0 1 0 0 11.6 11.8 237 225 12 0 0 8
11.9 1 0 0.0454546 1 0 0 0 0 0 0 0 0 0 1 0 11.8 12 22 20 2 0 0 0
12.1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 12 12.2 2 2 0 0 0 0
12.3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 12.2 12.4 0 0 0 0 0 0
12.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 12.4 12.6 0 0 0 0 0 0
12.7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 12.6 12.8 0 0 0 0 0 0
12.9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 12.8 13 0 0 0 0 0 0
13.1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 13 13.2 0 0 0 0 0 0
