#Peak halo masses in Msun
#MW Mass Range: 10^11.75 - 10^12.25 Msun.
#Group Mass Range: 10^12.75 - 10^13.25 Msun.
#Cluster Mass Range: 10^13.75 - 10^14.25 Msun.
#Quenched threshold: true SSFR < 1e-11/yr
#Bestfit_X_Counts is the number of halos in the bin for the bestfit model.
#Log10(HM) FQ(Centrals) Err+ Err- FQ(Sats) Err+ Err- FQ(Sats_MW) Err+ Err- FQ(Sats_Group) Err+ Err- FQ(Sats_Cluster) Err+ Err- HM_Left_Edge HM_Right_Edge Bestfit_Halo_Counts  Bestfit_Cen_Halo_Counts Bestfit_Sat_Halo_Counts Bestfit_Sat_MW_Counts Bestfit_Sat_GR_Counts Bestfit_Sat_CL_Counts
8.00 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7.875 8.125 0 0 0 0 0 0
8.25 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8.125 8.375 0 0 0 0 0 0
8.50 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8.375 8.625 0 0 0 0 0 0
8.75 0 5.32481e-05 0 0 0 0 0 0 0 0 0 0 0 0 0 8.625 8.875 39927 37560 2367 113 392 454
9.00 3.6355e-05 5.45326e-05 3.6355e-05 0 0 0 0 0 0 0 0 0 0 0 0 8.875 9.125 61773 55013 6760 397 1174 1435
9.25 7.31763e-05 6.85957e-05 6.40306e-05 0.000148315 8.71791e-07 0.000148315 0 0 0 0 0 0 0.000151722 -4.60277e-08 0.000151722 9.125 9.375 252362 218650 33712 2312 5787 6591
9.50 0.000344909 0.000229078 0.00031622 0.000796766 0.000497993 0.000753765 0.000324202 0.0004632 0.000324202 0.000624025 0.000575495 0.000624025 0.00121986 0.000724769 0.00121986 9.375 9.625 763610 695836 67774 6169 9615 10657
9.75 0.00300064 0.00106953 0.00264418 0.00434998 0.00261785 0.00394386 0.0031879 0.00329063 0.00290874 0.00396805 0.00346969 0.00345616 0.00588865 0.0036215 0.00534501 9.625 9.875 1.91158e+06 1.73963e+06 171955 15998 19405 20548
10.00 0.00405364 0.00127351 0.00361962 0.0116142 0.00448691 0.0098724 0.010745 0.00519275 0.00905966 0.0117193 0.00562461 0.00971245 0.0165867 0.00444289 0.0140761 9.875 10.125 2.92555e+06 2.52242e+06 403126 41787 46334 45639
10.25 0.00627761 0.00128472 0.00544607 0.0246788 0.00754405 0.0187102 0.0226206 0.00984376 0.0168118 0.0262373 0.00946909 0.0187771 0.0341493 0.00639438 0.0261034 10.125 10.375 2.24643e+06 1.83684e+06 409582 45180 48633 46121
10.50 0.0113 0.00143095 0.00928629 0.0507682 0.0121195 0.0306543 0.0420184 0.0172137 0.0246164 0.0565149 0.0176056 0.0317295 0.0722093 0.00887658 0.0452756 10.375 10.625 1.4379e+06 1.11638e+06 321520 37317 39494 37419
10.75 0.020641 0.00180574 0.0154909 0.102574 0.0195709 0.04821 0.0872532 0.0339976 0.0366662 0.108 0.0239991 0.0486617 0.131739 0.0129602 0.0654259 10.625 10.875 897672 670364 227308 29019 29787 28063
11.00 0.0371627 0.0023887 0.0244224 0.173702 0.0286501 0.0603262 0.141886 0.0537163 0.0425619 0.177142 0.0307405 0.0582001 0.212292 0.0138416 0.0797527 10.875 11.125 555951 400132 155819 22941 20842 19737
11.25 0.0689651 0.00258594 0.0362193 0.264735 0.0283704 0.0609635 0.227802 0.0631895 0.0462272 0.260537 0.0339622 0.0534635 0.317788 0.0121421 0.0806369 11.125 11.375 335258 240397 94861 17265 13476 12694
11.50 0.126262 0.00123776 0.0469243 0.367636 0.0338595 0.0388743 0.305645 0.0609683 0.0332569 0.353714 0.0437569 0.0318811 0.431709 0.0098888 0.0557437 11.375 11.625 200394 145451 54943 10931 8832 7922
11.75 0.206286 0.000337958 0.0477479 0.493931 0.030421 0.0148925 0.41223 0.0514933 0.0130287 0.487405 0.0394102 0.00838017 0.534764 0.0133772 0.0288018 11.625 11.875 119506 87621 31885 3794 5796 5034
12.00 0.309989 0.00879413 0.0365465 0.611197 0.0416518 -0.00231338 0.535792 0.0819619 -0.0203987 0.605672 0.0575597 -0.0101151 0.638048 0.0274458 0.0120918 11.875 12.125 70470 51805 18665 461 4055 3238
12.25 0.431923 0.0384993 0.0265884 0.71842 0.0546259 -0.00560206 0.782609 0.0773913 -0.00843608 0.715339 0.0631737 -0.0102305 0.73261 0.0425953 0.00714678 12.125 12.375 41521 31119 10402 69 2712 2027
12.50 0.55831 0.0780238 0.0266621 0.8103 0.065967 -0.00714564 0.72 0.137143 -0.0541935 0.799296 0.0717687 -0.0105266 0.80079 0.0696799 -0.00385022 12.375 12.625 24338 18513 5825 25 1704 1265
12.75 0.667424 0.104555 0.0166379 0.876011 0.0490242 0.00141937 0.875 0.125 -0.0340909 0.853288 0.0657102 -0.000570416 0.88058 0.0396854 0.00388354 12.625 12.875 14338 10999 3339 8 593 896
13.00 0.770219 0.102165 0.00995249 0.925307 0.0432885 -0.00203675 0.833333 0.0238096 0.0333333 0.914286 0.0397373 0.0106713 0.920495 0.0426632 0.00186902 12.875 13.125 8100 6306 1794 6 70 566
13.25 0.834978 0.0962172 0.0024671 0.938232 0.0326315 -0.00237256 0 0 0 0.833333 0.0555556 0.0555555 0.94898 0.0292813 -0.00450873 13.125 13.375 4587 3648 939 0 6 392
