#Observed stellar masses in Msun
#MW Mass Range: 10^11.75 - 10^12.25 Msun.
#Group Mass Range: 10^12.75 - 10^13.25 Msun.
#Cluster Mass Range: 10^13.75 - 10^14.25 Msun.
#Quenched threshold: observed SSFR < 1e-11/yr
#Bestfit_X_Counts is the number of galaxies in the bin for the bestfit model.
#Log10(SM_Center) Median_FQ(Centrals) Err+ Err- Median_FQ(Sats) Err+ Err- Median_FQ(Sats_MW) Err+ Err- Median_FQ(Sats_Group) Err+ Err- Median_FQ(Sats_Cluster) Err+ Err- SM_Left_Edge SM_Right_Edge Bestfit_Galaxy_Counts Bestfit_Central_Galaxy_Counts Bestfit_Sat_Galaxy_Counts Bestfit_Sats_MW_Counts Bestfit_Sats_GR_Counts Bestfit_Sats_Cluster_Counts
7.3 0.00050851 0.000776333 0.000326039 0.000647808 0.00127954 0.000459911 0.000670862 0.00151086 0.000455862 0.000951814 0.00159807 0.000641897 0 0.00383142 0 7.2 7.4 609256 464961 144295 26099 8411 269
7.5 0.000454592 0.000646544 0.000255135 0.000622197 0.00198768 0.000415643 0.000698125 0.00220985 0.00046283 0.00075748 0.0020327 0.000556576 0 0 0 7.4 7.6 498937 364420 134517 26521 8350 282
7.7 0.000409451 0.00062752 0.000249747 0.000704739 0.00286166 0.000460966 0.00078416 0.00337312 0.000538701 0.000846899 0.00324215 0.000639967 0 0 0 7.6 7.8 403886 280204 123682 26273 8253 292
7.9 0.000324484 0.000918636 0.000199101 0.00085979 0.00497834 0.000642307 0.000994072 0.00534874 0.00072237 0.001002 0.00543346 0.000753957 0 0.00696864 0 7.8 8 319017 215288 103729 24348 7740 279
8.1 0.000395423 0.00147894 0.000253423 0.00158797 0.00754759 0.00126648 0.00195899 0.00912085 0.00151749 0.00208102 0.00887428 0.00169958 0.004329 0.0129124 0.004329 8 8.2 246935 165523 81412 21645 6706 223
8.3 0.000750727 0.00288802 0.000548063 0.00337919 0.0123966 0.0028967 0.00431078 0.0149568 0.00367192 0.00463106 0.0133813 0.00405135 0.00483092 0.0248721 0.00483092 8.2 8.4 189874 128549 61325 18236 5641 211
8.5 0.0015503 0.00431582 0.00120478 0.00703175 0.0183932 0.00564036 0.00869329 0.0210829 0.00657889 0.00732036 0.0200668 0.00579001 0.0111732 0.0240027 0.0111732 8.4 8.6 145163 99659 45504 15226 4712 187
8.7 0.00291061 0.00747382 0.002241 0.0131725 0.0245315 0.00995112 0.0137957 0.0251146 0.0100277 0.016786 0.0336263 0.0124834 0.0172414 0.0452586 0.0102969 8.6 8.8 111470 77472 33998 12741 3863 133
8.9 0.00570324 0.0109794 0.00413194 0.0237154 0.0344285 0.0157649 0.0228873 0.032013 0.0151543 0.029156 0.0404704 0.0181093 0.0165289 0.0414421 0.0165289 8.8 9 86492 61203 25289 9870 3345 121
9.1 0.0114487 0.0155049 0.00731899 0.0446837 0.0447701 0.0279339 0.0341661 0.0370203 0.0219118 0.052763 0.0514264 0.0312506 0.0786517 0.088015 0.0346956 9 9.2 65039 46988 18051 6959 2663 88
9.3 0.0202262 0.0203977 0.0113197 0.0708252 0.0501719 0.0384321 0.0456621 0.0388132 0.0271334 0.0938262 0.070166 0.0523992 0.123077 0.0912088 0.081981 9.2 9.4 49780 36363 13417 4863 2328 66
9.5 0.0350706 0.0266928 0.0170529 0.105703 0.0593302 0.0527759 0.0676716 0.0487692 0.0373899 0.128074 0.0711685 0.0580979 0.129032 0.0995392 0.0684262 9.4 9.6 37997 28325 9672 2868 2031 69
9.7 0.055322 0.0321228 0.0224231 0.161594 0.054424 0.0688687 0.0860024 0.0419926 0.0413228 0.201515 0.0727865 0.0795639 0.155556 0.0883469 0.0857881 9.6 9.8 29035 21827 7208 1635 1699 46
9.9 0.0902567 0.032241 0.024935 0.211442 0.053206 0.0703231 0.1 0.0377899 0.0388021 0.265763 0.0571968 0.0805273 0.204545 0.118984 0.104545 9.8 10 22427 17306 5121 761 1455 38
10.1 0.139314 0.0291616 0.032401 0.277835 0.0519863 0.0671729 0.12234 0.0383739 0.0317607 0.32781 0.0569175 0.0643991 0.407407 0.0925926 0.115741 10 10.2 17828 13984 3844 324 1244 39
10.3 0.188096 0.0347939 0.0295839 0.33252 0.0531099 0.0442741 0.154362 0.0638194 0.0458353 0.36872 0.0559013 0.0407054 0.571429 0.0674603 0.0714286 10.2 10.4 14526 11680 2846 127 1091 44
10.5 0.26101 0.0305713 0.0324615 0.397066 0.0427115 0.0441969 0.24 0.0516667 0.0733333 0.436063 0.0514114 0.0479544 0.542857 0.0571429 0.0741072 10.4 10.6 11741 9604 2137 51 931 31
10.7 0.32031 0.0297347 0.0284865 0.455137 0.0416733 0.0380252 0.285714 0.0672269 0.068323 0.481375 0.0494303 0.0375884 0.65625 0.110417 0.0700431 10.6 10.8 8914 7470 1444 28 685 35
10.9 0.38817 0.0241197 0.0252264 0.491944 0.0325239 0.0339289 0.25 0.15 0.25 0.486792 0.0355377 0.0307924 0.73913 0.102975 0.0869565 10.8 11 6090 5152 938 6 504 22
11.1 0.43662 0.0282778 0.0250277 0.563715 0.04084 0.0397915 0.333333 0.166667 0.0833333 0.516484 0.0435165 0.0523951 0.823529 0.0514706 0.0616246 11 11.2 3139 2702 437 3 222 16
11.3 0.470536 0.0318798 0.0312538 0.572464 0.0356444 0.039569 0 0 0 0.505747 0.0359195 0.039838 1 0 0.166667 11.2 11.4 1211 1067 144 0 70 7
11.5 0.50774 0.0435797 0.0375645 0.64 0.07875 0.06 0 0 0 0.666667 0.0641025 0.0784314 0.666667 0.333333 0.333333 11.4 11.6 339 301 38 0 18 2
11.7 0.487179 0.0728205 0.0829242 0.833333 0.0416667 0.106061 0 0 0 1 0 0.25 0 1 0 11.6 11.8 62 56 6 0 3 1
11.9 0.5 0.166667 0.166667 0 0.5 0 0 0 0 0 1 0 0 0 0 11.8 12 7 6 1 0 0 0
12.1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 12 12.2 0 0 0 0 0 0
12.3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 12.2 12.4 0 0 0 0 0 0
12.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 12.4 12.6 0 0 0 0 0 0
12.7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 12.6 12.8 0 0 0 0 0 0
12.9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 12.8 13 0 0 0 0 0 0
13.1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 13 13.2 0 0 0 0 0 0
