#Observed stellar masses in Msun
#Fractions of satellites that were quenched due to infall (f_q,sat - f_q,cen)
#MW Mass Range: 10^11.75 - 10^12.25 Msun.
#Group Mass Range: 10^12.75 - 10^13.25 Msun.
#Cluster Mass Range: 10^13.75 - 10^14.25 Msun.
#Quenched threshold: observed SSFR < 1e-11/yr
#Bestfit_X_Counts is the number of galaxies in the bin for the bestfit model.
#Log10(SM_Center) Median_FQ_infall(Sats) Err+ Err- Median_FQ_infall(Sats_MW) Err+ Err- Median_FQ_infall(Sats_Group) Err+ Err- Median_FQ_infall(Sats_Cluster) Err+ Err- SM_Left_Edge SM_Right_Edge Bestfit_Galaxy_Counts Bestfit_Satellite_Counts Bestfit_Sats_MW_Counts Bestfit_Sats_GR_Counts Bestfit_Sats_Cluster_Counts
7.3 0.0045274 0.00417454 0.00210851 0.00508228 0.00454121 0.00231864 0.00469954 0.00476775 0.00236609 0.00658079 0.00649292 0.00340464 7.2 7.4 595798 137283 21181 17227 9965
7.5 0.0086705 0.00641577 0.00355808 0.00894581 0.00670188 0.00388886 0.00790499 0.00687344 0.00373481 0.00892855 0.0080448 0.00318051 7.4 7.6 486047 115635 18903 15101 8566
7.7 0.0176347 0.00953823 0.00698588 0.0177953 0.0100569 0.00722461 0.0166487 0.00933131 0.00683007 0.0176579 0.0118984 0.00683097 7.6 7.8 400648 99488 17189 13423 7663
7.9 0.0273809 0.0117613 0.00988581 0.0287391 0.0126334 0.0105043 0.02741 0.0116334 0.0104078 0.0310362 0.0178712 0.0110883 7.8 8 335031 93148 16621 12439 7330
8.1 0.0341425 0.0131001 0.0110025 0.034661 0.0137833 0.0108621 0.0312548 0.0129988 0.0103455 0.0408665 0.017351 0.0136995 8 8.2 284722 90361 16884 12108 7232
8.3 0.0453387 0.0150296 0.012246 0.0493133 0.0151155 0.0139259 0.0434246 0.0170504 0.0117732 0.0530823 0.0188024 0.0172651 8.2 8.4 236042 79879 15814 10732 6506
8.5 0.0578725 0.0173478 0.0139633 0.062934 0.0180131 0.0158812 0.0657201 0.0188039 0.0167358 0.0620184 0.0219997 0.0124827 8.4 8.6 191162 65864 14038 9450 5322
8.7 0.0756155 0.0181344 0.0181268 0.0818252 0.0193121 0.0197876 0.0768963 0.0180282 0.0152589 0.0894448 0.0270109 0.0193852 8.6 8.8 152158 52154 11965 7763 4548
8.9 0.0985058 0.0172169 0.0175544 0.0978939 0.0158405 0.0197144 0.102053 0.0157151 0.0197158 0.111527 0.0247674 0.0164051 8.8 9 121957 41503 10272 6602 3800
9.1 0.116272 0.0198475 0.0190886 0.103815 0.0188626 0.0181291 0.119312 0.0223371 0.0206172 0.132849 0.0210139 0.0172981 9 9.2 97740 32811 8442 5598 3210
9.3 0.140509 0.0246149 0.0226174 0.125135 0.0232494 0.0249557 0.153655 0.0235305 0.026172 0.164809 0.0256209 0.0219849 9.2 9.4 80446 26653 6817 4773 2717
9.5 0.165411 0.0231678 0.0272569 0.125103 0.0229278 0.023609 0.179244 0.0229255 0.0289226 0.191535 0.0250232 0.0292649 9.4 9.6 67394 22079 5320 4159 2425
9.7 0.186928 0.0266726 0.0285414 0.119446 0.026118 0.0286714 0.212691 0.0299357 0.0295804 0.224921 0.0238262 0.0306066 9.6 9.8 58942 18565 3885 3724 2116
9.9 0.196359 0.029235 0.028561 0.0980788 0.0348948 0.0330479 0.220578 0.033024 0.0320223 0.237989 0.0281473 0.0262485 9.8 10 53230 16532 2622 3609 2033
10.1 0.214986 0.0317263 0.0296588 0.088717 0.0349434 0.0340258 0.253429 0.0328591 0.0284268 0.254337 0.0301077 0.0332602 10 10.2 49422 14816 1616 3596 1942
10.3 0.236895 0.0293275 0.0350512 0.0746772 0.027759 0.032149 0.272533 0.0306229 0.0315591 0.288452 0.0303942 0.030746 10.2 10.4 46147 13412 828 3670 1858
10.5 0.224489 0.0272067 0.0304787 0.00595382 0.0420391 0.0448242 0.237592 0.0313628 0.0311255 0.305727 0.0214457 0.0291423 10.4 10.6 41759 11206 331 3306 1761
10.7 0.21444 0.0222176 0.0242365 0.0561179 0.0556106 0.0539861 0.213247 0.02651 0.0260627 0.281157 0.0178789 0.0255597 10.6 10.8 32941 8436 127 2683 1461
10.9 0.19211 0.0198509 0.0218789 -0.0424742 0.070431 0.0577759 0.171767 0.0196416 0.0259523 0.256418 0.0207066 0.028416 10.8 11 21722 5291 43 1596 1066
11.1 0.141211 0.0178987 0.018169 0.136993 0.106713 0.0854014 0.0634421 0.0220429 0.0263725 0.218456 0.0136008 0.0174533 11 11.2 10671 2210 7 536 595
11.3 0.0583982 0.0169498 0.0198296 -0.210122 0.183484 0.146827 -0.101548 0.0329117 0.0360765 0.137873 0.0148835 0.015919 11.2 11.4 3671 633 3 114 216
11.5 0.0154809 0.0188573 0.0222638 0.0996398 0.0311778 0.980828 -0.203187 0.114682 0.127024 0.0546325 0.0245039 0.0265529 11.4 11.6 1004 95 0 12 43
11.7 0.0698925 0.0268818 0.0896727 -0.921053 0.0242785 0.0181366 -0.917808 0.0345966 0.0189734 0.0782123 0.0239775 0.0219623 11.6 11.8 163 10 0 0 4
11.9 -0.9375 0.9775 0.0240384 -0.956522 0.0231884 0.0131752 -0.956522 0.0231884 0.0131752 -0.954545 0.025974 0.0151516 11.8 12 14 0 0 0 0
12.1 -1 1 0 -1 1 0 -1 1 0 -1 1 0 12 12.2 2 0 0 0 0
12.3 0 0 0 0 0 0 0 0 0 0 0 0 12.2 12.4 0 0 0 0 0
12.5 0 0 0 0 0 0 0 0 0 0 0 0 12.4 12.6 0 0 0 0 0
12.7 0 0 0 0 0 0 0 0 0 0 0 0 12.6 12.8 0 0 0 0 0
12.9 0 0 0 0 0 0 0 0 0 0 0 0 12.8 13 0 0 0 0 0
13.1 0 0 0 0 0 0 0 0 0 0 0 0 13 13.2 0 0 0 0 0
