#Peak halo masses in Msun
#Fractions of satellites that were quenched due to infall (f_q,sat - f_q,cen)
#MW Mass Range: 10^11.75 - 10^12.25 Msun.
#Group Mass Range: 10^12.75 - 10^13.25 Msun.
#Cluster Mass Range: 10^13.75 - 10^14.25 Msun.
#Quenched threshold: true SSFR < 1e-11/yr
#Bestfit_X_Counts is the number of galaxies in the bin for the bestfit model.
#Log10(HM_Center) FQ_infall(Sats) Err+ Err- FQ_infall(Sats_MW) Err+ Err- FQ_infall(Sats_Group) Err+ Err- FQ_infall(Sats_Cluster) Err+ Err- HM_Left_Edge HM_Right_Edge Bestfit_Halo_Counts Bestfit_Satellite_Counts Bestfit_Sats_MW_Counts Bestfit_Sats_GR_Counts Bestfit_Sats_Cluster_Counts
8 0 0 0 0 0 0 0 0 0 0 0 0 7.875 8.125 0 0 0 0 0
8.25 0 0 0 0 0 0 0 0 0 0 0 0 8.125 8.375 0 0 0 0 0
8.5 0 0 0 0 0 0 0 0 0 0 0 0 8.375 8.625 0 0 0 0 0
8.75 0 0 0 0 0 0 0 0 0 0 0 0 8.625 8.875 178278 2295 90 19 0
9 0 0 3.49675e-06 0 0 3.49675e-06 0 0 3.49675e-06 0 0 3.49676e-06 8.875 9.125 289330 3352 342 83 0
9.25 -9.89084e-07 7.53211e-05 2.96674e-06 -9.89084e-07 9.89084e-07 6.92346e-06 -9.89084e-07 9.89084e-07 6.92307e-06 -9.89084e-07 9.89084e-07 1.08785e-05 9.125 9.375 1.03532e+06 24279 3748 963 0
9.5 1.24504e-05 0.000118568 7.71402e-06 6.17847e-05 0.000271489 3.14016e-05 -7.07632e-06 0.000569103 7.01858e-07 -7.07632e-06 2.48078e-06 8.20337e-05 9.375 9.625 3.03117e+06 204847 29044 6167 0
9.75 3.23125e-05 0.000249258 6.71916e-07 6.73427e-05 0.000533452 1.251e-05 0.00015518 0.000272066 1.23103e-05 -2.96803e-05 6.01416e-06 0.000235553 9.625 9.875 4.81268e+06 500058 61841 10819 0
10 -2.23866e-06 0.000138955 7.22464e-06 9.09386e-06 0.000447092 4.28983e-06 7.14219e-05 0.000284586 3.9512e-05 -2.142e-05 -5.82475e-07 0.000189429 9.875 10.125 3.74263e+06 521340 65544 10771 0
10.25 1.07495e-05 0.000123683 1.07254e-05 1.3208e-05 0.000171503 1.86159e-05 -3.19759e-06 0.000652894 1.22416e-05 -3.19759e-06 5.38643e-07 4.72804e-05 10.125 10.375 2.30661e+06 430197 60955 10120 0
