#Peak halo masses in Msun
#Fractions of satellites that were quenched due to infall (f_q,sat - f_q,cen)
#MW Mass Range: 10^11.75 - 10^12.25 Msun.
#Group Mass Range: 10^12.75 - 10^13.25 Msun.
#Cluster Mass Range: 10^13.75 - 10^14.25 Msun.
#Quenched threshold: true SSFR < 1e-11/yr
#Bestfit_X_Counts is the number of galaxies in the bin for the bestfit model.
#Log10(HM_Center) FQ_infall(Sats) Err+ Err- FQ_infall(Sats_MW) Err+ Err- FQ_infall(Sats_Group) Err+ Err- FQ_infall(Sats_Cluster) Err+ Err- HM_Left_Edge HM_Right_Edge Bestfit_Halo_Counts Bestfit_Satellite_Counts Bestfit_Sats_MW_Counts Bestfit_Sats_GR_Counts Bestfit_Sats_Cluster_Counts
8 0 0 0 0 0 0 0 0 0 0 0 0 7.875 8.125 0 0 0 0 0
8.25 0 0 0 0 0 0 0 0 0 0 0 0 8.125 8.375 0 0 0 0 0
8.5 0 0 0 0 0 0 0 0 0 0 0 0 8.375 8.625 0 0 0 0 0
8.75 0 0 0 0 0 0 0 0 0 0 0 0 8.625 8.875 153244 2034 131 41 0
9 0 0 8.09055e-06 0 0 4.04529e-06 0 0 8.09055e-06 0 0 8.09055e-06 8.875 9.125 250698 3497 496 170 0
9.25 0 6.82494e-05 2.21708e-06 0 0.00020403 3.32564e-06 0 0.000557148 7.75962e-06 0 0 1.88448e-05 9.125 9.375 928716 26677 4785 1751 0
9.5 3.3272e-05 0.000339405 1.08191e-05 7.1583e-05 0.000420793 1.68472e-05 -1.88575e-05 0.000529204 -1.27037e-05 -1.88575e-05 3.06914e-06 0.0001869 9.375 9.625 2.80945e+06 211013 33171 10162 0
9.75 3.84044e-05 0.000570085 -1.25979e-06 0.000192058 0.00136672 2.9632e-05 0.000221927 0.00149472 3.59285e-05 -6.27299e-05 5.97629e-06 0.00056101 9.625 9.875 4.7804e+06 524056 70647 17565 0
10 -3.38132e-06 0.000366633 -5.17681e-06 1.30108e-05 0.000884292 -2.03793e-05 -5.44856e-05 0.000733158 -1.51828e-05 -5.44856e-05 3.86385e-06 0.000495172 9.875 10.125 3.86988e+06 547899 74078 17280 0
10.25 1.90021e-05 0.000222627 2.11165e-05 1.78571e-05 0.000403336 2.22793e-05 -1.15923e-05 0.000507449 3.61678e-05 -1.15923e-05 1.03428e-06 0.0001339 10.125 10.375 2.44167e+06 457600 67913 15604 0
