#Peak halo masses in Msun
#MW Mass Range: 10^11.75 - 10^12.25 Msun.
#Group Mass Range: 10^12.75 - 10^13.25 Msun.
#Cluster Mass Range: 10^13.75 - 10^14.25 Msun.
#Quenched threshold: true SSFR < 1e-11/yr
#Bestfit_X_Counts is the number of halos in the bin for the bestfit model.
#Log10(HM) FQ(Centrals) Err+ Err- FQ(Sats) Err+ Err- FQ(Sats_MW) Err+ Err- FQ(Sats_Group) Err+ Err- FQ(Sats_Cluster) Err+ Err- HM_Left_Edge HM_Right_Edge Bestfit_Halo_Counts  Bestfit_Cen_Halo_Counts Bestfit_Sat_Halo_Counts Bestfit_Sat_MW_Counts Bestfit_Sat_GR_Counts Bestfit_Sat_CL_Counts
8.00 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7.875 8.125 0 0 0 0 0 0
8.25 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8.125 8.375 0 0 0 0 0 0
8.50 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8.375 8.625 0 0 0 0 0 0
8.75 0 8.58664e-06 0 0 0 0 0 0 0 0 0 0 0 0 0 8.625 8.875 118257 116460 1797 156 83 2
9.00 5.12663e-06 1.02532e-05 2.63753e-11 0 0.000255624 0 0 0 0 0 0 0 0 0 0 8.875 9.125 198969 195060 3909 662 355 7
9.25 5.35711e-06 2.5444e-05 2.93767e-10 0 6.53147e-05 0 0 0 0 0 0.000315159 0 0 0 0 9.125 9.375 777225 746671 30554 5861 3166 78
9.50 4.16623e-05 0.000420812 6.18018e-06 8.92685e-05 0.00121908 5.64133e-06 0.000140758 0.00127617 2.98747e-05 6.2637e-05 0.00189839 -6.09647e-05 0 0.00813008 0 9.375 9.625 2.49308e+06 2.28024e+06 212841 35522 15965 368
9.75 0.000158251 0.00145242 8.47598e-06 0.000268967 0.00305781 6.24338e-06 0.000315217 0.00459856 0 0.000496983 0.00491729 2.11967e-05 0.00152439 0.00305576 2.28886e-05 9.625 9.875 4.60488e+06 4.06949e+06 535381 76138 28170 656
10.00 0.00012478 0.00111394 1.23362e-06 0.000171673 0.00204049 -2.8435e-06 0.000284397 0.00274541 1.15887e-05 0.000251157 0.00352908 1.58867e-05 0 0.00145985 0 9.875 10.125 3.98487e+06 3.41402e+06 570852 80873 27871 687
10.25 2.96e-05 0.000367926 0 7.85161e-05 0.000893732 2.30041e-05 0.000108143 0.0011918 3.28448e-05 4.10155e-05 0.00119508 -3.78986e-05 0 0.00152439 0 10.125 10.375 2.57857e+06 2.09459e+06 483977 73976 24381 630
10.50 1.842e-05 8.15832e-05 1.34049e-05 0.000378362 0.00125056 0.000357036 0.000514214 0.00153992 0.00050237 0.000627746 0.00241278 0.000627746 0.00168067 0.00161966 0.00168067 10.375 10.625 1.58816e+06 1.19436e+06 393803 68065 20709 595
10.75 0.000101981 0.000177459 0.000101981 0.00185853 0.00358623 0.00181625 0.00252044 0.00438747 0.00246867 0.00307608 0.00730726 0.00284396 0.00232558 0.00485145 0.00232558 10.625 10.875 933370 686401 246969 51975 14629 430
11.00 0.000642825 0.000690523 0.000640244 0.00758683 0.0103051 0.00709964 0.00758788 0.0120212 0.00707956 0.0150675 0.0145293 0.0136027 0.0258303 0.0179654 0.022246 10.875 11.125 512570 387353 125217 36242 9557 271
11.25 0.00360614 0.00235615 0.00351368 0.0275369 0.0234957 0.0232325 0.0232607 0.025196 0.0207602 0.0395611 0.0291507 0.0293737 0.0517241 0.0344828 0.0517241 11.125 11.375 277198 216298 60900 23645 6471 174
11.50 0.014705 0.00697123 0.0136579 0.0816284 0.0435628 0.0564893 0.0570797 0.0343052 0.0426462 0.121899 0.0517077 0.0791489 0.188679 0.0283019 0.132075 11.375 11.625 148892 120299 28593 12211 4233 106
11.75 0.0527532 0.012645 0.0425696 0.187786 0.0551479 0.0964545 0.11758 0.0387749 0.067852 0.237817 0.0588965 0.111823 0.296296 0.0244584 0.08577 11.625 11.875 78448 64906 13542 3521 2914 54
12.00 0.14341 0.0110429 0.0837707 0.343352 0.0474816 0.107258 0.225714 0.0387485 0.10139 0.40201 0.0557131 0.114745 0.347826 0.0652174 0.0811594 11.875 12.125 39905 33617 6288 350 1990 46
12.25 0.297648 0.00424451 0.0972116 0.519876 0.0531148 0.072849 0.666667 0.025641 0.0238096 0.549161 0.0657556 0.0598834 0.685714 0.0718614 0.0796537 12.125 12.375 19554 16963 2591 12 1251 35
12.50 0.506581 0.030139 0.0889408 0.689084 0.0429916 0.0408144 0 0 0 0.678462 0.0394872 0.0453255 0.833333 0.0555556 0 12.375 12.625 9155 8129 1026 0 650 18
12.75 0.714641 0.0732045 0.0718232 0.838323 0.0601841 0.0436805 0 0 0 0.8 0.0647058 0.05 0.947368 0 0 12.625 12.875 3954 3620 334 0 170 19
13.00 0.846467 0.076087 0.046875 0.932203 0.0169491 0.0169492 0 1 0 0.961538 0 0.0384615 1 0 0.1 12.875 13.125 1590 1472 118 1 26 10
13.25 0.901701 0.0434783 0.0226843 0.956522 0 0 0 0 0 0 0 0 1 0 0 13.125 13.375 552 529 23 0 0 7
13.50 0.980645 0.00645161 0.0129033 1 0 0 0 0 0 0 0 0 1 0 0 13.375 13.625 164 155 9 0 0 4
13.75 0.970588 0 0 0 0 0 0 0 0 0 0 0 0 0 0 13.625 13.875 34 34 0 0 0 0
