#Observed stellar masses in Msun
#Fractions of satellites that were quenched due to infall (f_q,sat - f_q,cen)
#MW Mass Range: 10^11.75 - 10^12.25 Msun.
#Group Mass Range: 10^12.75 - 10^13.25 Msun.
#Cluster Mass Range: 10^13.75 - 10^14.25 Msun.
#Quenched threshold: observed SSFR < 1e-11/yr
#Bestfit_X_Counts is the number of galaxies in the bin for the bestfit model.
#Log10(SM_Center) Median_FQ_infall(Sats) Err+ Err- Median_FQ_infall(Sats_MW) Err+ Err- Median_FQ_infall(Sats_Group) Err+ Err- Median_FQ_infall(Sats_Cluster) Err+ Err- SM_Left_Edge SM_Right_Edge Bestfit_Galaxy_Counts Bestfit_Satellite_Counts Bestfit_Sats_MW_Counts Bestfit_Sats_GR_Counts Bestfit_Sats_Cluster_Counts
7.3 -1.39532e-05 0.000350002 9.53488e-05 0.000127302 0.000500968 0.000113634 5.92135e-05 0.000770264 0.000246014 -0.000306131 0.000211203 0.000452729 7.2 7.4 627346 142329 23065 4015 0
7.5 -4.50061e-05 0.000541963 0.00012712 6.10204e-05 0.000475196 0.000137368 0.000220304 0.00128412 0.000323103 -0.000349973 0.000224498 0.000630991 7.4 7.6 507011 130732 23529 4191 0
7.7 -5.36823e-05 0.00100107 0.000134073 1.04773e-05 0.00109902 0.000128583 0.000113696 0.00168247 0.000271059 -0.00032063 0.000182178 0.000671958 7.6 7.8 400568 114032 23031 4011 0
7.9 3.45672e-06 0.00181547 0.000118369 9.42915e-05 0.002423 0.000207183 0.000330857 0.00275098 0.00042348 -0.000288002 0.000176223 0.000797433 7.8 8 309070 92629 21126 3603 0
8.1 0.000119271 0.00309417 0.000160336 0.000174509 0.00390378 0.000229662 0.000201271 0.00429546 0.000292471 -0.000226313 0.000139667 0.000653849 8 8.2 232554 69939 18331 3343 0
8.3 0.000199221 0.00472321 0.000208973 0.000328862 0.00567165 0.000351969 0.000650977 0.00837098 0.00074584 -0.000237639 0.000151017 0.001373 8.2 8.4 174368 51342 15735 2761 0
8.5 0.000891945 0.00881056 0.000852164 0.00109869 0.00995138 0.00112231 0.00140995 0.0106638 0.00147687 -0.000250671 0.000170329 0.00241326 8.4 8.6 128833 36602 12885 2339 0
8.7 0.00225978 0.011344 0.00206505 0.0025697 0.0128721 0.00249576 0.00311777 0.0223775 0.00279007 -0.000659277 0.000589156 0.00563702 8.6 8.8 95640 26064 10323 1887 0
8.9 0.00491511 0.0194208 0.00467072 0.00432225 0.0187664 0.00410591 0.0067365 0.0333557 0.00675805 -0.00140901 0.00128321 0.00880061 8.8 9 70580 18201 7833 1606 0
9.1 0.0106435 0.0285119 0.0100717 0.00749619 0.0213345 0.00723407 0.0124817 0.0436706 0.0120439 -0.00332382 0.0029741 0.0137078 9 9.2 52295 13001 5817 1267 0
9.3 0.0181504 0.0368814 0.0162612 0.0094566 0.0257122 0.00925918 0.0296794 0.0588297 0.0253146 -0.00794815 0.00698193 0.0232768 9.2 9.4 38363 8852 3777 1120 0
9.5 0.0239907 0.0403332 0.0199651 0.00313622 0.0180861 0.00492892 0.048752 0.0659514 0.0373927 -0.0159746 0.0129292 0.0287619 9.4 9.6 27950 6124 2281 936 0
9.7 0.0487725 0.046912 0.0374498 0.00488751 0.0232606 0.00761564 0.0952784 0.0530923 0.0645545 -0.0275394 0.020521 0.0409259 9.6 9.8 20383 3990 1166 772 0
9.9 0.0594072 0.052646 0.046332 -0.0121794 0.0151888 0.0176556 0.106961 0.0756148 0.076862 -0.055998 0.0363971 0.0496855 9.8 10 14889 2740 569 654 0
10.1 0.0692662 0.0429026 0.0473066 -0.0281074 0.0199839 0.0274834 0.110385 0.0469199 0.0526102 -0.0903787 0.0459578 0.0627335 10 10.2 10833 1864 220 555 0
10.3 0.08742 0.0510726 0.0585508 -0.0427129 0.0366676 0.0356822 0.154855 0.0665735 0.0670633 -0.136695 0.0570494 0.0621972 10.2 10.4 7959 1335 105 441 0
10.5 0.1071 0.0472328 0.0556013 -0.0554824 0.0667053 0.0652883 0.184348 0.0526176 0.0604737 -0.190201 0.0532711 0.0561464 10.4 10.6 5636 790 27 319 0
