#Peak halo masses in Msun
#Fractions of satellites that were quenched due to infall (f_q,sat - f_q,cen)
#MW Mass Range: 10^11.75 - 10^12.25 Msun.
#Group Mass Range: 10^12.75 - 10^13.25 Msun.
#Cluster Mass Range: 10^13.75 - 10^14.25 Msun.
#Quenched threshold: true SSFR < 1e-11/yr
#Bestfit_X_Counts is the number of galaxies in the bin for the bestfit model.
#Log10(HM_Center) FQ_infall(Sats) Err+ Err- FQ_infall(Sats_MW) Err+ Err- FQ_infall(Sats_Group) Err+ Err- FQ_infall(Sats_Cluster) Err+ Err- HM_Left_Edge HM_Right_Edge Bestfit_Halo_Counts Bestfit_Satellite_Counts Bestfit_Sats_MW_Counts Bestfit_Sats_GR_Counts Bestfit_Sats_Cluster_Counts
8 0 0 0 0 0 0 0 0 0 0 0 0 7.875 8.125 0 0 0 0 0
8.25 0 0 0 0 0 0 0 0 0 0 0 0 8.125 8.375 0 0 0 0 0
8.5 0 0 0 0 0 0 0 0 0 0 0 0 8.375 8.625 0 0 0 0 0
8.75 0 0 0 0 0 0 0 0 0 0 0 0 8.625 8.875 277598 3771 6 0 0
9 0 0 0 0 0 0 0 0 0 0 0 0 8.875 9.125 444736 4568 59 3 0
9.25 0 0 0 0 0 0 0 0 0 0 0 7.39543e-07 9.125 9.375 1.37013e+06 18129 759 19 0
9.5 7.74884e-06 2.88254e-07 8.07611e-06 -3.27395e-07 3.27395e-07 -4.38547e-11 -3.27395e-07 3.27395e-07 -1.5774e-11 -3.27395e-07 3.27395e-07 6.53998e-07 9.375 9.625 3.17824e+06 123820 6676 111 0
9.75 -2.98485e-07 9.5087e-06 2.97841e-07 -2.98485e-07 6.78107e-05 2.97925e-07 -2.98485e-07 3.82187e-10 5.95812e-07 -2.98485e-07 3.0991e-10 2.38494e-06 9.625 9.875 3.61911e+06 268857 14182 225 0
10 3.70174e-06 6.72618e-06 3.70174e-06 0 5.0274e-05 4.44432e-07 0.00344828 2.35012e-05 0.00344828 0 0 2.66782e-06 9.875 10.125 2.51701e+06 270143 16334 290 0
10.25 0 7.66389e-05 0 0 4.97562e-05 0 0 0 0 0 0 2.55912e-06 10.125 10.375 1.39856e+06 227193 17018 321 0
10.5 0 0.000275588 0 0 0.000741459 0 0 0 0 0 0 3.41769e-06 10.375 10.625 712157 127137 12355 200 0
10.75 1.92504e-05 0.00112661 1.92504e-05 0.000117412 0.0025708 0.000117412 0 0.00621081 0 0 0 2.04766e-05 10.625 10.875 344937 51947 8517 148 0
11 0.000330907 0.00264752 0.000330907 0.000725953 0.00385966 0.000725953 0 0 0 0 0 0.000149712 10.875 11.125 161420 21154 5510 84 0
11.25 0.000881113 0.00742912 0.000881113 0.000162257 0.0103273 0.000162257 0.0211329 0.0171406 0.0211329 -0.00014374 0.00014374 0.00105408 11.125 11.375 70419 7806 3268 47 0
11.5 0.00455004 0.020968 0.00455004 0.00524031 0.0186698 0.00524031 -0.00129563 0.0411051 -0.00129563 -0.00129563 0.00129563 0.00434418 11.375 11.625 28808 2566 1683 48 0
11.75 0.0179531 0.0359583 0.0179531 0.00870894 0.0209389 0.00870894 0.0770208 0.0909272 0.0770208 -0.00631252 0.00631252 0.0149558 11.625 11.875 11080 783 466 36 0
12 0.0519083 0.0483669 0.0519083 0.0323226 0.0034362 0.0326035 0.0330836 0.0465044 0.0330836 -0.0224719 0.0224719 0.0365169 11.875 12.125 3802 242 73 18 0
12.25 0.0148643 0.0429462 0.0148643 -0.0803738 0.0803738 0.0560748 0.0862928 0.0112149 0.103115 -0.0803738 0.0803738 0.0626168 12.125 12.375 1112 42 3 6 0
12.5 0.170992 0.0534351 0.170992 -0.229008 0.229008 0.10687 0.104326 0.130195 0.104326 -0.229008 0.229008 0.10687 12.375 12.625 277 15 0 9 0
12.75 -0.440678 0.423729 0.254237 -0.440678 0.423729 0.254237 -0.440678 0.423729 0.254237 -0.440678 0.423729 0.254237 12.625 12.875 59 0 0 0 0
13 -0.4 0.2 0.4 -0.4 0.2 0.4 -0.4 0.2 0.4 -0.4 0.2 0.4 12.875 13.125 5 0 0 0 0
13.25 -1 0 0 -1 0 0 -1 0 0 -1 0 0 13.125 13.375 1 0 0 0 0
13.5 0 0 0 0 0 0 0 0 0 0 0 0 13.375 13.625 0 0 0 0 0
13.75 0 0 0 0 0 0 0 0 0 0 0 0 13.625 13.875 0 0 0 0 0
14 0 0 0 0 0 0 0 0 0 0 0 0 13.875 14.125 0 0 0 0 0
14.25 0 0 0 0 0 0 0 0 0 0 0 0 14.125 14.375 0 0 0 0 0
14.5 0 0 0 0 0 0 0 0 0 0 0 0 14.375 14.625 0 0 0 0 0
14.75 0 0 0 0 0 0 0 0 0 0 0 0 14.625 14.875 0 0 0 0 0
15 0 0 0 0 0 0 0 0 0 0 0 0 14.875 15.125 0 0 0 0 0
15.25 0 0 0 0 0 0 0 0 0 0 0 0 15.125 15.375 0 0 0 0 0
15.5 0 0 0 0 0 0 0 0 0 0 0 0 15.375 15.625 0 0 0 0 0
15.75 0 0 0 0 0 0 0 0 0 0 0 0 15.625 15.875 0 0 0 0 0
