#Peak halo masses in Msun
#MW Mass Range: 10^11.75 - 10^12.25 Msun.
#Group Mass Range: 10^12.75 - 10^13.25 Msun.
#Cluster Mass Range: 10^13.75 - 10^14.25 Msun.
#Quenched threshold: true SSFR < 1e-11/yr
#Bestfit_X_Counts is the number of halos in the bin for the bestfit model.
#Log10(HM) FQ(Centrals) Err+ Err- FQ(Sats) Err+ Err- FQ(Sats_MW) Err+ Err- FQ(Sats_Group) Err+ Err- FQ(Sats_Cluster) Err+ Err- HM_Left_Edge HM_Right_Edge Bestfit_Halo_Counts  Bestfit_Cen_Halo_Counts Bestfit_Sat_Halo_Counts Bestfit_Sat_MW_Counts Bestfit_Sat_GR_Counts Bestfit_Sat_CL_Counts
8.00 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7.875 8.125 0 0 0 0 0 0
8.25 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8.125 8.375 0 0 0 0 0 0
8.50 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8.375 8.625 0 0 0 0 0 0
8.75 8.10045e-05 0 8.10045e-05 0 0 0 0 0 0 0 0 0 0 0 0 8.625 8.875 26575 24690 1885 144 359 312
9.00 2.39103e-05 2.39103e-05 0 0 0 0 0 0 0 0 0 0 0 0 0 8.875 9.125 47537 41823 5714 492 1125 1107
9.25 1.05955e-05 5.29759e-06 5.29829e-06 0 0 0 0 0 0 0 0 0 0 0 0 9.125 9.375 224886 188759 36127 3220 7200 6642
9.50 7.15439e-05 7.13577e-05 3.16618e-05 0.00014237 0.000271631 2.24628e-05 9.45358e-05 0.000366846 -8.53688e-05 0.000128966 0.000431607 -5.58658e-05 0.000215998 0.000287454 7.32329e-05 9.375 9.625 825162 726827 98335 10578 15508 13889
9.75 0.000670651 0.000467899 0.000242767 0.000962183 0.00102702 0.000330517 0.000871536 0.00114425 0.000307183 0.00118847 0.00140084 0.00034494 0.00146697 0.00112159 0.000795952 9.625 9.875 2.26963e+06 2.00253e+06 267101 28685 31974 27267
10.00 0.000923771 0.000410339 0.000475151 0.00288411 0.00147836 0.00160504 0.00269423 0.00201816 0.00113446 0.00322185 0.00192994 0.00157571 0.00448057 0.001358 0.00289006 9.875 10.125 3.3757e+06 2.88924e+06 486458 56788 57110 46869
10.25 0.00154836 0.000479942 0.00105483 0.00743371 0.00339503 0.00340043 0.00668003 0.00464872 0.00248088 0.00893838 0.00456628 0.00370873 0.0116557 0.00233082 0.00630182 10.125 10.375 2.44303e+06 1.98404e+06 458990 56886 54596 43584
10.50 0.00319666 0.000647619 0.00211623 0.0196847 0.00847258 0.00555618 0.0186194 0.0122106 0.00399971 0.0233721 0.0115435 0.00572712 0.0333101 0.00455359 0.014625 10.375 10.625 1.53476e+06 1.18155e+06 353218 46457 43000 34404
10.75 0.00765071 0.00111387 0.00454813 0.0498203 0.0181215 0.00937825 0.0460574 0.0252709 0.00570076 0.0550628 0.0193081 0.0104224 0.0719994 0.00854345 0.0237808 10.625 10.875 952068 703856 248212 37475 32018 25403
11.00 0.0182089 0.00143766 0.0095949 0.10195 0.0241812 0.0151688 0.0901007 0.0344255 0.00861968 0.109914 0.0235794 0.015199 0.136861 0.0101151 0.0349402 10.875 11.125 585263 418476 166787 29800 22563 17368
11.25 0.0423475 0.00155504 0.018147 0.18016 0.0273144 0.014951 0.154586 0.0402301 0.00847775 0.186554 0.0295011 0.0126774 0.230845 0.00968528 0.0374181 11.125 11.375 346043 248846 97197 21619 14859 11237
11.50 0.08848 -0.00197175 0.0285771 0.297584 0.0243727 0.0151925 0.236423 0.0395096 0.00654675 0.306106 0.0265416 0.0134335 0.35529 0.00988838 0.0358996 11.375 11.625 204235 149548 54687 13129 9794 6938
11.75 0.168471 -0.0035232 0.0386994 0.429061 0.0297533 0.00684854 0.338304 0.0410661 0.002166 0.439914 0.037542 0.00389522 0.49467 0.0172794 0.0255822 11.625 11.875 119891 88977 30914 4292 6474 4409
12.00 0.287976 0 0.0441522 0.578367 0.0280991 0.00355256 0.485656 0.0641073 -0.00780222 0.593662 0.0353816 -0.000537574 0.609756 0.0152439 0.0205181 11.875 12.125 70121 52435 17686 488 4639 2829
12.25 0.437335 0.00520435 0.0428056 0.706694 0.0274014 0.00159645 0.731343 0.082216 -0.0153234 0.686852 0.0403233 -0.00304073 0.743001 0.0162899 0.0114575 12.125 12.375 40785 31150 9635 67 3088 1786
12.50 0.58869 0.0167749 0.037185 0.821936 0.0255527 0.00406075 1 0 0 0.80011 0.0322097 0.000210285 0.848624 0.0213587 0.0059889 12.375 12.625 23173 17967 5206 18 1811 1090
12.75 0.726597 0.0264061 0.0285699 0.890222 0.0219198 0.0034762 1 0 0 0.855285 0.0314224 0.00249267 0.899642 0.0186781 0.00308985 12.625 12.875 13323 10490 2833 6 615 837
13.00 0.826383 0.0320241 0.0197118 0.931878 0.0107927 0.00604713 1 0 0 0.9375 0.00694442 0.0089286 0.935484 0.0117818 0.00438154 12.875 13.125 7387 5875 1512 1 64 527
13.25 0.895241 0.0225587 0.0123609 0.965007 0.00807542 0.00422239 1 0 0 0.9 0.1 0 0.975138 0.0075708 0.00828731 13.125 13.375 3979 3236 743 1 10 362
13.50 0.937059 0.0152941 0.00647056 0.964706 0.00743032 0.00470591 0 0 0 1 0 0 0.981395 0.000256002 0.00531882 13.375 13.625 2040 1700 340 0 1 215
