#Peak halo mass range: 8.625 < log10(Mh/Msun) < 8.875
#Quenched threshold: True SFR / True SM < 1e-11 / yr
#True SFHs in units of Msun/yr.
#See documentation for explanation of true vs. observed SFRs and SMs.
#Bestfit_X_Galaxies_Remaining: number of galaxies with most-massive progenitor trees extending to the scale factor in question.
#Scale_factor F(Q)_given_SF@z=0 Err+ Err- F(Q)_given_Q@z=0 Err+ Err- Bestfit_SF_Halos_Remaining Bestfit_Q_Halos_Remaining
1.002310 0 0 0 1 0 1 37775 1
0.994717 2.64725e-05 7.94288e-05 2.64725e-05 1 0 1 37775 1
0.987123 0 0.000132394 0 1 -0.5 1 37775 1
0.979529 0 5.29507e-05 0 0 0 0 37775 1
0.971935 0 7.94218e-05 0 0 0 0 37775 1
0.964342 2.64725e-05 2.64739e-05 2.64725e-05 0 0 0 37775 1
0.956748 2.64725e-05 2.64739e-05 2.64725e-05 0 0 0 37775 1
0.949154 0 2.64725e-05 0 0 0 0 37775 1
0.941560 2.64725e-05 2.64725e-05 2.64725e-05 0 0 0 37775 1
0.933967 2.64725e-05 1.40062e-09 2.64725e-05 0 0 0 37775 1
0.926373 2.64725e-05 5.29451e-05 2.64725e-05 0 0 0 37775 1
0.918779 0 2.64725e-05 0 0 0 0 37775 1
0.911185 0 2.64732e-05 0 0 0 0 37775 1
0.903592 0 0 0 0 0 0 37775 1
0.895998 0 2.64725e-05 0 0 0 0 37775 1
0.888404 2.64725e-05 2.64725e-05 2.64725e-05 0 0 0 37775 1
0.880810 0 0 0 0 0 0 37775 1
0.873217 0 0 0 0 0 0 37775 1
0.865623 0 0 0 0 0 0 37775 1
0.858029 0 2.64732e-05 0 0 0 0 37775 1
0.850435 0 0 0 0 0 0 37775 1
0.842842 0 0 0 0 0 0 37775 1
0.835248 0 0 0 0 0 0 37775 1
0.827654 0 0 0 0 0 0 37775 1
0.820060 0 0 0 0 0 0 37775 1
0.812467 0 0 0 0 0 0 37775 1
0.804873 0 0 0 0 0 0 37775 1
0.797279 0 0 0 0 0 0 37775 1
0.789685 0 0 0 0 0 0 37775 1
0.782092 0 0 0 0 0 0 37775 1
0.774498 0 0 0 0 0 0 37775 1
0.766904 0 0 0 0 0 0 37775 1
0.759310 0 0 0 0 0 0 37775 1
0.751717 0 0 0 0 0 0 37775 1
0.744123 0 0 0 0 0 0 37775 1
0.736529 0 0 0 0 0 0 37775 1
0.728935 0 0 0 0 0 0 37775 1
0.721342 0 0 0 0 0 0 37775 1
0.713748 0 0 0 0 0 0 37775 1
0.706154 0 0 0 0 0 0 37775 1
0.698560 0 0 0 0 0 0 37775 1
0.690967 0 0 0 0 0 0 37775 1
0.683373 0 0 0 0 0 0 37775 1
0.678310 0 0 0 0 0 0 37775 1
0.673248 0 0 0 0 0 0 37775 1
0.668185 0 0 0 0 0 0 37775 1
0.663123 0 0 0 0 0 0 37775 1
0.658060 0 0 0 0 0 0 37775 1
0.652998 0 0 0 0 0 0 37775 1
0.647935 0 0 0 0 0 0 37775 1
0.642873 0 0 0 0 0 0 37775 1
0.637810 0 0 0 0 0 0 37775 1
0.632748 0 0 0 0 0 0 37775 1
0.627685 0 0 0 0 0 0 37775 1
0.622623 0 0 0 0 0 0 37775 1
0.617560 0 0 0 0 0 0 37775 1
0.612498 0 0 0 0 0 0 37775 1
0.607435 0 0 0 0 0 0 37775 1
0.602373 0 0 0 0 0 0 37775 1
0.597310 0 0 0 0 0 0 37775 1
0.592248 0 0 0 0 0 0 37775 1
0.587185 0 0 0 0 0 0 37775 1
0.582123 0 0 0 0 0 0 37775 1
0.577060 0 0 0 0 0 0 37775 1
0.571997 0 0 0 0 0 0 37775 1
0.566935 0 0 0 0 0 0 37775 1
0.561872 0 0 0 0 0 0 37775 1
0.556810 0 0 0 0 0 0 37775 1
0.551747 0 0 0 0 0 0 37775 1
0.546685 0 0 0 0 0 0 37775 1
0.541622 0 0 0 0 0 0 37775 1
0.536560 0 0 0 0 0 0 37775 1
0.531497 0 0 0 0 0 0 37775 1
0.526435 0 0 0 0 0 0 37775 1
0.521372 0 0 0 0 0 0 37775 1
0.516310 0 0 0 0 0 0 37775 1
0.511247 0 0 0 0 0 0 37775 1
0.506185 0 0 0 0 0 0 37775 1
0.501122 0 0 0 0 0 0 37775 1
0.496060 0 0 0 0 0 0 37775 1
0.490997 0 0 0 0 0 0 37775 1
0.485935 0 0 0 0 0 0 37775 1
0.480872 0 0 0 0 0 0 37775 1
0.475810 0 0 0 0 0 0 37775 1
0.470747 0 0 0 0 0 0 37775 1
0.465685 0 0 0 0 0 0 37775 1
0.460622 0 0 0 0 0 0 37775 1
0.455560 0 0 0 0 0 0 37775 1
0.450497 0 0 0 0 0 0 37775 1
0.445435 0 0 0 0 0 0 37775 1
0.440372 0 0 0 0 0 0 37775 1
0.435310 0 0 0 0 0 0 37775 1
0.430247 0 0 0 0 0 0 37775 1
0.425185 0 0 0 0 0 0 37775 1
0.420122 0 0 0 0 0 0 37775 1
0.415060 0 0 0 0 0 0 37775 1
0.409997 0 0 0 0 0 0 37775 1
0.404935 0 0 0 0 0 0 37775 1
0.399872 0 0 0 0 0 0 37775 1
0.394810 0 0 0 0 0 0 37775 1
0.389747 0 0 0 0 0 0 37775 1
0.384685 0 0 0 0 0 0 37775 1
0.379622 0 0 0 0 0 0 37775 1
0.374560 0 0 0 0 0 0 37775 1
0.369497 0 0 0 0 0 0 37775 1
0.364435 0 0 0 0 0 0 37775 1
0.359372 0 0 0 0 0 0 37775 1
0.354310 0 0 0 0 0 0 37775 1
0.349247 0 0 0 0 0 0 37775 1
0.344185 0 0 0 0 0 0 37775 1
0.339122 0 0 0 0 0 0 37775 1
0.334060 0 0 0 0 0 0 37775 1
0.328997 0 0 0 0 0 0 37775 1
0.323935 0 0 0 0 0 0 37775 1
0.318873 0 0 0 0 0 0 37775 1
0.313810 0 0 0 0 0 0 37775 1
0.308748 0 0 0 0 0 0 37775 1
0.303685 0 0 0 0 0 0 37775 1
0.298623 0 0 0 0 0 0 37775 1
0.293560 0 0 0 0 0 0 37775 1
0.288498 0 0 0 0 0 0 37775 1
0.283435 0 0 0 0 0 0 37775 1
0.278373 0 0 0 0 0 0 37775 1
0.273310 0 0 0 0 0 0 37775 1
0.268248 0 0 0 0 0 0 37775 1
0.263185 0 0 0 0 0 0 37775 1
0.258123 0 0 0 0 0 0 37775 1
0.253060 0 0 0 0 0 0 37775 1
0.247998 0 0 0 0 0 0 37775 1
0.242935 0 0 0 0 0 0 37775 1
0.237873 0 0 0 0 0 0 37775 1
0.232810 0 0 0 0 0 0 37775 1
0.227748 0 0 0 0 0 0 37775 1
0.222685 0 0 0 0 0 0 37775 1
0.217623 0 0 0 0 0 0 37775 1
0.212560 0 0 0 0 0 0 37775 1
0.207498 0 0 0 0 0 0 37775 1
0.202435 0 0 0 0 0 0 37775 1
0.197373 0 0 0 0 0 0 37775 1
0.192310 0 0 0 0 0 0 37775 1
0.187248 0 0 0 0 0 0 37775 1
0.182185 0 0 0 0 0 0 37775 1
0.177123 0 0 0 0 0 0 37775 1
0.172060 0 0 0 0 0 0 37775 1
0.166998 0 0 0 0 0 0 37775 1
0.161935 0 0 0 0 0 0 37775 1
0.156873 0 0 0 0 0 0 37775 1
0.151810 0 0 0 0 0 0 37775 1
0.146748 0 0 0 0 0 0 37775 1
0.141685 0 0 0 0 0 0 37775 1
0.136623 0 0 0 0 0 0 37775 1
0.133248 0 0 0 0 0 0 37775 1
0.129873 0 0 0 0 0 0 37775 1
0.126498 0 0 0 0 0 0 37775 1
0.123123 0 0 0 0 0 0 37775 1
0.119748 0 0 0 0 0 0 37775 1
0.116373 0 0 0 0 0 0 37775 1
0.112998 0 0 0 0 0 0 37775 1
0.109623 0 0 0 0 0 0 37775 1
0.106248 0 0 0 0 0 0 37775 1
0.102873 0 0 0 0 0 0 37775 1
0.099498 0 0 0 0 0 0 37775 1
0.096123 0 0 0 0 0 0 37775 1
0.092748 0 0 0 0 0 0 37775 1
0.089373 0 0 0 0 0 0 37775 1
0.085998 0 0 0 0 0 0 37775 1
0.082623 0 0 0 0 0 0 37775 1
0.080373 0 0 0 0 0 0 37775 1
0.078123 0 0 0 0 0 0 37775 1
0.075873 0 0 0 0 0 0 37775 1
0.073623 0 0 0 0 0 0 37775 1
0.071373 0 0 0 0 0 0 37775 1
0.069123 0 0 0 0 0 0 37775 1
0.066873 0 0 0 0 0 0 37775 1
0.064623 0 0 0 0 0 0 37775 1
0.062373 0 0 0 0 0 0 37775 1
0.060123 0 0 0 0 0 0 37775 1
0.055623 0 0 0 0 0 0 37775 1
