#Peak halo masses in Msun
#Fractions of satellites that were quenched due to infall (f_q,sat - f_q,cen)
#MW Mass Range: 10^11.75 - 10^12.25 Msun.
#Group Mass Range: 10^12.75 - 10^13.25 Msun.
#Cluster Mass Range: 10^13.75 - 10^14.25 Msun.
#Quenched threshold: true SSFR < 1e-11/yr
#Bestfit_X_Counts is the number of galaxies in the bin for the bestfit model.
#Log10(HM_Center) FQ_infall(Sats) Err+ Err- FQ_infall(Sats_MW) Err+ Err- FQ_infall(Sats_Group) Err+ Err- FQ_infall(Sats_Cluster) Err+ Err- HM_Left_Edge HM_Right_Edge Bestfit_Halo_Counts Bestfit_Satellite_Counts Bestfit_Sats_MW_Counts Bestfit_Sats_GR_Counts Bestfit_Sats_Cluster_Counts
8 0 0 0 0 0 0 0 0 0 0 0 0 7.875 8.125 0 0 0 0 0
8.25 0 0 0 0 0 0 0 0 0 0 0 0 8.125 8.375 0 0 0 0 0
8.5 0 0 0 0 0 0 0 0 0 0 0 0 8.375 8.625 0 0 0 0 0
8.75 -3.85119e-05 0 3.85119e-05 -3.85119e-05 0 7.70238e-05 -3.85119e-05 0 0.000115536 -3.85119e-05 0 3.85119e-05 8.625 8.875 28521 2555 243 496 339
9 0 0 0 0 0 0 0 0 0 0 0 0 8.875 9.125 50660 7475 734 1524 1159
9.25 -5.1225e-06 2.16806e-05 5.12188e-06 -5.1225e-06 5.1225e-06 1.02435e-05 -5.1225e-06 5.1225e-06 5.12229e-06 -5.1225e-06 0.000139785 5.12224e-06 9.125 9.375 241249 46032 4981 9456 6896
9.5 7.30094e-05 0.000170715 5.46128e-06 5.97753e-05 0.000196018 3.2831e-05 0.000124216 0.000439684 -1.64279e-05 1.6358e-06 0.000283395 4.64082e-07 9.375 9.625 928075 130258 16006 21120 14967
9.75 0.000161824 0.000966699 -1.21792e-05 7.42851e-05 0.0012167 -1.92193e-06 0.00029312 0.00193394 -0.00010176 0.000439883 0.00143562 0.000127268 9.625 9.875 2.59856e+06 326051 38368 39156 26289
10 0.000756437 0.00123553 0.00033963 0.000729256 0.00137138 0.000307659 0.00073492 0.00195201 0.000218828 0.00201278 0.00129996 0.00113599 9.875 10.125 3.5754e+06 516118 63701 60156 39075
10.25 0.00308032 0.00271431 0.00129565 0.00285107 0.00336914 0.000847373 0.00437745 0.00364143 0.00179652 0.00585416 0.00361958 0.0031334 10.125 10.375 2.53366e+06 475607 62446 55827 35176
