#Peak halo masses in Msun
#Fractions of satellites that were quenched due to infall (f_q,sat - f_q,cen)
#MW Mass Range: 10^11.75 - 10^12.25 Msun.
#Group Mass Range: 10^12.75 - 10^13.25 Msun.
#Cluster Mass Range: 10^13.75 - 10^14.25 Msun.
#Quenched threshold: true SSFR < 1e-11/yr
#Bestfit_X_Counts is the number of galaxies in the bin for the bestfit model.
#Log10(HM_Center) FQ_infall(Sats) Err+ Err- FQ_infall(Sats_MW) Err+ Err- FQ_infall(Sats_Group) Err+ Err- FQ_infall(Sats_Cluster) Err+ Err- HM_Left_Edge HM_Right_Edge Bestfit_Halo_Counts Bestfit_Satellite_Counts Bestfit_Sats_MW_Counts Bestfit_Sats_GR_Counts Bestfit_Sats_Cluster_Counts
8 0 0 0 0 0 0 0 0 0 0 0 0 7.875 8.125 0 0 0 0 0
8.25 0 0 0 0 0 0 0 0 0 0 0 0 8.125 8.375 0 0 0 0 0
8.5 0 0 0 0 0 0 0 0 0 0 0 0 8.375 8.625 0 0 0 0 0
8.75 -2.06949e-05 2.06949e-05 2.06949e-05 -2.06949e-05 2.06949e-05 2.06949e-05 -2.06949e-05 2.06949e-05 2.06949e-05 -2.06949e-05 2.06949e-05 0 8.625 8.875 50334 2013 110 294 392
9 -7.63615e-05 7.63615e-05 -1.52723e-05 -7.63615e-05 7.63615e-05 -1.52723e-05 -7.63615e-05 7.63615e-05 -1.52704e-05 -7.63615e-05 7.63615e-05 -3.05446e-05 8.875 9.125 71093 5615 308 953 1199
9.25 2.52765e-06 5.65408e-05 2.31324e-05 -0.000127766 0.000119524 3.70986e-05 6.63339e-05 3.70449e-05 9.10595e-05 0.000364522 0.000164011 0.000381007 9.125 9.375 273332 30700 2067 5152 6094
9.5 0.000657863 0.000416148 0.000606636 -0.000296575 0.000379317 -0.000160614 0.000311269 0.000748053 0.000330908 0.00139063 0.000528825 0.00122343 9.375 9.625 775737 63883 5793 8969 10216
9.75 0.00137159 0.00129936 0.00137315 0.000405611 0.00138789 0.00044011 0.000857008 0.00204363 0.000951528 0.00364891 0.00101274 0.00345255 9.625 9.875 1.88451e+06 163162 14983 18178 19868
10 0.00886076 0.00328046 0.00755881 0.00788066 0.00512793 0.00653355 0.0090083 0.00568949 0.0078118 0.0139174 0.00266098 0.0122796 9.875 10.125 2.88049e+06 392814 40262 44768 45157
10.25 0.0211932 0.00656713 0.0158978 0.0170622 0.00975424 0.0124022 0.0231554 0.0094038 0.016902 0.0318672 0.0052768 0.0246087 10.125 10.375 2.22382e+06 402808 43869 47727 46432
